#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.0129
#BOTTOM:,204.3508
DEPTH_LSF,GR_RAB
m,gAPI
0.0129,5.399876
0.0434,5.944551
0.0739,6.488374
0.1044,7.03196
0.1348,7.57595
0.1653,8.599414
0.1958,9.620385
0.2263,10.64181
0.2568,11.66278
0.2872,12.68741
0.3177,14.24103
0.3482,15.79397
0.3787,17.34759
0.4092,18.90054
0.4396,20.45794
0.4701,22.34112
0.5006,24.22347
0.5311,26.10665
0.5616,27.99277
0.5920,29.8743
0.6225,30.8773
0.6530,31.87986
0.6835,32.88285
0.7140,33.88742
0.7444,34.88909
0.7749,35.1163
0.8054,35.34341
0.8359,35.57062
0.8664,35.79818
0.8968,36.02594
0.9273,36.60112
0.9578,37.17606
0.9883,37.75125
1.0188,38.32734
1.0492,38.90244
1.0797,39.4142
1.1102,39.92575
1.1407,40.43855
1.1712,40.95009
1.2016,41.46163
1.2321,41.78713
1.2626,42.11248
1.2931,42.43863
1.3236,42.76398
1.3540,43.08964
1.3845,43.5563
1.4150,44.0237
1.4455,44.49036
1.4760,44.95682
1.5064,45.42294
1.5369,45.30009
1.5674,45.17704
1.5979,45.05419
1.6284,44.9314
1.6588,44.8082
1.6893,44.2371
1.7198,43.66512
1.7503,43.09402
1.7808,42.52318
1.8112,41.95258
1.8417,42.19719
1.8722,42.44218
1.9027,42.68679
1.9332,42.93129
1.9636,43.17605
1.9941,43.75136
2.0246,44.32528
2.0551,44.89944
2.0856,45.47335
2.1160,46.04739
2.1465,46.19199
2.1770,46.33624
2.2075,46.48055
2.2380,46.62479
2.2684,46.77017
2.2989,47.27986
2.3294,47.78932
2.3599,48.299
2.3904,48.80847
2.4208,49.32003
2.4513,50.26265
2.4818,51.20485
2.5123,52.14746
2.5428,53.09155
2.5732,54.03304
2.6037,54.3626
2.6342,54.69201
2.6647,55.02156
2.6952,55.35163
2.7256,55.68003
2.7561,55.31056
2.7866,54.94125
2.8171,54.57177
2.8476,54.20173
2.8780,53.83216
2.9085,53.40026
2.9390,52.96854
2.9695,52.53664
3.0000,52.10406
3.0304,51.67237
3.0609,51.39603
3.0914,51.11982
3.1219,50.84293
3.1524,50.56672
3.1828,50.29058
3.2133,50.18517
3.2438,50.0798
3.2743,49.97417
3.3048,49.8688
3.3352,49.76334
3.3657,49.6221
3.3962,49.48065
3.4267,49.33941
3.4572,49.19823
3.4876,49.05704
