#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.4396
#BOTTOM:,189.7204
DEPTH_LSF,GRMA
m,gAPI
0.4396,1.550004
0.4701,1.891901
0.5006,2.233648
0.5311,2.575546
0.5616,2.917978
0.5920,3.260399
0.6225,3.882167
0.6530,4.503662
0.6835,5.12543
0.7140,5.748169
0.7444,6.369422
0.7749,6.690857
0.8054,7.01215
0.8359,7.333585
0.8664,7.655522
0.8968,7.97659
0.9273,8.062604
0.9578,8.148581
0.9883,8.234593
1.0188,8.320742
1.0492,8.406051
1.0797,7.988384
1.1102,7.5709
1.1407,7.152397
1.1712,6.734914
1.2016,6.319276
1.2321,7.536155
1.2626,8.752501
1.2931,9.971813
1.3236,11.18816
1.3540,12.40496
1.3845,13.54611
1.4150,14.68906
1.4455,15.83022
1.4760,16.97088
1.5064,18.11183
1.5369,19.02659
1.5674,19.94278
1.5979,20.85753
1.6284,21.77189
1.6588,22.68578
1.6893,22.45876
1.7198,22.23139
1.7503,22.00437
1.7808,21.77746
1.8112,21.55041
1.8417,21.27205
1.8722,20.99325
1.9027,20.71489
1.9332,20.43665
1.9636,20.15838
1.9941,20.0916
2.0246,20.02497
2.0551,19.95833
2.0856,19.8917
2.1160,19.82528
2.1465,20.54047
2.1770,21.25392
2.2075,21.96769
2.2380,22.68114
2.2684,23.39613
2.2989,24.0181
2.3294,24.6398
2.3599,25.26176
2.3904,25.88346
2.4208,26.50686
2.4513,27.22151
2.4818,27.93585
2.5123,28.65051
2.5428,29.36628
2.5732,30.07907
2.6037,29.77058
2.6342,29.46223
2.6647,29.15374
2.6952,28.84477
2.7256,28.53753
2.7561,28.98044
2.7866,29.42316
2.8171,29.86607
2.8476,30.30967
2.8780,30.75256
2.9085,31.18364
2.9390,31.61452
2.9695,32.0456
3.0000,32.47734
3.0304,32.90813
3.0609,33.13231
3.0914,33.35638
3.1219,33.581
3.1524,33.80507
3.1828,34.02897
3.2133,34.02667
3.2438,34.02437
3.2743,34.02206
3.3048,34.01976
3.3352,34.01731
3.3657,33.87581
3.3962,33.73409
3.4267,33.59259
3.4572,33.45115
3.4876,33.31009
3.5181,33.67719
3.5486,34.04485
3.5791,34.41194
3.6096,34.77887
3.6400,35.14579
3.6705,35.27949
3.7010,35.41339
3.7315,35.54708
3.7620,35.68071
3.7924,35.81449
3.8229,36.09782
3.8534,36.3816
3.8839,36.66494
3.9144,36.94815
3.9448,37.2316
3.9753,37.77682
4.0058,38.32073
4.0363,38.86487
4.0668,39.40878
4.0972,39.95298
4.1277,40.75335
4.1582,41.55178
4.1887,42.35055
4.2192,43.14898
4.2496,43.94797
4.2801,44.08244
4.3106,44.21685
4.3411,44.35132
4.3716,44.486
4.4020,44.62014
4.4325,44.58009
4.4630,44.54007
4.4935,44.50003
4.5240,44.45992
4.5544,44.41915
4.5849,43.97017
4.6154,43.52139
4.6459,43.0724
4.6764,42.62272
4.7068,42.17454
4.7373,42.22331
4.7678,42.27206
4.7983,42.32083
4.8288,42.36967
4.8592,42.4181
4.8897,42.23199
4.9202,42.04597
4.9507,41.85987
4.9812,41.67347
5.0116,41.48789
5.0421,41.70751
5.0726,41.92704
5.1031,42.1471
5.1336,42.36663
5.1640,42.58618
5.1945,42.74963
5.2250,42.91301
5.2555,43.07678
5.2860,43.24015
5.3164,43.40406
5.3469,44.03235
5.3774,44.66162
5.4079,45.2899
5.4384,45.91792
5.4688,46.54589
5.4993,46.7919
5.5298,47.03829
5.5603,47.28429
5.5908,47.5302
5.6212,47.77649
5.6517,48.45089
5.6822,49.12634
5.7127,49.80073
5.7432,50.47483
5.7736,51.14898
5.8041,51.33457
5.8346,51.52045
5.8651,51.70605
5.8956,51.89156
5.9260,52.07708
5.9565,52.06452
5.9870,52.05199
6.0175,52.03945
6.0480,52.02692
6.0784,52.0144
6.1089,52.07433
6.1394,52.13411
6.1699,52.19393
6.2004,52.25371
6.2308,52.31421
6.2613,52.64997
6.2918,52.98558
6.3223,53.32133
6.3528,53.65762
6.3832,53.9929
6.4137,54.0769
6.4442,54.16085
6.4747,54.24485
6.5052,54.32897
6.5356,54.41224
6.5661,54.07505
6.5966,53.738
6.6271,53.40081
6.6576,53.06308
6.6880,52.7257
6.7185,52.26799
6.7490,51.81048
6.7795,51.35278
6.8100,50.89435
6.8404,50.43787
6.8709,50.8557
6.9014,51.27335
6.9319,51.69118
6.9624,52.10966
6.9928,52.52752
7.0233,52.97226
7.0538,53.4168
7.0843,53.86242
7.1148,54.30696
7.1452,54.75118
7.1757,54.718
7.2062,54.68477
7.2367,54.65159
7.2672,54.61842
7.2976,54.58473
7.3281,54.00596
7.3586,53.42628
7.3891,52.84751
7.4196,52.26899
7.4500,51.69021
7.4805,51.10714
7.5110,50.52316
7.5415,49.94009
7.5720,49.35728
7.6024,48.77446
7.6329,48.58865
7.6634,48.40256
7.6939,48.21676
7.7244,48.03104
7.7548,47.84523
7.7853,47.6366
7.8158,47.42766
7.8463,47.21903
7.8768,47.0105
7.9072,46.80194
7.9377,46.80697
7.9682,46.81199
7.9987,46.81701
8.0292,46.82203
8.0596,46.8269
8.0901,46.76025
8.1206,46.69363
8.1511,46.62697
8.1816,46.56035
8.2120,46.49416
8.2425,46.73055
8.2730,46.96682
8.3035,47.20319
8.3340,47.43994
8.3644,47.67605
8.3949,47.76455
8.4254,47.85301
8.4559,47.9415
8.4864,48.03014
8.5168,48.11876
8.5473,48.27703
8.5778,48.43524
8.6083,48.59352
8.6388,48.75204
8.6692,48.91028
8.6997,49.04465
8.7302,49.17895
8.7607,49.31332
8.7912,49.44789
8.8216,49.58228
8.8521,49.73792
8.8826,49.89349
8.9131,50.04944
8.9436,50.20501
8.9740,50.36012
9.0045,50.0717
9.0350,49.78342
9.0655,49.49443
9.0960,49.20615
9.1264,48.91773
9.1569,48.61748
9.1874,48.31675
9.2179,48.0165
9.2484,47.71638
9.2788,47.41614
9.3093,47.12915
9.3398,46.84172
9.3703,46.55473
9.4008,46.26788
9.4312,45.9811
9.4617,45.97623
9.4922,45.97135
9.5227,45.96649
9.5532,45.96162
9.5836,45.95681
9.6141,46.04946
9.6446,46.14226
9.6751,46.23491
9.7056,46.32753
9.7360,46.42009
9.7665,46.28851
9.7970,46.15725
9.8275,46.02592
9.8580,45.89466
9.8884,45.76346
9.9189,46.12973
9.9494,46.4951
9.9799,46.86064
10.0104,47.22601
10.0408,47.59163
10.0713,47.64722
10.1018,47.70278
10.1323,47.75838
10.1628,47.81394
10.1932,47.87029
10.2237,48.26002
10.2542,48.64957
10.2847,49.03929
10.3152,49.42962
10.3456,49.81884
10.3761,49.92469
10.4066,50.03049
10.4371,50.13634
10.4676,50.24235
10.4980,50.34824
10.5285,50.47809
10.5590,50.60789
10.5895,50.73774
10.6200,50.86779
10.6504,50.99692
10.6809,50.62983
10.7114,50.2629
10.7419,49.89581
10.7724,49.52815
10.8028,49.16096
10.8333,48.7198
10.8638,48.27882
10.8943,47.83677
10.9248,47.39579
10.9552,46.955
10.9857,46.83542
11.0162,46.7159
11.0467,46.59608
11.0772,46.47656
11.1076,46.35725
11.1381,46.5071
11.1686,46.65719
11.1991,46.80703
11.2296,46.95682
11.2600,47.10678
11.2905,47.38887
11.3210,47.6714
11.3515,47.9535
11.3820,48.23546
11.4124,48.5175
11.4429,48.71611
11.4734,48.91503
11.5039,49.11364
11.5344,49.31216
11.5648,49.51088
11.5953,49.9292
11.6258,50.34818
11.6563,50.7665
11.6868,51.18463
11.7172,51.60293
11.7477,51.95642
11.7782,52.30906
11.8087,52.66185
11.8392,53.01449
11.8696,53.36722
11.9001,53.41785
11.9306,53.46836
11.9611,53.51889
11.9916,53.5694
12.0220,53.61894
12.0525,53.13668
12.0830,52.65463
12.1135,52.17237
12.1440,51.68936
12.1744,51.2066
12.2049,50.46219
12.2354,49.7181
12.2659,48.97369
12.2964,48.22811
12.3268,47.48335
12.3573,46.53906
12.3878,45.59518
12.4183,44.65089
12.4488,43.70513
12.4792,42.76213
12.5097,42.64204
12.5402,42.522
12.5707,42.4019
12.6012,42.28162
12.6316,42.16219
12.6621,42.50872
12.6926,42.8551
12.7231,43.20163
12.7536,43.54871
12.7840,43.89577
12.8145,44.66497
12.8450,45.43383
12.8755,46.20457
12.9060,46.97343
12.9364,47.74216
12.9669,48.09153
12.9974,48.44074
13.0279,48.79081
13.0584,49.14001
13.0888,49.48949
13.1193,49.95338
13.1498,50.418
13.1803,50.88188
13.2108,51.34557
13.2412,51.80927
13.2717,52.0293
13.3022,52.24969
13.3327,52.46973
13.3632,52.68967
13.3936,52.90974
13.4241,53.16272
13.4546,53.41611
13.4851,53.6691
13.5156,53.92198
13.5460,54.17484
13.5765,54.14756
13.6070,54.12025
13.6375,54.09299
13.6680,54.06573
13.6984,54.03857
13.7289,54.35177
13.7594,54.6642
13.7899,54.97677
13.8204,55.2892
13.8508,55.60175
13.8813,55.71498
13.9118,55.82793
13.9423,55.94094
13.9728,56.0539
14.0032,56.16704
14.0337,56.23167
14.0642,56.29626
14.0947,56.36089
14.1252,56.42562
14.1556,56.4894
14.1861,56.0944
14.2166,55.69958
14.2471,55.30458
14.2776,54.90896
14.3080,54.51455
14.3385,54.46742
14.3690,54.42032
14.3995,54.37319
14.4300,54.326
14.4604,54.27811
14.4909,53.73529
14.5214,53.1927
14.5519,52.64988
14.5824,52.1062
14.6128,51.56412
14.6433,51.56308
14.6738,51.56205
14.7043,51.56102
14.7348,51.55998
14.7652,51.55865
14.7957,51.31156
14.8262,51.06458
14.8567,50.817
14.8872,50.57002
14.9176,50.32358
14.9481,50.68958
14.9786,51.05616
15.0091,51.42216
15.0396,51.788
15.0700,52.1539
15.1005,52.39504
15.1310,52.63655
15.1615,52.87769
15.1920,53.11873
15.2224,53.36015
15.2529,53.9745
15.2834,54.58981
15.3139,55.20417
15.3444,55.81825
15.3748,56.43237
15.4053,56.63483
15.4358,56.83762
15.4663,57.0401
15.4968,57.24248
15.5272,57.4449
15.5577,57.52745
15.5882,57.61014
15.6187,57.6927
15.6492,57.77522
15.6796,57.85771
15.7101,57.69961
15.7406,57.54189
15.7711,57.38411
15.8016,57.22639
15.8320,57.06929
15.8625,57.38587
15.8930,57.7023
15.9235,58.01888
15.9540,58.33531
15.9844,58.65131
16.0149,58.34953
16.0454,58.04788
16.0759,57.74611
16.1064,57.44386
16.1368,57.14271
16.1673,57.19685
16.1978,57.25097
16.2283,57.30511
16.2588,57.35934
16.2892,57.41264
16.3197,56.95538
16.3502,56.49832
16.3807,56.04105
16.4112,55.58307
16.4416,55.12664
16.4721,55.22879
16.5026,55.33088
16.5331,55.43303
16.5636,55.53533
16.5940,55.63725
16.6245,55.57137
16.6550,55.50552
16.6855,55.4395
16.7160,55.37365
16.7464,55.30817
16.7769,55.58918
16.8074,55.87008
16.8379,56.15166
16.8684,56.43255
16.8988,56.71393
16.9293,57.3513
16.9598,57.98965
16.9903,58.62702
17.0208,59.2641
17.0512,59.90097
17.0817,59.94096
17.1122,59.98101
17.1427,60.02101
17.1732,60.06098
17.2036,60.10103
