#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.1348
#BOTTOM:,205.4176
DEPTH_LSF,RPM_GVR
m,c/min
0.1348,24
0.2872,23
0.4396,22
0.5920,22
0.7444,22
0.8968,23
1.0492,22.99917
1.2016,22
1.3540,24
1.5064,21.00158
1.6588,21.9967
1.8112,18.00659
1.9636,26
2.1160,26
2.2684,22.00157
2.4208,23
2.5732,22.99948
2.7256,21.00052
2.8780,22.00082
3.0304,23.99732
3.1828,22.00245
3.3352,25.99948
3.4876,25
3.6400,22.99837
3.7924,23.00052
3.9448,22
4.0972,20.99845
4.2496,19
4.4020,24.9943
4.5544,25
4.7068,22.00081
4.8592,19
5.0116,19
5.1640,23.99919
5.3164,21.99846
5.4688,19
5.6212,19
5.7736,23.99949
5.9260,22.00154
6.0784,26.99839
6.2308,26
6.3832,24.99517
6.5356,16.50066
6.6880,23.99915
6.8404,22.99839
6.9928,22
7.1452,15.00254
7.2976,18.99578
7.4500,18
7.6024,22
7.7548,23.99747
7.9072,18.00304
8.0596,24
8.2120,14
8.3644,23.99521
8.5168,18
8.6692,22
8.8216,20
8.9740,17
9.1264,22.00101
9.2788,21
9.4312,22
9.5836,18
9.7360,20.00237
9.8884,20
10.0408,23.99525
10.1932,20.00312
10.3456,20.99842
10.4980,21.9995
10.6504,22.9995
10.8028,17.00394
10.9552,22.9995
11.1076,20.00019
11.2600,24.99901
11.4124,26.99843
11.5648,20.99686
11.7172,20.00235
11.8696,21
12.0220,21.99765
12.1744,23.99457
12.3268,23
12.4792,23.99852
12.6316,17
12.7840,17.0062
12.9364,16.00393
13.0888,20.00294
13.2412,20.99767
13.3936,18.00622
13.5460,24.99902
13.6984,24.4908
13.8508,18.00195
14.0032,21
14.1556,22.99865
14.3080,15
14.4604,23.99883
14.6128,25.99768
14.7652,24
14.9176,25.99923
15.0700,25.00154
15.2224,18
15.3748,25.99952
15.5272,22.00077
15.6796,26.99565
15.8320,26.99846
15.9844,32.99903
16.1368,33
16.2892,30.00102
16.4416,30
