#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.1348
#BOTTOM:,186.6724
DEPTH_LSF,A16B,A16H,A16L,A22B,A22H,A22L,A28B,A28H,A28L,A34B,A34H,A34L,A40B,A40H,A40L
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
0.1348,0.5860824,0.6055592,0.5860821,0.5991094,0.6168147,0.5991091,0.5942653,0.6209346,0.594265,0.5872284,0.6207801,0.5872281,0.5914746,0.6227838,0.5914746
0.2872,0.6211216,0.6279512,0.6211214,0.6348265,0.640407,0.6348262,0.6274053,0.6434596,0.6274049,0.6186028,0.6420738,0.6186025,0.6244271,0.6448517,0.6244271
0.4396,0.6577584,0.656639,0.6577582,0.6715628,0.6705118,0.6715626,0.667113,0.6777053,0.6671128,0.6604686,0.6797833,0.6604683,0.6655473,0.682812,0.6655473
0.5920,0.6895369,0.6949206,0.6895368,0.7054353,0.7066574,0.7054351,0.7044821,0.714458,0.7044819,0.6993015,0.7195812,0.6993013,0.7035133,0.725789,0.7035133
0.7444,0.7195486,0.7179917,0.7195485,0.7389056,0.7325795,0.7389055,0.7405877,0.7413924,0.7405875,0.7372114,0.7461134,0.7372113,0.7409315,0.7513459,0.7409315
0.8968,0.752393,0.7482387,0.7523929,0.7711663,0.7609146,0.7711663,0.7726074,0.766245,0.7726073,0.767895,0.7678961,0.7678949,0.7691683,0.7720104,0.7691683
1.0492,0.7885769,0.7776957,0.7885768,0.8055449,0.7899964,0.8055448,0.8096891,0.7972102,0.809689,0.8081591,0.8002849,0.808159,0.8095732,0.8032672,0.8095732
1.2016,0.8276899,0.8227363,0.8276899,0.8419451,0.8276235,0.8419451,0.8454904,0.8341054,0.8454903,0.8421698,0.8375806,0.8421698,0.8395126,0.8361472,0.8395126
1.3540,0.8557373,0.8514757,0.8557372,0.8668681,0.8553559,0.8668681,0.8706102,0.8601864,0.8706102,0.8683888,0.8622477,0.8683888,0.8653269,0.8603271,0.8653269
1.5064,0.9077066,0.9107721,0.9077066,0.9140666,0.9109896,0.9140666,0.9137824,0.9146183,0.9137824,0.9095941,0.9152462,0.9095941,0.9064939,0.9096433,0.9064939
1.6588,0.955781,0.9702078,0.955781,0.958775,0.9719082,0.958775,0.9562908,0.9737324,0.9562908,0.9495985,0.9722803,0.9495985,0.9434404,0.9674383,0.9434404
1.8112,0.9824836,1.010995,0.9824836,0.9878498,1.012699,0.9878498,0.9867053,1.014172,0.9867053,0.9814612,1.012003,0.9814611,0.977337,1.006566,0.977337
1.9636,1.009813,1.037484,1.009546,1.018972,1.042542,1.018527,1.016104,1.045431,1.015638,1.006769,1.043917,1.006525,1.000243,1.039776,1.000233
2.1160,1.091957,1.119038,1.089301,1.095627,1.126694,1.092461,1.084754,1.124672,1.081225,1.069126,1.114165,1.065946,1.060829,1.103851,1.058172
2.2684,1.129036,1.152946,1.125601,1.133937,1.158653,1.130236,1.123855,1.152188,1.119991,1.109254,1.141339,1.105471,1.102087,1.136713,1.098312
2.4208,1.159929,1.172057,1.157659,1.164383,1.17193,1.162914,1.152107,1.164198,1.149974,1.141309,1.158702,1.138512,1.144138,1.161878,1.141221
2.5732,1.168259,1.167066,1.168501,1.178621,1.17808,1.178739,1.170859,1.177822,1.169438,1.163632,1.176831,1.161097,1.169572,1.184185,1.16665
2.7256,1.161777,1.135889,1.166966,1.18807,1.167825,1.192908,1.189007,1.178959,1.191385,1.184462,1.186165,1.184078,1.192052,1.206259,1.188746
2.8780,1.151267,1.096094,1.161927,1.183362,1.140155,1.193745,1.189492,1.156901,1.197514,1.189016,1.166939,1.194341,1.199896,1.19283,1.20168
3.0304,1.13499,1.046269,1.150738,1.177399,1.10538,1.194825,1.190086,1.130329,1.205546,1.191418,1.144295,1.203454,1.202427,1.176218,1.209368
3.1828,1.132419,1.000088,1.157079,1.17863,1.070933,1.206689,1.198434,1.107819,1.224696,1.207875,1.133891,1.229971,1.225926,1.178454,1.241
3.3352,1.144404,1.01738,1.170516,1.189504,1.088962,1.21744,1.210938,1.130145,1.235879,1.222975,1.157127,1.244258,1.242254,1.195717,1.258476
3.4876,1.149459,1.01321,1.179207,1.191189,1.07241,1.225839,1.212862,1.112313,1.245596,1.224702,1.143472,1.25208,1.239831,1.180997,1.260562
3.6400,1.150868,1.021674,1.179044,1.187502,1.069315,1.221038,1.212541,1.109442,1.246217,1.227497,1.141935,1.257108,1.237882,1.170566,1.261748
3.7924,1.165143,1.048291,1.193108,1.19646,1.089989,1.227884,1.224586,1.135145,1.255238,1.243106,1.171934,1.269342,1.25033,1.193375,1.271562
3.9448,1.171389,1.054557,1.20073,1.199399,1.09008,1.232519,1.227568,1.137815,1.258927,1.250802,1.180535,1.277835,1.263611,1.202651,1.288306
4.0972,1.177958,1.077611,1.203613,1.209105,1.115605,1.238368,1.236254,1.158382,1.264218,1.256287,1.195869,1.279755,1.267748,1.219953,1.286985
4.2496,1.193438,1.098191,1.220358,1.227277,1.146109,1.255069,1.251892,1.186375,1.276992,1.264934,1.215366,1.284658,1.270764,1.236951,1.284189
4.4020,1.203082,1.109363,1.231279,1.236813,1.16335,1.263033,1.260346,1.205589,1.281835,1.273427,1.231943,1.290405,1.281589,1.250155,1.294726
4.5544,1.210305,1.113599,1.241014,1.242766,1.166906,1.270961,1.263906,1.206559,1.286987,1.274972,1.232617,1.292481,1.282873,1.254679,1.29465
4.7068,1.20623,1.105383,1.23767,1.240879,1.164135,1.26914,1.263862,1.20717,1.286643,1.272357,1.233812,1.287944,1.274036,1.255562,1.281265
4.8592,1.246924,1.172945,1.274983,1.270217,1.207765,1.296543,1.287701,1.24076,1.308658,1.299512,1.265444,1.315192,1.3076,1.280645,1.320302
5.0116,1.262257,1.20625,1.284531,1.281502,1.232018,1.303015,1.296584,1.258887,1.313824,1.305013,1.278353,1.31741,1.30781,1.287066,1.317458
5.1640,1.278577,1.235391,1.296805,1.291909,1.253196,1.30924,1.303743,1.275456,1.316864,1.30997,1.290432,1.319129,1.309957,1.292259,1.318217
5.3164,1.285769,1.249275,1.301523,1.300957,1.269613,1.315398,1.311907,1.289215,1.32272,1.316652,1.299335,1.324989,1.316865,1.299067,1.325452
5.4688,1.299475,1.273631,1.311148,1.313058,1.290209,1.324009,1.323482,1.306367,1.331988,1.328353,1.316192,1.334465,1.328624,1.318613,1.333637
5.6212,1.31615,1.307025,1.320454,1.331334,1.321259,1.336442,1.339511,1.332042,1.343418,1.342406,1.338842,1.344276,1.343911,1.343556,1.344097
5.7736,1.313391,1.294698,1.32228,1.331128,1.316319,1.338714,1.338109,1.326499,1.344203,1.337028,1.329159,1.341102,1.335453,1.333334,1.336529
5.9260,1.313669,1.291525,1.324296,1.328964,1.311382,1.337939,1.335454,1.320689,1.343168,1.335155,1.32273,1.341601,1.334179,1.325809,1.338461
6.0784,1.315143,1.290428,1.327159,1.321882,1.296152,1.334835,1.324972,1.301244,1.337035,1.325485,1.304321,1.336205,1.325392,1.305238,1.335571
6.2308,1.325684,1.313159,1.331906,1.332381,1.316411,1.340631,1.338111,1.321938,1.346694,1.342772,1.325582,1.352115,1.345538,1.324714,1.357105
6.3832,1.328328,1.312858,1.336161,1.333818,1.316796,1.342693,1.338113,1.322662,1.346297,1.338083,1.325826,1.344525,1.334105,1.323979,1.339305
6.5356,1.33374,1.322042,1.33976,1.340461,1.326183,1.348085,1.345651,1.332756,1.352676,1.344465,1.336455,1.348754,1.337644,1.334492,1.339263
6.6880,1.343435,1.330451,1.35044,1.348403,1.333939,1.356413,1.351772,1.337668,1.359696,1.352594,1.340826,1.35919,1.351481,1.342591,1.356404
6.8404,1.346174,1.335855,1.351775,1.352493,1.337479,1.360974,1.354718,1.339008,1.363697,1.357658,1.344564,1.36519,1.363187,1.353539,1.368825
6.9928,1.346485,1.332143,1.354356,1.362193,1.345409,1.37214,1.366776,1.351902,1.375729,1.368578,1.360182,1.373585,1.374786,1.375101,1.374597
7.1452,1.337905,1.311687,1.352156,1.362659,1.344259,1.373635,1.372217,1.3589,1.380393,1.372512,1.364309,1.377485,1.374625,1.375063,1.374363
