#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.1348
#BOTTOM:,203.7412
DEPTH_LSF,RES_BD,RES_BIT,RES_BM,RES_BS,RES_RING
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
0.1348,0.2832057,0.4625276,0.2813427,0.2980127,0.287475
0.2872,0.2836373,0.5163214,0.328798,0.2927399,0.2649078
0.4396,0.3495328,0.5088713,0.2975666,0.4574218,0.3571576
0.5920,0.4333472,0.7158928,0.4866529,0.4577898,0.454937
0.7444,0.49919,0.7055805,0.44707,0.5585502,0.5316641
0.8968,0.5165228,0.7185453,0.5637904,0.5287181,0.5724734
1.0492,0.6148863,0.7416874,0.5864879,0.4674477,0.6100897
1.2016,0.588059,0.718837,0.5346512,0.6379637,0.6103853
1.3540,0.505169,0.6910423,0.5893977,0.6970878,0.6304538
1.5064,0.6244115,0.823076,0.6927733,0.6861574,0.5849524
1.6588,0.7234258,0.8003654,0.7113979,0.7047579,0.7537897
1.8112,0.7104686,0.8613771,0.734847,0.7412004,0.718543
1.9636,0.7089053,0.8388453,0.6986113,0.706036,0.729768
2.1160,0.6880338,1.021634,0.690194,0.6950298,0.7256687
2.2684,0.7571719,0.8712232,0.864548,0.7707632,0.7658119
2.4208,1.005667,0.9664112,0.8345968,0.7809969,0.7440349
2.5732,0.8442293,1.180301,1.104419,0.8351042,0.9985052
2.7256,1.040405,1.152648,0.9442313,0.9206925,1.021768
2.8780,1.112646,1.193338,1.253861,1.067102,1.132207
3.0304,1.124729,1.167556,1.125108,0.8594625,1.176443
3.1828,0.8452424,1.192042,0.89415,0.8773547,1.059903
3.3352,0.9603981,1.123629,1.3337,1.353886,1.015082
3.4876,1.201606,1.24991,0.8674623,0.7842686,1.13993
3.6400,1.346296,1.164847,1.454988,1.215674,1.350498
3.7924,1.002881,1.263606,1.30538,1.342592,1.251659
3.9448,1.497845,1.227496,1.314562,0.8959436,1.149603
4.0972,1.472692,1.165061,1.145005,0.9531547,0.8842283
4.2496,1.177354,1.164417,1.180729,0.9143069,0.9826556
4.4020,0.9544675,1.041299,1.297536,1.024481,1.075614
4.5544,1.014463,1.179207,1.083922,1.03935,1.154081
4.7068,1.439909,1.085778,1.248994,0.8535104,0.9458586
4.8592,1.194854,1.17498,1.276965,1.326597,1.040016
5.0116,1.411523,1.215217,1.474054,1.288526,1.358171
5.1640,1.385531,1.20098,1.344908,1.18353,1.398425
5.3164,1.285295,1.332598,1.351193,1.209023,1.267742
5.4688,1.2962,1.332759,1.512237,1.166091,1.382143
5.6212,1.165307,1.327146,1.565718,0.9556717,1.278814
5.7736,1.11238,1.249929,1.286754,1.086195,1.342468
5.9260,1.192188,1.267329,1.182559,1.304436,1.060646
6.0784,1.336776,1.241796,1.351125,1.079051,1.281633
6.2308,1.314295,1.230744,1.264474,1.170751,1.568329
6.3832,1.24591,1.264121,1.458343,1.232546,1.352274
6.5356,1.398336,1.323379,1.234847,1.287923,1.251541
6.6880,1.453725,1.384644,1.282197,1.499629,1.285304
6.8404,1.330491,1.321108,1.409351,1.391391,1.284733
6.9928,1.441368,1.365828,1.421047,1.232707,1.219379
7.1452,1.380474,1.295275,1.227861,1.213273,1.44865
7.2976,1.619908,1.311943,1.45778,1.457827,1.373358
7.4500,1.525051,1.313785,1.438292,1.427445,1.424718
7.6024,1.70723,1.382299,1.441439,1.237605,1.516996
7.7548,1.488539,1.360623,1.384727,1.543879,1.523083
7.9072,1.433424,1.408843,1.432123,1.322407,1.492343
8.0596,1.628237,1.320898,1.307896,1.253203,1.328113
8.2120,1.391942,1.567982,1.447714,1.068371,1.434449
8.3644,1.29355,1.412975,1.413585,1.275573,1.354664
8.5168,1.420233,1.544364,1.281094,1.281512,1.424037
8.6692,1.466286,1.615525,1.257689,1.39712,1.392901
8.8216,1.866177,1.664634,1.334134,1.58708,1.4252
8.9740,1.597458,1.639281,1.594266,1.407322,1.490294
9.1264,1.700982,1.597084,1.543435,1.486602,1.601963
9.2788,1.489103,1.619754,1.681731,1.53346,1.588388
9.4312,1.554474,1.67733,1.791002,1.683895,1.700497
9.5836,1.538339,1.595103,1.615403,1.204031,1.48316
9.7360,1.759467,1.620329,1.367705,1.426149,1.46562
9.8884,1.333082,1.616719,1.62999,1.564856,1.516202
10.0408,1.516063,1.547056,1.433834,1.418438,1.491496
10.1932,1.941867,1.701008,1.688206,1.653767,1.528073
10.3456,1.551565,1.745271,1.633277,1.458594,1.58107
10.4980,1.735304,1.691881,1.551991,1.480785,1.503211
10.6504,1.514742,1.697707,1.530534,1.600157,1.574244
10.8028,1.534521,1.569618,1.684207,1.571437,1.512282
10.9552,1.772493,1.677042,1.590565,1.686412,1.577815
11.1076,1.549759,1.621418,1.303343,1.342334,1.722514
11.2600,1.542361,1.650741,1.634034,1.370062,1.463143
11.4124,1.252519,1.606717,1.50796,1.672928,1.694842
11.5648,1.475587,1.771313,1.5036,1.412297,1.422223
11.7172,1.726452,1.685251,1.529262,1.536436,1.486561
11.8696,1.40839,1.590074,1.994731,1.733289,1.6957
12.0220,1.613293,1.69865,1.462764,1.665785,1.508532
12.1744,1.809051,1.519172,1.603791,1.506758,1.523669
12.3268,1.73429,1.759804,1.514748,1.60794,1.439863
12.4792,1.551092,1.567475,1.612084,1.446895,1.424204
