#HOLE:,U1517A,,
#EXPEDITION:,372,,
#TOP:,0.4396,,
#BOTTOM:,205.4176,,
DEPTH_LSF,DHAP,DHAT,ECD
m,psi,degC,g/cm3
0.4396,1079.002224,6,4.540397
0.592,1080.001971,6,4.526965
0.7444,1080.001971,6,4.414488
0.8968,1080.002116,6,4.276427
1.0492,1081.002153,6,4.28518
1.2016,1083.001792,6,4.465213
1.354,1082.002045,6,4.192898
1.5064,1084.001974,6,4.350149
1.6588,1084.001974,6,4.222549
1.8112,1083.001937,6,4.01653
1.9636,1084.001974,6,4.01127
2.116,1086.001758,8.999632,4.134719
2.2684,1087.001795,9,4.153603
2.4208,1086.002193,9,3.961068
2.5732,1087.001795,9,3.972705
2.7256,1086.002193,9.000152,3.784649
2.878,1087.001795,10,3.808242
3.0304,1086.002048,10,3.63303
3.1828,1087.002085,10,3.653951
3.3352,1088.001977,10,3.67723
3.4876,1086.002048,10,3.42891
3.64,1089.001869,10,3.629547
3.7924,1088.002122,10,3.480707
3.9448,1087.002085,10,3.327684
4.0972,1086.002193,10,3.184221
4.2496,1088.001977,10,3.290675
4.402,1088.001977,10,3.238282
4.5544,1088.002412,10,3.177949
4.7068,1090.001906,10,3.283357
4.8592,1089.001869,10,3.160862
5.0116,1088.002122,10,3.026354
5.164,1089.001869,10,3.058185
5.3164,1087.002085,10,2.870425
5.4688,1089.002014,10,2.960479
5.6212,1090.001906,10,2.989127
5.7736,1090.002051,10,2.948108
5.926,1089.002159,10.99989,2.83062
6.0784,1089.002014,11,2.793721
6.2308,1091.001508,11,2.880273
6.3832,1089.002159,11,2.718764
6.5356,1090.001906,11,2.744702
6.688,1089.002449,11,2.640596
6.8404,1092.00198,11,2.7882
6.9928,1091.001943,11,2.69327
7.1452,1091.001943,11,2.657334
7.2976,1090.002051,11,2.57381
7.45,1092.00198,11,2.647277
7.6024,1092.00198,11,2.625149
7.7548,1092.00198,11,2.58195
7.9072,1093.001872,11,2.614781
8.0596,1093.001727,11,2.576284
8.212,1092.002415,11,2.494515
8.3644,1094.001619,11,2.574841
8.5168,1092.002705,11,2.432375
8.6692,1096.001983,11,2.618046
8.8216,1096.001983,11,2.587845
8.974,1096.001983,11,2.556408
9.1264,1096.001983,11,2.531634
9.2788,1097.00202,11,2.552972
9.4312,1096.001983,11,2.473165
9.5836,1096.001983,11,2.44707
9.736,1097.001875,11,2.472622
9.8884,1093.002452,11,2.253055
10.0408,1095.002236,11,2.328938
10.1932,1096.002128,11,2.346618
10.3456,1097.002165,11,2.369533
10.498,1098.001622,11,2.392585
10.6504,1096.002273,11,2.283205
10.8028,1099.001949,11,2.392007
10.9552,1099.001949,11,2.367705
11.1076,1099.001949,11,2.344348
11.26,1098.001912,11,2.279348
11.4124,1100.001841,11,2.34764
11.5648,1100.001986,11,2.326535
11.7172,1102.00177,11,2.388934
11.8696,1101.002168,11,2.326901
12.022,1100.001696,11,2.256959
12.1744,1099.002674,11,2.196138
12.3268,1102.001335,11,2.301725
12.4792,1098.002347,11,2.118641
12.6316,1101.001588,11,2.220356
12.784,1098.002057,11,2.077629
12.9364,1100.001986,11,2.140069
13.0888,1101.002023,11,2.171048
13.2412,1100.001986,11,2.104559
13.3936,1102.001915,11,2.168404
13.546,1099.002239,11,2.029449
13.6984,1103.001662,11,2.165461
13.8508,1102.00206,11,2.109
14.0032,1101.002748,11,2.054927
14.1556,1104.001844,11,2.151643
14.308,1103.002097,11,2.094875
14.4604,1104.001844,11,2.117169
14.6128,1103.001952,11,2.063183
14.7652,1102.00206,11,2.010266
14.9176,1104.001989,11,2.065614
15.07,1102.001915,11,1.982052
15.2224,1104.001989,11,2.034646
15.3748,1104.001989,11,2.019151
15.5272,1103.002097,11,1.969097
15.6796,1104.001844,11,1.988193
15.832,1107.001665,11,2.078975
15.9844,1106.002063,11,2.028123
16.1368,1106.002063,11,2.011831
16.2892,1106.002353,11,1.998238
16.4416,1108.001992,11,2.051398
16.594,1108.001847,11,2.035887
16.7464,1106.002063,11,1.957033
16.8988,1107.001955,11,1.973777
17.0512,1105.002026,11,1.896825
17.2036,1107.001955,11,1.94612
17.356,1108.001992,11,1.965454
17.5084,1107.0021,11,1.923828
17.6608,1108.001847,11,1.942976
17.8132,1109.002464,11,1.95728
17.9656,1111.001088,11,2.004832
18.118,1107.00239,11,1.869028
18.2704,1109.002319,11,1.919483
18.4228,1111.001958,11,1.966989
18.5752,1111.001958,11,1.953673
18.7276,1111.001958,11,1.939061
18.88,1110.002066,11,1.896536
19.0324,1111.001958,11,1.916649
19.1848,1110.002066,11,1.87405
19.3372,1113.001742,11,1.951563
19.4896,1110.002356,11,1.849354
19.642,1111.001813,11,1.867863
19.7944,1111.001813,11,1.854791
19.9468,1110.002066,11,1.816558
20.0992,1110.002501,11,1.803144
20.2516,1113.002322,11,1.881723
20.404,1115.001816,11,1.922879
20.5564,1114.002069,11,1.886016
20.7088,1114.002069,11,1.871743
20.8612,1115.001961,11,1.887211
21.0136,1114.002069,11,1.851324
21.166,1113.002032,11,1.810057
21.3184,1113.002032,11,1.802464
21.4708,1113.002032,11,1.78917
21.6232,1111.002248,11,1.728215
21.7756,1112.00272,11,1.743344
21.928,1115.001816,11,1.811617
22.0804,1114.002069,10.99984,1.776845
22.2328,1114.002214,10.00013,1.765428
22.3852,1115.002251,11,1.780463
22.5376,1117.00189,11,1.823191
22.69,1116.001998,11,1.787057
22.8424,1115.001961,11,1.751917
22.9948,1116.001998,11,1.768189
23.1472,1116.001998,11,1.75786
23.2996,1118.001927,11,1.79767
23.452,1116.002288,11,1.739509
23.6044,1117.002035,11,1.75395
23.7568,1117.0016,11,1.744827
23.9092,1115.002831,11,1.686805
24.0616,1119.001964,11,1.77424
24.214,1119.001964,11,1.76828
24.3664,1119.001964,11,1.757498
24.5188,1119.001964,11,1.749438
24.6712,1119.001964,11,1.738592
24.8236,1120.002001,11,1.752684
24.976,1121.002038,11,1.767013
25.1284,1120.002001,11,1.735343
25.2808,1119.002109,11,1.702229
25.4332,1120.001856,11,1.717676
25.5856,1123.002257,11,1.778057
25.738,1124.001569,11,1.794689
25.8904,1122.00193,11,1.737239
26.0428,1122.00193,11,1.72828
26.1952,1122.00193,11,1.720284
26.3476,1121.002183,11,1.689946
26.5,1123.001967,11,1.725587
26.6524,1121.002038,11,1.672046
26.8048,1121.002038,11,1.663942
26.9572,1124.001859,11,1.723031
27.1096,1123.002112,11,1.693581
27.262,1124.002004,11,1.707173
27.4144,1124.002004,11,1.698789
27.5668,1124.002004,11,1.692312
27.7192,1124.001859,11,1.683527
27.8716,1123.002402,11,1.653487
28.024,1125.002476,11,1.689375
28.1764,1128.001572,11,1.745458
28.3288,1124.002004,11,1.652508
28.4812,1124.002004,11,1.645086
28.6336,1124.002004,11,1.635805
28.786,1124.002004,11,1.630977
28.9384,1125.002041,11,1.642551
29.0908,1125.002041,11,1.634915
29.2432,1125.002041,11,1.62823
29.3956,1127.001825,11,1.662404
29.548,1126.001643,11,1.634985
29.7004,1124.003019,11,1.585627
29.8528,1129.001754,11,1.680705
30.0052,1127.00226,11,1.633328
30.1576,1128.002152,11,1.647986
30.31,1129.002189,11,1.659272
30.4624,1130.001936,11,1.672541
30.6148,1129.002044,11,1.644429
30.7672,1128.002007,11,1.617014
30.9196,1129.002044,11,1.629525
31.072,1129.002044,11,1.622915
31.2244,1127.00226,11,1.579277
31.3768,1128.001717,11,1.59036
