#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.0332
#BOTTOM:,196.3244
DEPTH_LSF,DTCO,DTSM,VCO,VSH
m,us/ft,us/ft,km/s,km/s
0.0332,206.89297,-999.25.00000,1.4732,-999.25
0.1856,207.35735,-999.25.00000,1.4699,-999.25
0.3380,208.08044,-999.25.00000,1.4648,-999.25
0.4904,208.31265,-999.25.00000,1.4632,-999.25
0.6428,208.32063,-999.25.00000,1.4631,-999.25
0.7952,208.31268,-999.25.00000,1.4632,-999.25
0.9476,208.08035,-999.25.00000,1.4648,-999.25
1.1000,207.35730,-999.25.00000,1.4699,-999.25
1.2524,206.89290,-999.25.00000,1.4732,-999.25
1.4048,206.16187,-999.25.00000,1.4784,-999.25
1.5572,205.68951,-999.25.00000,1.4818,-999.25
1.7096,204.71832,-999.25.00000,1.4889,-999.25
1.8620,203.28275,-999.25.00000,1.4994,-999.25
2.0144,200.89984,-999.25.00000,1.5172,-999.25
2.1668,197.80974,-999.25.00000,1.5409,-999.25
2.3192,195.43474,-999.25.00000,1.5596,-999.25
2.4716,194.23921,-999.25.00000,1.5692,-999.25
2.6240,194.23111,-999.25.00000,1.5693,-999.25
2.7764,195.17038,-999.25.00000,1.5617,-999.25
2.9288,196.10999,-999.25.00000,1.5542,-999.25
3.0812,196.11781,-999.25.00000,1.5542,-999.25
3.2336,195.40268,-999.25.00000,1.5599,-999.25
3.3860,194.93831,-999.25.00000,1.5636,-999.25
3.5384,194.21521,-999.25.00000,1.5694,-999.25
3.6908,193.99098,-999.25.00000,1.5712,-999.25
3.8432,194.21521,-999.25.00000,1.5694,-999.25
3.9956,194.92244,-999.25.00000,1.5637,-999.25
4.1480,194.92247,-999.25.00000,1.5637,-999.25
4.3004,194.22324,-999.25.00000,1.5693,-999.25
4.4528,194.22316,-999.25.00000,1.5693,-999.25
4.6052,194.93030,-999.25.00000,1.5636,-999.25
4.7576,195.16254,-999.25.00000,1.5618,-999.25
4.9100,195.16255,-999.25.00000,1.5618,-999.25
5.0624,194.92232,-999.25.00000,1.5637,-999.25
5.2148,193.97498,-999.25.00000,1.5713,-999.25
5.3672,193.01970,-999.25.00000,1.5791,-999.25
5.5196,192.54739,-999.25.00000,1.5830,-999.25
5.6720,191.82428,-999.25.00000,1.5890,-999.25
5.8244,191.58415,-999.25.00000,1.5909,-999.25
5.9768,191.34404,-999.25.00000,1.5929,-999.25
6.1292,190.62094,-999.25.00000,1.5990,-999.25
6.2816,190.15654,-999.25.00000,1.6029,-999.25
6.4340,189.44139,-999.25.00000,1.6089,-999.25
6.5864,189.44925,-999.25.00000,1.6089,-999.25
6.7388,190.39687,-999.25.00000,1.6009,-999.25
6.8912,191.56839,-999.25.00000,1.5911,-999.25
7.0436,192.28337,-999.25.00000,1.5852,-999.25
