#HOLE:,U1520A
#EXPEDITION:,372
#TOP:,37.0080
#BOTTOM:,97.8157
DEPTH_LSF,UCAV
m,in
37.0080,10.91981
37.1604,10.86606
37.3128,10.941
37.4652,10.49343
37.6176,10.66782
37.7700,10.72376
37.9224,10.87361
38.0748,10.54589
38.2272,10.82738
38.3796,10.57481
38.5320,10.83692
38.6844,10.68764
38.8368,11.0786
38.9892,11.39744
39.1416,11.32604
39.2940,11.31293
39.4464,11.14574
39.5988,11.13813
39.7512,11.10825
39.9036,10.81244
40.0560,11.13849
40.2084,11.64229
40.3608,11.18958
40.5132,11.245
40.6656,11.24507
40.8180,11.33995
40.9704,11.38812
41.1228,11.40917
41.2752,11.44375
41.4276,11.43813
41.5800,11.44604
41.7324,11.38375
41.8848,11.38374
42.0372,11.37001
42.1896,11.37
42.3420,11.37
42.4944,11.36999
42.6468,11.3416
42.7992,8.844672
42.9516,8.89999
43.1040,8.9
43.2564,8.9
43.4088,8.9
43.5612,8.9
43.7136,8.900057
43.8660,9.598125
44.0184,9.596252
44.1708,10.71891
44.3232,11.03061
44.4756,10.98061
44.6280,10.94126
44.7804,10.95499
44.9328,11.00124
45.0852,11.02623
45.2376,10.92142
45.3900,11.21606
45.5424,10.97007
45.6948,10.97625
45.8472,10.98378
45.9996,11.04995
46.1520,11.05
46.3044,11.29666
46.4568,11.29667
46.6092,11.29667
46.7616,11.29667
46.9140,10.98567
47.0664,11.0088
47.2188,11.23726
47.3712,10.82839
47.5236,10.78376
47.6760,10.77876
47.8284,10.87537
47.9808,11.30592
48.1332,11.29938
48.2856,11.15546
48.4380,10.87374
48.5904,10.83374
48.7428,10.81751
48.8952,10.96227
49.0476,11.04247
49.2000,10.90642
49.3524,10.84754
49.5048,11.05807
49.6572,11.07875
49.8096,11.07875
49.9620,11.07875
50.1144,11.07875
50.2668,11.07875
50.4192,11.07827
50.5716,9.690931
50.7240,10.1179
50.8764,10.17999
51.0288,11.41484
51.1812,10.71334
51.3336,10.72978
51.4860,10.67126
51.6384,11.275
51.7908,11.27515
51.9432,11.59726
52.0956,10.91901
52.2480,10.765
52.4004,11.08912
52.5528,10.94887
52.7052,11.11866
52.8576,11.12937
53.0100,11.40487
53.1624,10.84207
53.3148,11.17604
53.4672,11.14792
53.6196,11.14485
53.7720,10.93561
53.9244,10.89503
54.0768,10.91249
54.2292,10.94125
54.3816,11.27128
54.5340,11.36178
54.6864,11.23642
54.8388,11.16126
54.9912,11.15867
55.1436,10.81258
55.2960,10.95325
55.4484,10.92126
55.6008,10.86878
55.7532,11.11625
55.9056,11.11625
56.0580,11.11625
56.2104,11.11625
56.3628,11.10856
56.5152,11.06634
56.6676,10.95006
56.8200,10.93833
56.9724,10.93826
57.1248,10.65924
57.2772,10.43597
57.4296,10.43896
57.5820,10.42124
57.7344,10.36502
57.8868,10.4108
58.0392,10.56057
58.1917,10.62875
58.3441,10.65852
58.4965,10.03977
58.6489,10.30612
58.8013,10.82014
58.9537,11.0412
59.1061,10.85196
59.2585,10.98346
59.4109,10.85516
59.5633,10.87834
59.7157,10.9086
59.8681,10.60356
60.0205,10.66706
60.1729,10.58
60.3253,10.49061
60.4777,10.45299
60.6301,10.45875
60.7825,10.48625
60.9349,10.18747
61.0873,10.04815
61.2397,10.08206
61.3921,10.24027
61.5445,10.0425
61.6969,10.0425
61.8493,10.0425
62.0017,10.62749
62.1541,11.12125
62.3065,11.05875
62.4589,11.06636
62.6113,11.21618
62.7637,10.93316
62.9161,10.8025
63.0685,10.79631
63.2209,10.88495
63.3733,10.96321
63.5257,10.94625
63.6781,10.95
63.8305,10.95
63.9829,10.9375
64.1353,11.1575
64.2877,11.1575
64.4401,11.15726
64.5925,10.84515
64.7449,10.845
64.8973,10.826
65.0497,10.83833
65.2021,10.83833
65.3545,11.15326
65.5069,11.245
65.6593,11.26595
65.8117,11.49567
65.9641,11.15726
66.1165,11.29929
66.2689,11.44424
66.4213,11.32319
66.5737,11.75884
66.7261,11.37075
66.8785,11.83141
67.0309,11.6507
67.1833,11.77055
67.3357,11.80999
67.4881,11.84187
67.6405,11.82353
67.7929,8.987029
67.9453,9.108083
68.0977,9.22875
68.2501,9.22875
68.4025,9.22875
68.5549,9.22875
68.7073,10.93546
68.8597,11.53631
69.0121,11.74382
69.1645,11.84994
69.3169,11.71066
69.4693,11.55312
69.6217,11.51625
69.7741,11.51625
69.9265,11.51625
70.0789,11.51625
70.2313,11.51625
70.3837,11.51625
70.5361,11.51625
70.6885,11.51625
70.8409,11.48806
70.9933,10.49991
71.1457,10.36608
71.2981,10.74992
71.4505,10.35128
71.6029,10.5256
71.7553,10.4836
71.9077,10.42741
72.0601,10.5539
72.2125,10.65578
72.3649,11.03565
72.5173,11.07102
72.6697,11.66058
72.8221,11.54332
72.9745,11.51164
73.1269,11.79015
73.2793,11.64128
73.4317,11.30371
73.5841,11.05
73.7365,11.05026
73.8889,11.3374
74.0413,11.33746
74.1937,10.37443
74.3461,10.51607
74.4985,10.28698
74.6509,10.3225
74.8033,10.32246
74.9557,10.17497
75.1081,10.13127
75.2605,10.27697
75.4129,10.46376
75.5653,10.50493
75.7177,10.37524
75.8701,11.18474
76.0225,10.40377
76.1749,10.80413
76.3273,10.61409
76.4797,10.50386
76.6321,10.50653
76.7845,10.39578
76.9369,10.40751
77.0893,10.42129
77.2417,10.56199
77.3941,10.85311
77.5465,10.74253
77.6989,10.78592
77.8513,10.4222
78.0037,10.40001
78.1561,10.58312
78.3085,10.57871
78.4609,10.52502
78.6133,10.33876
78.7657,10.46679
78.9181,10.51372
79.0705,10.90853
79.2229,10.59444
79.3753,10.38377
79.5277,10.5195
79.6801,10.74293
79.8325,10.53427
79.9849,10.26009
80.1373,10.35037
80.2897,9.991397
80.4421,10.17517
80.5945,10.00396
80.7469,9.976177
80.8993,10.15194
81.0517,10.4206
81.2041,10.42326
81.3565,11.2198
81.5089,10.70002
81.6613,11.11997
81.8137,10.97379
81.9661,11.1764
82.1185,10.98248
82.2709,10.93045
82.4233,10.96842
82.5757,10.49149
82.7281,10.69625
82.8805,10.69625
83.0329,10.69625
83.1853,10.69625
83.3377,10.69625
83.4901,10.69625
83.6425,10.69625
83.7949,10.69625
83.9473,10.69626
84.0997,10.77787
84.2521,11.25375
84.4045,11.25375
84.5569,10.72076
84.7093,10.84168
84.8617,11.704
85.0141,11.32458
85.1665,10.82071
85.3189,11.00025
85.4713,12.26372
85.6237,12.21218
85.7761,11.86635
85.9285,11.86626
86.0809,11.984
86.2333,12.53814
86.3857,10.24971
86.5381,10.88122
86.6905,10.8032
86.8429,11.04616
86.9953,10.84636
87.1477,11.01664
87.3001,10.90835
87.4525,11.01867
87.6049,10.83506
87.7573,10.89555
87.9097,10.77775
88.0621,10.78261
88.2145,11.02122
88.3669,10.73543
88.5193,10.73125
88.6717,10.6875
88.8241,10.68375
88.9765,10.68375
89.1289,10.68375
89.2813,10.68366
89.4337,10.24386
89.5861,10.42591
89.7385,10.50685
89.8909,10.77412
90.0433,10.73339
90.1957,10.58686
90.3481,10.57416
90.5005,10.43626
90.6529,10.30719
90.8053,10.63849
90.9577,10.62272
91.1101,11.33624
91.2625,13.69192
91.4149,10.93645
91.5673,10.77773
91.7197,10.68752
91.8721,10.73135
92.0245,10.70998
92.1769,10.67247
92.3293,10.63751
92.4817,10.6375
92.6341,11.14165
92.7865,10.48079
92.9389,10.70988
93.0913,10.46629
93.2437,10.28629
93.3961,10.44311
93.5485,10.22888
93.7009,10.25874
93.8533,10.6006
94.0057,10.35468
94.1581,10.15439
94.3105,10.17749
94.4629,10.13696
94.6153,10.15659
94.7677,10.24434
94.9201,10.23376
95.0725,10.32413
95.2249,10.38248
95.3773,10.31289
95.5297,10.27365
95.6821,10.16753
95.8345,10.20001
95.9869,10.26247
96.1393,10.20117
96.2917,10.24951
96.4441,10.1525
96.5965,10.26778
96.7489,10.17628
96.9013,10.21456
97.0537,10.30999
97.2061,10.35422
97.3585,10.65393
97.5109,10.60706
97.6633,10.58157
97.8157,10.58156

