#HOLE:,U1520A
#EXPEDITION:,372
#TOP:,35.1792
#BOTTOM:,95.9869
DEPTH_LSF,RHON
m,g/cm3
35.1792,1.655065
35.3316,1.702215
35.4840,1.682189
35.6364,1.644767
35.7888,1.644931
35.9412,1.592125
36.0936,1.523813
36.2460,1.503332
36.3984,1.454151
36.5508,1.45038
36.7032,1.515814
36.8556,1.558769
37.0080,1.589155
37.1604,1.564525
37.3128,1.567338
37.4652,1.548249
37.6176,1.533416
37.7700,1.505246
37.9224,1.521941
38.0748,1.511477
38.2272,1.545176
38.3796,1.563811
38.5320,1.599316
38.6844,1.610926
38.8368,1.625176
38.9892,1.622156
39.1416,1.622485
39.2940,1.6183
39.4464,1.615584
39.5988,1.60799
39.7512,1.609072
39.9036,1.597479
40.0560,1.590209
40.2084,1.5879
40.3608,1.572545
40.5132,1.558836
40.6656,1.533802
40.8180,1.518931
40.9704,1.522209
41.1228,1.472845
41.2752,1.441838
41.4276,1.394738
41.5800,1.363463
41.7324,1.295253
41.8848,1.264375
42.0372,1.210448
42.1896,1.196542
42.3420,1.164798
42.4944,1.110415
42.6468,1.070629
42.7992,1.012028
42.9516,0.9964311
43.1040,1.018528
43.2564,1.052146
43.4088,1.080256
43.5612,1.12466
43.7136,1.159423
43.8660,1.226197
44.0184,1.290806
44.1708,1.348711
44.3232,1.427709
44.4756,1.493341
44.6280,1.510861
44.7804,1.524885
44.9328,1.500493
45.0852,1.479634
45.2376,1.479326
45.3900,1.484355
45.5424,1.499842
45.6948,1.494094
45.8472,1.507285
45.9996,1.547201
46.1520,1.571625
46.3044,1.562328
46.4568,1.535176
46.6092,1.516585
46.7616,1.507411
46.9140,1.509822
47.0664,1.516972
47.2188,1.552261
47.3712,1.564577
47.5236,1.581398
47.6760,1.598083
47.8284,1.598554
47.9808,1.587574
48.1332,1.58166
48.2856,1.574733
48.4380,1.540107
48.5904,1.512711
48.7428,1.481922
48.8952,1.449809
49.0476,1.414836
49.2000,1.39435
49.3524,1.372082
49.5048,1.343504
49.6572,1.345442
49.8096,1.348948
49.9620,1.33252
50.1144,1.327125
50.2668,1.302087
50.4192,1.310147
50.5716,1.306058
50.7240,1.321621
50.8764,1.3258
51.0288,1.314115
51.1812,1.306982
51.3336,1.317218
51.4860,1.283474
51.6384,1.286736
51.7908,1.32868
51.9432,1.328244
52.0956,1.343471
52.2480,1.32626
52.4004,1.326267
52.5528,1.341611
52.7052,1.383762
52.8576,1.383819
53.0100,1.414452
53.1624,1.444918
53.3148,1.484674
53.4672,1.50537
53.6196,1.513888
53.7720,1.545303
53.9244,1.555495
54.0768,1.570944
54.2292,1.596749
54.3816,1.612523
54.5340,1.633354
54.6864,1.631783
54.8388,1.575129
54.9912,1.528225
55.1436,1.480729
55.2960,1.40837
55.4484,1.355173
55.6008,1.321808
55.7532,1.296615
55.9056,1.284485
56.0580,1.302127
56.2104,1.34401
56.3628,1.388483
56.5152,1.439401
56.6676,1.505214
56.8200,1.534586
56.9724,1.552342
57.1248,1.532691
57.2772,1.499526
57.4296,1.465091
57.5820,1.430444
57.7344,1.380826
57.8868,1.378947
58.0392,1.376308
58.1917,1.38325
58.3441,1.373908
58.4965,1.387697
58.6489,1.398133
58.8013,1.435656
58.9537,1.46512
59.1061,1.493774
59.2585,1.530211
59.4109,1.550705
59.5633,1.524424
59.7157,1.510197
59.8681,1.510929
60.0205,1.493897
60.1729,1.461158
60.3253,1.469561
60.4777,1.475507
60.6301,1.469855
60.7825,1.48193
60.9349,1.511791
61.0873,1.532586
61.2397,1.524533
61.3921,1.516294
61.5445,1.456129
61.6969,1.411494
61.8493,1.387683
62.0017,1.38677
62.1541,1.403467
62.3065,1.436007
62.4589,1.468827
62.6113,1.487058
62.7637,1.509518
62.9161,1.507253
63.0685,1.524201
63.2209,1.523728
63.3733,1.53211
63.5257,1.522957
63.6781,1.532886
63.8305,1.523838
63.9829,1.497581
64.1353,1.442483
64.2877,1.412526
64.4401,1.372877
64.5925,1.330901
64.7449,1.288162
64.8973,1.254031
65.0497,1.250679
65.2021,1.282051
65.3545,1.323161
65.5069,1.396361
65.6593,1.458638
65.8117,1.523554
65.9641,1.571297
66.1165,1.624206
66.2689,1.636581
66.4213,1.647289
66.5737,1.652417
66.7261,1.637244
66.8785,1.59362
67.0309,1.578809
67.1833,1.541322
67.3357,1.469391
67.4881,1.400756
67.6405,1.330925
67.7929,1.288581
67.9453,1.246806
68.0977,1.222442
68.2501,1.245498
68.4025,1.279847
68.5549,1.285645
68.7073,1.320258
68.8597,1.358377
69.0121,1.403505
69.1645,1.389194
69.3169,1.388168
69.4693,1.385838
69.6217,1.364596
69.7741,1.340503
69.9265,1.323786
70.0789,1.311965
70.2313,1.316699
70.3837,1.317147
70.5361,1.312093
70.6885,1.295798
70.8409,1.279426
70.9933,1.29021
71.1457,1.292831
71.2981,1.34725
71.4505,1.405544
71.6029,1.450019
71.7553,1.446848
71.9077,1.453565
72.0601,1.43596
72.2125,1.432921
72.3649,1.417751
72.5173,1.421081
72.6697,1.449448
72.8221,1.493322
72.9745,1.487828
73.1269,1.471356
73.2793,1.432402
73.4317,1.392459
73.5841,1.356705
73.7365,1.32567
73.8889,1.277754
74.0413,1.25748
74.1937,1.270066
74.3461,1.32556
74.4985,1.3968
74.6509,1.475897
74.8033,1.546134
74.9557,1.58213
75.1081,1.587924
75.2605,1.564157
75.4129,1.514411
75.5653,1.485961
75.7177,1.453536
75.8701,1.448737
76.0225,1.436684
76.1749,1.453917
76.3273,1.476726
76.4797,1.505368
76.6321,1.506892
76.7845,1.524179
76.9369,1.511908
77.0893,1.517849
77.2417,1.461774
77.3941,1.439445
77.5465,1.410149
77.6989,1.377029
77.8513,1.323285
78.0037,1.336935
78.1561,1.321497
78.3085,1.314174
78.4609,1.302243
78.6133,1.314125
78.7657,1.322696
78.9181,1.331641
79.0705,1.362933
79.2229,1.385049
79.3753,1.432659
79.5277,1.441485
79.6801,1.451003
79.8325,1.468892
79.9849,1.48759
80.1373,1.510953
80.2897,1.533905
80.4421,1.551161
80.5945,1.534671
80.7469,1.548778
80.8993,1.561346
81.0517,1.570744
81.2041,1.586166
81.3565,1.603006
81.5089,1.592397
81.6613,1.584022
81.8137,1.567483
81.9661,1.524084
82.1185,1.490551
82.2709,1.46466
82.4233,1.424548
82.5757,1.375476
82.7281,1.328506
82.8805,1.278308
83.0329,1.21662
83.1853,1.15818
83.3377,1.134856
83.4901,1.139458
83.6425,1.158393
83.7949,1.209363
83.9473,1.289507
84.0997,1.36064
84.2521,1.417136
84.4045,1.456815
84.5569,1.47401
84.7093,1.461951
84.8617,1.420776
85.0141,1.370738
85.1665,1.306452
85.3189,1.250191
85.4713,1.232091
85.6237,1.256889
85.7761,1.304567
85.9285,1.351634
86.0809,1.358627
86.2333,1.384565
86.3857,1.391832
86.5381,1.404731
86.6905,1.40698
86.8429,1.448689
86.9953,1.471638
87.1477,1.502105
87.3001,1.518272
87.4525,1.540637
87.6049,1.554517
87.7573,1.523069
87.9097,1.494069
88.0621,1.45702
88.2145,1.395503
88.3669,1.326697
88.5193,1.256105
88.6717,1.206801
88.8241,1.190482
88.9765,1.211084
89.1289,1.228568
89.2813,1.278613
89.4337,1.324224
89.5861,1.382768
89.7385,1.455737
89.8909,1.507682
90.0433,1.563448
90.1957,1.551272
90.3481,1.53653
90.5005,1.56224
90.6529,1.549686
90.8053,1.486843
90.9577,1.501462
91.1101,1.502444
91.2625,1.480983
91.4149,1.487959
91.5673,1.475987
91.7197,1.425115
91.8721,1.457966
92.0245,1.48573
92.1769,1.479867
92.3293,1.509168
92.4817,1.525246
92.6341,1.512274
92.7865,1.527101
92.9389,1.54817
93.0913,1.541498
93.2437,1.555611
93.3961,1.578975
93.5485,1.579754
93.7009,1.58749
93.8533,1.576028
94.0057,1.592209
94.1581,1.592935
94.3105,1.592915
94.4629,1.620357
94.6153,1.627755
94.7677,1.622084
94.9201,1.631509
95.0725,1.625068
95.2249,1.565787
95.3773,1.537169
95.5297,1.53131
95.6821,1.517788
95.8345,1.509817
95.9869,1.491925

