#HOLE:,U1520A
#EXPEDITION:,372
#TOP:,37.6176
#BOTTOM:,99.3700
DEPTH_LSF,GRMA_FILT
m,gAPI
37.6176,18.89999
37.6480,19.49948
37.6785,20.09747
37.7090,20.69917
37.7395,21.29716
37.7700,21.89887
37.8004,22.50058
37.8309,23.09857
37.8614,23.70028
37.8919,24.29827
37.9224,24.89998
37.9528,25.4969
37.9833,26.09967
38.0138,26.6966
38.0443,27.29935
38.0748,27.8963
38.1052,27.9
38.1357,27.9
38.1662,27.9
38.1967,27.9
38.2272,27.9
38.2576,27.80345
38.2881,27.70708
38.3186,27.61011
38.3491,27.51374
38.3796,27.41677
38.4100,27.43609
38.4405,27.45557
38.4710,27.47518
38.5015,27.49466
38.5320,27.51427
38.5624,27.69324
38.5929,27.87407
38.6234,28.05315
38.6539,28.23397
38.6844,28.41306
38.7148,28.52507
38.7453,28.63681
38.7758,28.74747
38.8063,28.85921
38.8368,28.96987
38.8672,28.88308
38.8977,28.79585
38.9282,28.70807
38.9587,28.62084
38.9892,28.53307
39.0196,27.91747
39.0501,27.30404
39.0806,26.6868
39.1111,26.07338
39.1416,25.45614
39.1720,25.08784
39.2025,24.71627
39.2330,24.34533
39.2635,23.9767
39.2940,23.60634
39.3244,24.24104
39.3549,24.88196
39.3854,25.51667
39.4159,26.15758
39.4464,26.7923
39.4768,27.14041
39.5073,27.48474
39.5378,27.83121
39.5683,28.17554
39.5988,28.52201
39.6292,29.28241
39.6597,30.03964
39.6902,30.80158
39.7207,31.55881
39.7512,32.32075
39.7816,31.51144
39.8121,30.70416
39.8426,29.89185
39.8731,29.08457
39.9036,28.27226
39.9340,27.9886
39.9645,27.7022
39.9950,27.41857
40.0255,27.13217
40.0560,26.84853
40.0864,25.8457
40.1169,24.84463
40.1474,23.83734
40.1779,22.82826
40.2084,21.82895
40.2388,21.35002
40.2693,20.87635
40.2998,20.39973
40.3303,19.92606
40.3608,19.44945
40.3912,19.76908
40.4217,20.08876
40.4522,20.41042
40.4827,20.73009
40.5132,21.05175
40.5436,21.6783
40.5741,22.3112
40.6046,22.93799
40.6351,23.57087
40.6656,24.20242
40.6960,24.59317
40.7265,24.98775
40.7570,25.3785
40.7875,25.77307
40.8180,26.16384
40.8484,26.21977
40.8789,26.27368
40.9094,26.32792
40.9399,26.38184
40.9704,26.43608
41.0008,25.89602
41.0313,25.35743
41.0618,24.81549
41.0923,24.27691
41.1228,23.73497
41.1532,23.61082
41.1837,23.48602
41.2142,23.36142
41.2447,23.23761
41.2752,23.11231
41.3056,21.64002
41.3361,20.15331
41.3666,18.68098
41.3971,17.1943
41.4276,15.72195
41.4580,14.92594
41.4885,14.13869
41.5190,13.34654
41.5495,12.55929
41.5800,11.76716
41.6104,10.41196
41.6409,9.063047
41.6714,7.70574
41.7019,6.356824
41.7324,4.999533
41.7628,5.161592
41.7933,5.325596
41.8238,5.490621
41.8543,5.654626
41.8848,5.819651
41.9152,5.262896
41.9457,4.700614
41.9762,4.14377
42.0067,3.581502
42.0372,3.024645
42.0676,3.098972
42.0981,3.176793
