#HOLE:,U1520A
#EXPEDITION:,372
#TOP:,0.1272
#BOTTOM:,104.3689
DEPTH_LSF,ROP5,RPM_GVR
m,m/h,c/min
0.1272,291.3656,20
0.2796,288.4112,20
0.4320,286.7782,20
0.5844,283.6919,20
0.7368,279.591,-999.25
0.8892,273.4859,-999.25
1.0416,265.2834,22
1.1940,253.4709,22
1.3464,239.1265,22
1.4988,231.6409,22
1.6512,231.0935,-999.25
1.8036,233.905,23
1.9560,239.4184,23
2.1084,247.5264,23
2.2608,255.5404,23
2.4132,264.6376,-999.25
2.5656,275.0148,-999.25
2.7180,289.5054,28
2.8704,312.2827,28
3.0228,325.862,28
3.1752,325.1256,21.00004
3.3276,314.1584,21
3.4800,301.1747,23.99998
3.6324,293.0076,24
3.7848,289.9226,20
3.9372,288.8539,20
4.0896,289.1664,20
4.2420,289.6681,22
4.3944,287.8703,22
4.5468,284.8432,19.00518
4.6992,278.4507,19
4.8516,264.1136,19
5.0040,130.6611,19
5.1564,127.2275,19
5.3088,119.1058,19
5.4612,112.206,19
5.6136,109.152,20
5.7660,106.3512,18
5.9184,102.271,22.00504
6.0708,98.91814,22
6.2232,97.4251,22
6.3756,96.50002,22
6.5280,146.4209,22
6.6804,144.7135,27
6.8328,147.6949,27
6.9852,138.1429,23.00659
7.1376,113.9184,23
7.2900,92.45663,23
7.4424,83.22736,24
7.5948,82.63869,24
7.7472,81.6629,27.99352
7.8996,81.84232,28
8.0520,82.54639,28
8.2044,82.07147,28
8.3568,81.15901,28
8.5092,85.76168,28
8.6616,98.04798,14
8.8140,120.4384,14
8.9664,141.5868,22.98577
9.1188,144.2145,23
9.2712,144.4318,25
9.4236,136.1491,30
9.5760,136.0779,25
9.7284,136.7946,25
9.8808,139.8105,25
10.0332,138.9789,23
10.1856,139.8646,23
10.3380,143.2694,23
10.4904,145.5239,23
10.6428,140.3161,15.01221
10.7952,69.25827,15
10.9476,59.44977,29
11.1000,55.16152,21.01058
11.2524,54.44425,21
11.4048,53.96062,25
11.5572,53.25159,23.00001
11.7096,52.93812,25
11.8620,52.25743,14.99851
12.0144,51.75838,19.99998
12.1668,51.99725,21
12.3192,77.73727,22
12.4716,80.33772,24
12.6240,64.65421,24
12.7764,64.90088,24
12.9288,65.12991,28
13.0812,52.38587,19.01301
13.2336,47.65254,19
13.3860,45.45588,24
13.5384,36.90845,28.99285
13.6908,36.25051,29
13.8432,37.04855,29
13.9956,39.34649,18.01557
14.1480,46.69692,35.99994
14.3004,46.18313,27.01265
14.4528,45.05854,24
14.6052,52.67478,24
14.7576,55.59079,25
14.9100,57.96394,29.99723
15.0624,82.52299,27.00001
15.2148,86.39368,28.99999
15.3672,86.59691,29.00137
15.5196,82.34992,26.00001
15.6720,55.61544,27
15.8244,51.22964,29
15.9768,40.32376,24
16.1292,40.96733,24
16.2816,40.65517,24
16.4340,38.08708,27
16.5864,34.59832,26.00001
16.7388,34.56115,19
16.8912,30.96436,19
17.0436,24.15522,26.99998
17.1960,23.44462,25
17.3484,24.46228,26
17.5008,28.11418,29
