#HOLE:,U1520A
#EXPEDITION:,372
#TOP:,36.0936
#BOTTOM:,95.6821
DEPTH_LSF,BPHI,TNPH
m,%,%
36.0936,70.1847,70.7682
36.2460,77.3809,86.4359
36.3984,69.1147,64.5662
36.5508,71.0740,68.0723
36.7032,67.1470,64.3001
36.8556,64.6681,62.0278
37.0080,63.2901,61.0953
37.1604,61.7268,57.1932
37.3128,61.4265,56.8240
37.4652,70.5261,73.0875
37.6176,66.2612,63.6088
37.7700,73.2741,76.3036
37.9224,70.0253,70.3222
38.0748,71.6889,73.1864
38.2272,68.1967,68.0048
38.3796,70.0709,73.1178
38.5320,69.2986,73.7711
38.6844,67.0125,69.5472
38.8368,63.0536,62.5196
38.9892,68.9432,74.5129
39.1416,68.1610,72.7668
39.2940,70.0291,76.7825
39.4464,64.1872,64.1518
39.5988,66.1989,67.6893
39.7512,66.5968,68.5686
39.9036,66.2425,67.1608
40.0560,66.1193,66.4940
40.2084,66.0544,66.2335
40.3608,65.7213,64.7252
40.5132,60.5512,55.0172
40.6656,73.7679,79.5691
40.8180,71.1752,72.5637
40.9704,69.1455,68.5383
41.1228,70.6008,68.4823
41.2752,60.1391,49.6388
41.4276,83.3359,93.4656
41.5800,81.4755,85.3404
41.7324,86.7861,93.9417
41.8848,78.7499,71.7670
42.0372,96.1222,117.9112
42.1896,91.7909,99.3187
42.3420,100.4096,132.1306
42.4944,97.4203,109.1754
42.6468,101.6102,121.8231
42.7992,103.3632,120.9696
42.9516,95.7653,90.9402
43.1040,110.5168,129.9944
43.2564,97.6464,102.7553
43.4088,92.1905,88.8388
43.5612,90.6385,88.6679
43.7136,87.6436,83.9144
43.8660,88.7447,92.9195
44.0184,86.5823,92.8914
44.1708,77.3739,74.5023
44.3232,70.5379,65.7321
44.4756,67.1199,63.0396
44.6280,69.2672,68.1034
44.7804,68.9166,68.2391
44.9328,69.1886,67.3360
45.0852,71.0001,69.6974
45.2376,72.0816,71.9200
45.3900,77.5072,85.1461
45.5424,73.5093,76.4597
45.6948,72.1822,73.1025
45.8472,66.9216,63.4229
45.9996,73.2856,79.4072
46.1520,65.1988,63.6869
46.3044,65.8836,64.4719
46.4568,65.5622,62.4213
46.6092,73.5632,77.7965
46.7616,81.4453,99.2074
46.9140,70.6997,70.9662
47.0664,75.0870,81.5439
47.2188,64.6118,61.5913
47.3712,71.3146,75.9821
47.5236,63.1279,60.4151
47.6760,64.7766,64.3234
47.8284,66.9280,68.6184
47.9808,64.1751,62.6290
48.1332,65.6018,65.0010
48.2856,66.9517,67.2531
48.4380,68.1187,67.5489
48.5904,70.2675,70.2476
48.7428,73.6086,75.4227
48.8952,70.6823,67.2768
49.0476,73.5148,70.7742
49.2000,88.2109,110.4275
49.3524,80.0195,82.3471
49.5048,80.3432,80.8747
49.6572,77.8136,75.2279
49.8096,81.9994,85.4757
49.9620,82.3259,84.9292
50.1144,77.3473,72.9941
50.2668,82.9327,83.9347
50.4192,86.3595,94.1539
50.5716,80.5196,78.4422
50.7240,79.7832,77.9102
50.8764,80.9123,80.8638
51.0288,76.1571,69.7598
51.1812,83.3683,85.4672
51.3336,90.3114,108.5304
51.4860,83.2448,83.1901
51.6384,83.8302,84.9402
51.7908,82.5329,85.1421
51.9432,82.9782,86.2718
52.0956,86.0721,96.7009
52.2480,84.0581,89.0218
52.4004,72.6019,63.8679
52.5528,80.5857,81.3160
52.7052,72.4575,66.8227
52.8576,77.8422,78.0360
53.0100,74.9462,73.7441
53.1624,68.9448,63.7534
53.3148,73.3958,75.1378
53.4672,67.9338,65.2007
53.6196,66.5562,63.1064
53.7720,65.8410,63.4686
53.9244,67.2623,66.7515
54.0768,65.5436,64.2994
54.2292,71.0217,77.5975
54.3816,64.0584,63.7392
54.5340,64.3503,65.4514
54.6864,70.8216,79.7176
54.8388,70.1457,74.0433
54.9912,72.4694,76.0820
55.1436,73.4881,75.0706
55.2960,74.3316,72.0420
55.4484,82.0074,86.0337
55.6008,84.3120,89.3206
55.7532,86.3729,92.8496
55.9056,84.8617,87.4543
56.0580,82.4718,82.7875
56.2104,81.1005,82.7722
56.3628,85.3809,99.3122
56.5152,78.2303,83.2899
56.6676,79.2621,92.0048
56.8200,71.4777,74.2755
56.9724,67.3324,66.7073
57.1248,68.7914,68.4556
57.2772,67.8589,64.7357
57.4296,66.8597,61.1118
57.5820,75.4419,75.9346
57.7344,75.3359,72.3405
57.8868,80.9383,85.2584
58.0392,87.9127,106.9032
58.1917,69.2881,61.1269
58.3441,81.6362,86.6756
58.4965,68.6937,60.3507
58.6489,78.7745,81.3454
58.8013,76.5594,78.8879
58.9537,70.8605,68.5343
59.1061,66.2784,61.5584
59.2585,71.3646,73.7296
59.4109,74.1582,81.8612
59.5633,68.9434,68.2663
59.7157,66.0838,62.0657
59.8681,83.4275,106.8122
60.0205,80.5296,94.7818
60.1729,67.5155,62.0582
60.3253,71.0932,69.2689
60.4777,75.4355,79.2039
60.6301,74.5040,76.6052
60.7825,74.5583,77.6029
60.9349,71.4476,72.6845
61.0873,70.5384,72.0858
61.2397,73.9284,79.2629
61.3921,69.0786,68.0525
61.5445,73.4915,73.4070
61.6969,70.0470,63.9376
61.8493,79.3367,81.9055
62.0017,79.2917,81.7181
62.1541,75.0792,73.2946
62.3065,76.7878,79.4590
62.4589,70.8615,68.7681
62.6113,84.3496,107.3351
62.7637,66.6425,63.0333
62.9161,69.5996,68.5532
63.0685,67.4564,65.3503
63.2209,77.2461,87.8675
63.3733,73.2012,78.0775
63.5257,71.9038,74.4351
63.6781,68.6536,68.1906
63.8305,72.3387,75.4762
63.9829,66.5657,62.2656
64.1353,75.8678,77.7727
64.2877,74.9069,73.5349
64.4401,87.8440,106.2175
64.5925,83.7114,88.4914
64.7449,83.6467,84.5944
64.8973,88.8065,95.9402
65.0497,82.2331,78.2481
65.2021,87.9877,96.3065
65.3545,85.6747,93.3977
65.5069,79.3936,82.7415
65.6593,78.4654,85.5183
65.8117,67.6053,65.5977
65.9641,66.0289,65.2466
66.1165,64.8287,65.8790
66.2689,66.7593,70.6052
66.4213,58.3265,55.2743
66.5737,71.5490,83.2367
66.7261,60.3936,58.3241
66.8785,57.1809,51.2146
67.0309,66.5412,66.6747
67.1833,73.4077,79.2634
67.3357,72.1539,71.4343
67.4881,85.1381,99.8698
67.6405,81.0035,81.4923
67.7929,80.2252,76.5142
67.9453,84.5036,83.3253
68.0977,76.7899,65.5397
68.2501,87.0848,90.0149
68.4025,82.8211,81.8609
68.5549,78.8903,73.4510
68.7073,78.8857,75.8138
68.8597,82.2156,86.8744
69.0121,88.2880,112.0141
69.1645,81.0694,86.4931
69.3169,81.6151,87.8809
69.4693,78.2505,79.1413
69.6217,76.1819,73.0459
69.7741,87.3638,100.6445
69.9265,85.2464,92.1900
70.0789,85.7103,92.4041
