#HOLE:,U1520A
#EXPEDITION:,372
#TOP:,33.3504
#BOTTOM:,96.1393
DEPTH_LSF,P16B,P16H,P16L,P22B,P22H,P22L,P28B,P28H,P28L,P34B,P34H,P34L,P40B,P40H,P40L
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
33.3504,1.07544,1.063999,1.076386,1.24652,1.356017,1.216281,1.355809,1.518968,1.289333,1.379905,1.56876,1.299215,1.464026,1.753648,1.324707
33.5028,1.01088,1.035419,1.010617,1.084746,1.099666,1.08337,1.119311,1.139178,1.116646,1.146966,1.153773,1.145758,1.206482,1.173771,1.215416
33.6552,1.010836,1.0354,1.010574,1.084636,1.099508,1.083285,1.119149,1.138954,1.116536,1.146806,1.15353,1.14566,1.206322,1.173448,1.215344
33.8076,1.010836,1.0354,1.010574,1.084636,1.099508,1.083285,1.119149,1.138954,1.116536,1.146806,1.15353,1.14566,1.206322,1.173448,1.215344
33.9600,1.010836,1.0354,1.010574,1.084636,1.099508,1.083285,1.119149,1.138954,1.116536,1.146806,1.15353,1.14566,1.206322,1.173448,1.215344
34.1124,1.010836,1.0354,1.010574,1.084636,1.099508,1.083285,1.119149,1.138954,1.116536,1.146806,1.15353,1.14566,1.206322,1.173448,1.215344
34.2648,1.010836,1.0354,1.010574,1.084636,1.099508,1.083285,1.119149,1.138954,1.116536,1.146806,1.15353,1.14566,1.206322,1.173448,1.215344
34.4172,1.010836,1.0354,1.010574,1.084636,1.099508,1.083285,1.119149,1.138954,1.116536,1.146806,1.15353,1.14566,1.206322,1.173448,1.215344
34.5696,1.010836,1.0354,1.010574,1.084636,1.099508,1.083285,1.119149,1.138954,1.116536,1.146806,1.15353,1.14566,1.206322,1.173448,1.215344
34.7220,1.010836,1.0354,1.010574,1.084636,1.099508,1.083285,1.119149,1.138954,1.116536,1.146806,1.15353,1.14566,1.206322,1.173448,1.215344
34.8744,1.010836,1.0354,1.010574,1.084636,1.099508,1.083285,1.119149,1.138954,1.116536,1.146806,1.15353,1.14566,1.206322,1.173448,1.215344
35.0268,1.010836,1.0354,1.010574,1.084636,1.099508,1.083285,1.119149,1.138954,1.116536,1.146806,1.15353,1.14566,1.206322,1.173448,1.215344
35.1792,1.010836,1.0354,1.010574,1.084636,1.099508,1.083285,1.119149,1.138954,1.116536,1.146806,1.15353,1.14566,1.206322,1.173448,1.215344
35.3316,1.010924,1.035456,1.010658,1.084695,1.099549,1.083344,1.119198,1.138987,1.116586,1.146845,1.153563,1.145698,1.206332,1.173478,1.215349
35.4840,1.169178,1.142455,1.174839,1.192298,1.176366,1.196186,1.208473,1.200778,1.210525,1.217125,1.21469,1.217801,1.225031,1.228915,1.22391
35.6364,1.166878,1.140667,1.172335,1.190375,1.16869,1.19565,1.209045,1.19133,1.213864,1.218448,1.203897,1.222615,1.222863,1.21248,1.225893
35.7888,1.160247,1.147372,1.16275,1.176164,1.194316,1.172384,1.194209,1.210962,1.190272,1.201252,1.200681,1.201396,1.196766,1.195982,1.196958
35.9412,1.160287,1.060859,1.18248,1.190761,1.129346,1.206769,1.21182,1.168206,1.224441,1.219641,1.18652,1.229506,1.225988,1.220827,1.227508
36.0936,1.170092,1.138878,1.176796,1.197084,1.174977,1.202704,1.216751,1.200298,1.221431,1.226217,1.210935,1.230803,1.232582,1.219004,1.236795
36.2460,1.158921,1.132622,1.164083,1.185437,1.170351,1.188952,1.202296,1.19498,1.204173,1.207938,1.203317,1.209161,1.211871,1.209978,1.212382
36.3984,1.170589,1.128434,1.179832,1.192016,1.171505,1.197049,1.208457,1.204004,1.209638,1.217474,1.216134,1.217847,1.224165,1.220186,1.225322
36.5508,1.171111,1.156351,1.174225,1.196527,1.181107,1.200392,1.209454,1.203114,1.211151,1.215379,1.224128,1.213011,1.226076,1.247868,1.219932
36.7032,1.145238,1.127645,1.148301,1.180858,1.169478,1.183414,1.197091,1.197705,1.19694,1.203087,1.207089,1.202073,1.217636,1.213059,1.218919
36.8556,1.161036,1.132311,1.166786,1.186655,1.173931,1.189632,1.205381,1.202259,1.206193,1.21458,1.215126,1.214431,1.221324,1.227758,1.219515
37.0080,1.134688,1.106194,1.139299,1.167079,1.146263,1.171384,1.190275,1.180177,1.192685,1.201354,1.197265,1.202392,1.209023,1.205043,1.210081
37.1604,1.140597,1.097559,1.148077,1.17231,1.147102,1.177759,1.195191,1.179428,1.19911,1.204925,1.193834,1.207834,1.210973,1.210563,1.211083
37.3128,1.135836,1.138887,1.135356,1.169237,1.189899,1.165148,1.191605,1.218046,1.185579,1.194968,1.229377,1.187051,1.190864,1.250028,1.178049
37.4652,1.103842,1.005959,1.116782,1.137941,1.063286,1.151241,1.165239,1.101771,1.179083,1.179345,1.121889,1.193095,1.188518,1.147411,1.198713
37.6176,1.145753,1.087845,1.156496,1.184249,1.152276,1.191838,1.20742,1.18133,1.214545,1.215149,1.193826,1.221205,1.225057,1.231435,1.223224
37.7700,1.140616,1.086958,1.150091,1.172775,1.123171,1.183957,1.192533,1.157004,1.201498,1.206059,1.176532,1.214103,1.224653,1.185055,1.236949
37.9224,1.168238,1.166014,1.16869,1.186716,1.203561,1.182945,1.205878,1.221635,1.201892,1.215618,1.220533,1.214278,1.216,1.221164,1.214589
38.0748,1.188386,1.164099,1.194241,1.21375,1.198707,1.217943,1.231572,1.223242,1.234118,1.241848,1.2383,1.242987,1.251992,1.255365,1.250862
38.2272,1.164026,1.111684,1.175139,1.185999,1.141262,1.196971,1.20733,1.171054,1.217407,1.22254,1.192778,1.231506,1.231693,1.20678,1.23954
38.3796,1.195558,1.158055,1.205243,1.217606,1.191014,1.225341,1.236245,1.220989,1.241091,1.246875,1.241204,1.248753,1.252585,1.255488,1.25161
38.5320,1.224739,1.20565,1.230456,1.245097,1.237063,1.247743,1.260098,1.264293,1.258635,1.265067,1.278021,1.260503,1.265042,1.283005,1.258772
38.6844,1.208084,1.187477,1.213684,1.234118,1.223638,1.23738,1.253313,1.252843,1.253472,1.262016,1.269248,1.259482,1.266813,1.280905,1.261815
38.8368,1.189222,1.151793,1.198491,1.215598,1.190952,1.222657,1.233122,1.216981,1.238168,1.240478,1.228878,1.244226,1.246576,1.241467,1.248263
38.9892,1.188226,1.154046,1.19659,1.216165,1.191553,1.223239,1.235105,1.220191,1.23981,1.244012,1.233168,1.24758,1.251564,1.240618,1.255317
39.1416,1.167349,1.119281,1.177739,1.201799,1.174189,1.209098,1.221728,1.204987,1.226634,1.229297,1.216406,1.233217,1.240099,1.236345,1.241293
39.2940,1.15209,1.087122,1.164921,1.180979,1.129417,1.193337,1.199666,1.158184,1.210741,1.210929,1.174072,1.221411,1.225209,1.193001,1.235109
39.4464,1.170196,1.110703,1.183573,1.196841,1.160649,1.206244,1.215455,1.195388,1.221153,1.222621,1.212038,1.225705,1.227036,1.228705,1.226547
39.5988,1.17287,1.130309,1.182363,1.189658,1.162752,1.196227,1.202529,1.185889,1.206869,1.210604,1.200369,1.21338,1.217857,1.216836,1.218142
39.7512,1.163934,1.132915,1.170301,1.189527,1.169538,1.194349,1.208731,1.197786,1.21167,1.21834,1.211955,1.220143,1.224525,1.221717,1.225341
39.9036,1.15446,1.115123,1.162068,1.181852,1.152473,1.188685,1.200785,1.181564,1.205765,1.209917,1.196464,1.213571,1.217424,1.206828,1.22042
40.0560,1.148301,1.119043,1.15361,1.176589,1.149365,1.182674,1.194397,1.174269,1.19941,1.200696,1.186499,1.204343,1.205146,1.192255,1.208542
40.2084,1.157916,1.130578,1.163249,1.187175,1.171757,1.190811,1.207635,1.203557,1.20871,1.21577,1.218101,1.215132,1.22024,1.226357,1.21853
40.3608,1.144615,1.097955,1.153046,1.174729,1.13136,1.184544,1.194564,1.158017,1.203926,1.204727,1.171929,1.213637,1.214749,1.180959,1.224532
40.5132,1.160025,1.121426,1.167809,1.182255,1.162,1.186911,1.201157,1.190205,1.203963,1.213236,1.205268,1.215424,1.222157,1.221533,1.222335
40.6656,1.181357,1.152347,1.188076,1.196144,1.182205,1.19962,1.207451,1.207581,1.207417,1.223478,1.230451,1.221493,1.247872,1.256651,1.245023
40.8180,1.150672,1.115203,1.157292,1.179454,1.16226,1.183313,1.1979,1.186917,1.200657,1.21791,1.211149,1.219815,1.252113,1.262507,1.248672
40.9704,1.128273,1.090193,1.134174,1.165344,1.142709,1.169979,1.191271,1.181255,1.193677,1.219593,1.217952,1.220056,1.264043,1.272546,1.261039
41.1228,0.9978309,0.9658076,0.9978313,1.122355,1.075151,1.129369,1.190362,1.14945,1.200629,1.253644,1.243308,1.257221,1.403351,1.435431,1.383401
41.2752,1.033372,0.9622794,1.036013,1.156659,1.139518,1.159884,1.239373,1.259934,1.233073,1.323665,1.388051,1.296473,1.527106,1.672216,1.421379
41.4276,0.7644091,0.6415266,0.7643849,0.9367356,0.7672527,0.9367225,1.038609,0.8613589,1.047388,1.108909,0.9755214,1.128539,1.278925,1.223571,1.302944
