#HOLE:,U1520A
#EXPEDITION:,372
#TOP:,4.6992
#BOTTOM:,67.6404
DEPTH_LSF,DTCO,VCO
m,us/ft,km/s
4.6992,200.49532,1.5202
4.8516,200.26646,1.5220
5.0040,200.28172,1.5219
5.1564,200.60406,1.5194
5.3088,201.17860,1.5151
5.4612,201.45844,1.5130
5.6136,200.98430,1.5165
5.7660,200.21516,1.5224
5.9184,199.82811,1.5253
6.0708,199.66838,1.5265
6.2232,199.39978,1.5286
6.3756,199.28925,1.5294
6.5280,199.17976,1.5303
6.6804,198.63823,1.5344
6.8328,198.33940,1.5368
6.9852,198.70445,1.5339
7.1376,199.83080,1.5253
7.2900,200.88594,1.5173
7.4424,201.37109,1.5136
7.5948,201.31064,1.5141
7.7472,200.84477,1.5176
7.8996,199.93056,1.5245
8.0520,200.27446,1.5219
8.2044,200.79919,1.5179
8.3568,200.38237,1.5211
8.5092,199.92281,1.5246
8.6616,200.29810,1.5217
8.8140,201.01903,1.5163
8.9664,201.34140,1.5138
9.1188,200.19000,1.5226
9.2712,198.83276,1.5329
9.4236,198.25778,1.5374
9.5760,197.76952,1.5412
9.7284,197.41866,1.5439
9.8808,197.30627,1.5448
10.0332,196.06122,1.5546
10.1856,194.52725,1.5669
10.3380,194.66417,1.5658
10.4904,196.46432,1.5514
10.6428,197.94907,1.5398
10.7952,198.90483,1.5324
10.9476,199.74551,1.5259
11.1000,200.07748,1.5234
11.2524,199.60774,1.5270
11.4048,198.86232,1.5327
11.5572,198.71332,1.5339
11.7096,198.66963,1.5342
11.8620,198.64267,1.5344
12.0144,198.51662,1.5354
12.1668,198.15891,1.5382
12.3192,197.57092,1.5427
12.4716,196.96927,1.5474
12.6240,196.14098,1.5540
12.7764,195.44185,1.5595
12.9288,194.79889,1.5647
13.0812,194.12462,1.5701
13.2336,193.92830,1.5717
13.3860,194.30644,1.5687
13.5384,194.85272,1.5643
13.6908,195.18567,1.5616
13.8432,195.10809,1.5622
13.9956,194.91957,1.5637
14.1480,194.86740,1.5641
14.3004,194.76350,1.5650
14.4528,194.72311,1.5653
14.6052,194.64552,1.5659
14.7576,194.35805,1.5682
14.9100,194.24733,1.5691
15.0624,194.55360,1.5667
15.2148,194.94061,1.5636
15.3672,195.25172,1.5611
15.5196,195.56821,1.5585
15.6720,195.71643,1.5574
15.8244,195.54584,1.5587
15.9768,195.32506,1.5605
16.1292,195.01303,1.5630
16.2816,194.28558,1.5688
16.4340,193.48985,1.5753
16.5864,193.23177,1.5774
16.7388,193.58824,1.5745
16.8912,193.52570,1.5750
17.0436,193.39613,1.5760
17.1960,193.92419,1.5717
17.3484,194.34399,1.5684
17.5008,194.40948,1.5678
17.6532,194.42450,1.5677
17.8056,194.68327,1.5656
17.9580,194.61633,1.5662
18.1104,194.54059,1.5668
18.2628,194.94920,1.5635
18.4152,195.62451,1.5581
18.5676,196.33247,1.5525
18.7200,196.79837,1.5488
18.8724,196.74083,1.5492
19.0248,195.98511,1.5552
19.1772,194.90465,1.5638
19.3296,193.76114,1.5731
19.4820,193.08319,1.5786
19.6344,192.38976,1.5843
19.7868,191.06435,1.5953
19.9392,189.56851,1.6079
20.0916,188.33900,1.6184
20.2440,187.94550,1.6217
20.3964,188.41798,1.6177
20.5488,188.78979,1.6145
20.7012,188.39915,1.6178
20.8536,187.65839,1.6242
21.0060,187.52702,1.6254
21.1584,188.94995,1.6131
21.3108,190.54008,1.5997
21.4632,191.59914,1.5908
21.6156,191.81537,1.5890
21.7680,191.29382,1.5934
21.9204,191.62953,1.5906
22.0728,193.58356,1.5745
22.2252,194.95349,1.5634
22.3776,195.99164,1.5552
22.5300,195.76154,1.5570
22.6824,194.64746,1.5659
22.8348,194.40024,1.5679
22.9872,193.83028,1.5725
23.1396,192.97136,1.5795
23.2920,192.08205,1.5868
23.4444,191.06281,1.5953
23.5968,190.73091,1.5981
23.7492,191.23045,1.5939
23.9016,192.03540,1.5872
24.0540,192.52827,1.5831
24.2064,192.82147,1.5807
24.3588,194.31360,1.5686
24.5112,196.47433,1.5513
24.6636,197.44208,1.5437
24.8160,196.65250,1.5499
24.9684,196.02641,1.5549
25.1208,196.50108,1.5511
25.2732,196.22365,1.5533
25.4256,194.68153,1.5656
25.5780,193.23633,1.5773
25.7304,192.76578,1.5812
25.8828,192.39738,1.5842
26.0352,191.91811,1.5882
26.1876,191.52246,1.5915
26.3400,191.05827,1.5953
26.4924,190.72427,1.5981
26.6448,190.65509,1.5987
26.7972,190.83813,1.5972
26.9496,191.05981,1.5953
27.1020,190.96867,1.5961
27.2544,190.33278,1.6014
27.4068,189.97249,1.6044
27.5592,190.73169,1.5981
27.7116,191.60255,1.5908
27.8640,191.44620,1.5921
28.0164,190.87425,1.5969
28.1688,190.29199,1.6017
28.3212,190.14722,1.6030
28.4736,190.13435,1.6031
28.6260,190.05652,1.6037
28.7784,190.10722,1.6033
28.9308,190.08054,1.6035
29.0832,189.89270,1.6051
29.2356,190.10379,1.6033
29.3880,190.19080,1.6026
29.5404,189.51215,1.6083
29.6928,189.23592,1.6107
29.8452,189.99760,1.6042
29.9976,190.65324,1.5987
30.1500,190.63274,1.5989
30.3024,190.45996,1.6003
30.4548,190.01038,1.6041
30.6072,189.50827,1.6084
30.7596,189.42017,1.6091
30.9120,189.51964,1.6083
31.0644,189.98827,1.6043
31.2168,191.45018,1.5921
31.3692,192.31683,1.5849
31.5216,192.24277,1.5855
31.6740,192.30157,1.5850
31.8264,192.90344,1.5801
31.9788,192.99446,1.5793
32.1312,192.30923,1.5849
32.2836,192.43489,1.5839
32.4360,192.89850,1.5801
32.5884,192.90735,1.5800
32.7408,192.49651,1.5834
32.8932,192.49457,1.5834
33.0456,192.39809,1.5842
33.1980,191.58427,1.5909
33.3504,190.81567,1.5974
33.5028,190.53343,1.5997
33.6552,190.35458,1.6012
33.8076,190.23483,1.6022
33.9600,190.41782,1.6007
34.1124,191.02168,1.5956
34.2648,192.02277,1.5873
34.4172,192.63043,1.5823
34.5696,192.77742,1.5811
34.7220,192.46092,1.5837
34.8744,192.14381,1.5863
35.0268,192.19200,1.5859
35.1792,192.25093,1.5854
35.3316,191.68575,1.5901
35.4840,191.19476,1.5942
35.6364,190.78125,1.5976
35.7888,190.35750,1.6012
35.9412,190.09746,1.6034
36.0936,190.13304,1.6031
36.2460,189.99504,1.6043
36.3984,189.83986,1.6056
36.5508,189.60429,1.6076
36.7032,189.33516,1.6098
36.8556,189.37148,1.6095
37.0080,189.76208,1.6062
37.1604,190.10654,1.6033
37.3128,190.22987,1.6023
37.4652,190.08228,1.6035
37.6176,190.32523,1.6015
37.7700,191.13237,1.5947
37.9224,191.39667,1.5925
38.0748,191.16608,1.5944
38.2272,190.68625,1.5984
38.3796,190.12239,1.6032
38.5320,189.46983,1.6087
38.6844,188.79753,1.6144
38.8368,188.56746,1.6164
38.9892,188.75844,1.6148
39.1416,188.92645,1.6133
39.2940,189.03580,1.6124
39.4464,189.37761,1.6095
39.5988,189.49809,1.6085
39.7512,189.30940,1.6101
39.9036,189.13670,1.6115
40.0560,188.83290,1.6141
40.2084,188.12837,1.6202
40.3608,187.65750,1.6242
40.5132,187.34303,1.6270
40.6656,188.13582,1.6201
40.8180,188.98322,1.6128
40.9704,189.34706,1.6097
41.1228,189.05614,1.6122
41.2752,188.78979,1.6145
41.4276,188.68321,1.6154
41.5800,188.48724,1.6171
41.7324,190.56282,1.5995
41.8848,194.88873,1.5640
42.0372,196.20073,1.5535
42.1896,193.76106,1.5731
42.3420,190.83052,1.5972
42.4944,188.89922,1.6136
42.6468,188.07074,1.6207
42.7992,187.65604,1.6242
42.9516,191.44978,1.5921
43.1040,197.10684,1.5464
43.2564,201.57765,1.5121
43.4088,205.19156,1.4854
43.5612,205.98341,1.4797
43.7136,204.13866,1.4931
43.8660,200.14700,1.5229
44.0184,195.93193,1.5556
44.1708,193.82614,1.5725
44.3232,193.18169,1.5778
44.4756,191.90912,1.5883
44.6280,190.08974,1.6035
44.7804,190.54619,1.5996
44.9328,192.26308,1.5853
45.0852,192.25528,1.5854
45.2376,191.81120,1.5891
45.3900,192.19792,1.5859
45.5424,191.35776,1.5928
45.6948,191.06982,1.5952
45.8472,191.36470,1.5928
45.9996,190.73663,1.5980
46.1520,191.49438,1.5917
46.3044,192.03745,1.5872
46.4568,192.14314,1.5863
46.6092,191.41968,1.5923
46.7616,190.75317,1.5979
46.9140,191.06805,1.5952
47.0664,191.42932,1.5922
47.2188,192.09566,1.5867
47.3712,193.91019,1.5719
47.5236,195.39766,1.5599
47.6760,195.57156,1.5585
47.8284,194.36298,1.5682
47.9808,193.29958,1.5768
48.1332,193.37244,1.5762
48.2856,193.15657,1.5780
48.4380,192.75409,1.5813
48.5904,192.57495,1.5828
48.7428,192.22531,1.5856
48.8952,191.78647,1.5893
49.0476,192.75768,1.5813
49.2000,193.11339,1.5783
49.3524,194.68643,1.5656
49.5048,195.93500,1.5556
49.6572,195.95892,1.5554
49.8096,196.97873,1.5474
49.9620,196.26906,1.5530
50.1144,193.45312,1.5756
50.2668,193.11836,1.5783
50.4192,195.17664,1.5617
50.5716,196.04677,1.5547
50.7240,195.29456,1.5607
50.8764,194.88925,1.5640
51.0288,195.29979,1.5607
51.1812,194.65540,1.5658
51.3336,192.57114,1.5828
51.4860,193.01494,1.5792
51.6384,195.42838,1.5597
51.7908,194.47609,1.5673
51.9432,190.62769,1.5989
52.0956,188.23627,1.6192
52.2480,188.31972,1.6185
52.4004,190.43362,1.6006
52.5528,192.99960,1.5793
52.7052,194.56213,1.5666
52.8576,194.09467,1.5704
53.0100,193.04892,1.5789
53.1624,191.21306,1.5940
53.3148,190.08049,1.6035
53.4672,190.37137,1.6011
53.6196,190.53119,1.5997
53.7720,190.35612,1.6012
53.9244,190.07391,1.6036
54.0768,189.17133,1.6112
54.2292,188.60176,1.6161
54.3816,188.60371,1.6161
54.5340,188.40805,1.6178
54.6864,187.94446,1.6218
54.8388,187.57910,1.6249
54.9912,188.76869,1.6147
55.1436,192.70050,1.5817
55.2960,196.74545,1.5492
55.4484,199.62975,1.5268
55.6008,201.21626,1.5148
55.7532,200.44345,1.5206
55.9056,198.41977,1.5361
56.0580,197.60905,1.5424
56.2104,198.53824,1.5352
56.3628,198.34033,1.5368
56.5152,196.15065,1.5539
56.6676,193.00351,1.5792
56.8200,191.58017,1.5910
56.9724,191.65532,1.5904
57.1248,191.70193,1.5900
57.2772,192.26678,1.5853
57.4296,192.23996,1.5855
57.5820,191.14024,1.5946
57.7344,192.05238,1.5871
57.8868,193.05457,1.5788
58.0392,193.27138,1.5771
58.1916,194.50912,1.5670
58.3440,195.82877,1.5565
58.4964,195.74748,1.5571
58.6488,194.61353,1.5662
58.8012,193.59189,1.5744
58.9536,193.11462,1.5783
