#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,1.0223
#BOTTOM:,748.8494
DEPTH_LSF,RHON
m,g/cm3
1.0223,1.049896
1.1747,1.098157
1.3271,1.145182
1.4795,1.221161
1.6319,1.28262
1.7843,1.345982
1.9367,1.383609
2.0891,1.420912
2.2415,1.420743
2.3939,1.41514
2.5463,1.421229
2.6987,1.427922
2.8511,1.449488
3.0035,1.485508
3.1559,1.500453
3.3083,1.505517
3.4607,1.479914
3.6131,1.480935
3.7655,1.483649
3.9179,1.430308
4.0703,1.391732
4.2227,1.362212
4.3751,1.320632
4.5275,1.311385
4.6799,1.3168
4.8323,1.316792
4.9847,1.347401
5.1371,1.353482
5.2895,1.367769
5.4419,1.392336
5.5943,1.417942
5.7467,1.435526
5.8991,1.447578
6.0515,1.440116
6.2039,1.442046
6.3563,1.437506
6.5087,1.410177
6.6611,1.393915
6.8135,1.38286
6.9659,1.387877
7.1183,1.387236
7.2707,1.39013
7.4231,1.412412
7.5755,1.413481
7.7279,1.41154
7.8803,1.393259
8.0327,1.379074
8.1851,1.370986
8.3375,1.38367
8.4899,1.415685
8.6423,1.465089
8.7947,1.494097
8.9471,1.54426
9.0995,1.567044
9.2519,1.592063
9.4043,1.602159
9.5567,1.571192
9.7091,1.554404
9.8615,1.521804
10.0139,1.499946
10.1663,1.532021
10.3187,1.560912
10.4711,1.557646
10.6235,1.580177
10.7759,1.59331
10.9283,1.568909
11.0807,1.56426
11.2331,1.5768
11.3855,1.597185
11.5379,1.614766
11.6903,1.632788
11.8427,1.641106
11.9951,1.640116
12.1475,1.625901
12.2999,1.620888
12.4523,1.620135
12.6047,1.623041
12.7571,1.634258
12.9095,1.645029
13.0619,1.611673
13.2143,1.625233
13.3667,1.639042
13.5191,1.626543
13.6715,1.652061
13.8239,1.700544
13.9763,1.73994
14.1287,1.769449
14.2811,1.727888
14.4335,1.669117
14.5859,1.624295
14.7383,1.557496
14.8907,1.502098
15.0431,1.475411
15.1955,1.517149
15.3479,1.547362
15.5003,1.554052
15.6527,1.560297
15.8051,1.548971
15.9575,1.523106
16.1099,1.509326
16.2623,1.469464
16.4147,1.42127
16.5671,1.402655
16.7195,1.379895
16.8719,1.351707
17.0243,1.34604
17.1767,1.376048
17.3291,1.434821
17.4815,1.502525
17.6339,1.523106
17.7863,1.545323
17.9387,1.593557
18.0911,1.618668
18.2435,1.612
18.3959,1.581772
18.5483,1.545336
18.7007,1.536405
18.8531,1.491112
19.0055,1.467945
19.1579,1.462672
19.3103,1.467051
19.4627,1.443694
19.6151,1.452742
19.7675,1.440568
19.9199,1.431369
20.0723,1.450046
20.2247,1.460109
20.3771,1.51826
20.5295,1.551291
20.6819,1.533671
20.8343,1.566881
20.9867,1.568835
21.1391,1.503416
21.2915,1.455844
21.4439,1.474429
21.5963,1.404911
21.7487,1.392198
21.9011,1.428972
22.0535,1.470211
22.2059,1.480608
22.3583,1.505447
22.5107,1.577936
22.6631,1.586843
22.8155,1.543672
22.9679,1.53639
23.1203,1.539217
23.2727,1.501539
23.4251,1.507571
23.5775,1.488633
23.7299,1.446385
23.8823,1.391576
24.0347,1.336449
24.1871,1.300816
24.3395,1.29206
24.4919,1.283569
24.6443,1.278794
24.7967,1.294216
24.9491,1.310076
25.1015,1.326785
25.2539,1.359464
25.4063,1.394377
25.5587,1.446497
25.7111,1.513255
25.8635,1.572247
26.0159,1.595504
26.1683,1.615324
26.3207,1.63527
