#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.0165
#BOTTOM:,756.3170
DEPTH_LSF,GR_RAB
m,gAPI
0.0165,15.37221
0.0470,15.77374
0.0774,16.17279
0.1079,16.57433
0.1384,17.00082
0.1689,17.43148
0.1994,17.85798
0.2298,18.28863
0.2603,18.71514
0.2908,19.14504
0.3213,19.57229
0.3518,20.00219
0.3822,20.43286
0.4127,20.85936
0.4432,21.28926
0.4737,21.71651
0.5042,22.14642
0.5346,22.57367
0.5651,23.00357
0.5956,23.43348
0.6261,23.86073
0.6566,24.29064
0.6870,24.71789
0.7175,25.14779
0.7480,25.57428
0.7785,26.00494
0.8090,26.43144
0.8394,26.86209
0.8699,27.2886
0.9004,27.7185
0.9309,28.14917
0.9614,28.57566
0.9918,29.00632
1.0223,29.43282
1.0528,29.86272
1.0833,30.28997
1.1138,30.71988
1.1442,31.14713
1.1747,31.57703
1.2052,32.00694
1.2357,32.43419
1.2662,32.8641
1.2966,33.29135
1.3271,33.72125
1.3576,34.14774
1.3881,34.5784
1.4186,35.0049
1.4490,35.43555
1.4795,35.86556
1.5100,36.38192
1.5405,36.90333
1.5710,37.41969
1.6014,37.94109
1.6319,38.45746
1.6624,39.00496
1.6929,39.54922
1.7234,40.09686
1.7538,40.64112
1.7843,41.18876
1.8148,41.4097
1.8453,41.62819
1.8758,41.84804
1.9062,42.06652
1.9367,42.28637
1.9672,42.15758
1.9977,42.02906
2.0282,41.89975
2.0586,41.77124
2.0891,41.64203
2.1196,41.79798
2.1501,41.95546
2.1806,42.11142
2.2110,42.26889
2.2415,42.42485
2.2720,43.24169
2.3025,44.05728
2.3330,44.87794
2.3634,45.70006
2.3939,46.51422
2.4244,47.73402
2.4549,48.94785
2.4854,50.16922
2.5158,51.38305
2.5463,52.60442
2.5768,54.16408
2.6073,55.71479
2.6378,57.27515
2.6682,58.82587
2.6987,60.38622
2.7292,62.40068
2.7597,64.43497
2.7902,66.44959
2.8206,68.48384
2.8511,70.49851
2.8816,72.2728
2.9121,74.0486
2.9426,75.80717
2.9730,77.58293
3.0035,79.34155
3.0340,79.94279
3.0645,80.53501
3.0950,81.13091
3.1254,81.72314
3.1559,82.31904
3.1864,82.22911
3.2169,82.13786
3.2474,82.04606
3.2778,81.95482
3.3083,81.86301
3.3388,81.76304
3.3693,81.66207
3.3998,81.56208
3.4302,81.46112
3.4607,81.36033
3.4912,81.26035
3.5217,81.15939
3.5522,81.05939
3.5826,80.95843
3.6131,80.85844
3.6436,80.74952
3.6741,80.64123
3.7046,80.53226
3.7350,80.42397
3.7655,80.31499
3.7960,80.29765
3.8265,80.28072
3.8570,80.26369
3.8874,80.24675
3.9179,80.22971
3.9484,80.45673
3.9789,80.6827
4.0094,80.91009
4.0398,81.13605
4.0703,81.3635
4.1008,81.76797
4.1313,82.17638
4.1618,82.58086
4.1922,82.98927
4.2227,83.39375
4.2532,83.83725
4.2837,84.27823
4.3142,84.72195
4.3446,85.16645
4.3751,85.60665
4.4056,86.05036
4.4361,86.49134
4.4666,86.93507
4.4970,87.37604
4.5275,87.81975
4.5580,88.26348
4.5885,88.70446
4.6190,89.14817
4.6494,89.58915
4.6799,90.03288
4.7104,90.42046
4.7409,90.81183
4.7714,91.19941
4.8018,91.59077
4.8323,91.97836
4.8628,92.09245
4.8933,92.20496
4.9238,92.31637
4.9542,92.42887
4.9847,92.54029
5.0152,92.29362
5.0457,92.04685
5.0762,91.79854
5.1066,91.55177
5.1371,91.30346
5.1676,90.95714
5.1981,90.61269
5.2286,90.26609
5.2590,89.92165
5.2895,89.57506
5.3200,89.26861
5.3505,88.9592
5.3810,88.65032
5.4114,88.34337
5.4419,88.03455
5.4724,87.78185
5.5029,87.52667
5.5334,87.27397
5.5638,87.0188
5.5943,86.7661
5.6248,86.61719
5.6553,86.46974
5.6858,86.32138
5.7162,86.17393
5.7467,86.02557
5.7772,85.93019
5.8077,85.83556
5.8382,85.74036
5.8686,85.64574
5.8991,85.55054
5.9296,85.46696
5.9601,85.3839
5.9906,85.30035
6.0210,85.21729
6.0515,85.13377
6.0820,85.15285
6.1125,85.17213
