#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.0165
#BOTTOM:,752.1717
DEPTH_LSF,GRMA_FILT
m,gAPI
0.0165,3.120473
0.0470,2.87979
0.0774,2.640594
0.1079,2.399911
0.1384,2.161143
0.1689,1.920035
0.1994,1.681262
0.2298,1.440161
0.2603,1.201382
0.2908,2.54548
0.3213,3.890379
0.3518,5.243632
0.3822,6.599287
0.4127,7.941819
0.4432,9.534816
0.4737,11.11891
0.5042,12.71286
0.5346,14.29696
0.5651,15.89088
0.5956,16.19445
0.6261,16.49345
0.6566,16.7943
0.6870,17.0933
0.7175,17.39415
0.7480,16.11174
0.7785,14.81637
0.8090,13.53354
0.8394,12.2382
0.8699,10.95534
0.9004,9.692144
0.9309,8.426902
0.9614,7.173933
0.9918,5.908716
1.0223,4.655716
1.0528,4.679948
1.0833,4.709847
1.1138,4.739932
1.1442,4.769832
1.1747,4.799916
1.2052,6.150189
1.2357,7.495664
1.2662,8.849509
1.2966,10.19498
1.3271,11.54882
1.3576,13.041
1.3881,14.5479
1.4186,16.04025
1.4490,17.54712
1.4795,19.05146
1.5100,20.54376
1.5405,22.05069
1.5710,23.54301
1.6014,25.0499
1.6319,26.54226
1.6624,25.98132
1.6929,25.41323
1.7234,24.84161
1.7538,24.27351
1.7843,23.7019
1.8148,22.61949
1.8453,21.54208
1.8758,20.45798
1.9062,19.38057
1.9367,18.29648
1.9672,16.46237
1.9977,14.6385
2.0282,12.80329
2.0586,10.97942
2.0891,9.14448
2.1196,8.070024
2.1501,6.985041
2.1806,5.910562
2.2110,4.825606
2.2415,3.751101
2.2720,2.998091
2.3025,2.251629
2.3330,1.50053
2.3634,0.7480977
2.3939,0.002948999
2.4244,0
2.4549,0
2.4854,0
2.5158,0
2.5463,0
2.5768,0
2.6073,0
2.6378,0
2.6682,0
2.6987,0
2.7292,0
2.7597,0
2.7902,0
2.8206,0
2.8511,0
2.8816,0
2.9121,0
2.9426,0
2.9730,0
3.0035,0
3.0340,0
3.0645,0
3.0950,0
3.1254,0
3.1559,0
3.1864,0
3.2169,0
3.2474,0
3.2778,0
3.3083,0
3.3388,0
3.3693,0
3.3998,0
3.4302,0
3.4607,0
3.4912,0
3.5217,0
3.5522,0
3.5826,0
3.6131,0
3.6436,0
3.6741,0
3.7046,0
3.7350,0
3.7655,0
3.7960,0
3.8265,0
3.8570,0
3.8874,0
3.9179,0
3.9484,0
3.9789,0
4.0094,0
4.0398,0
4.0703,0
4.1008,0
4.1313,0
4.1618,0
4.1922,0
4.2227,0
4.2532,0
4.2837,0
4.3142,0
4.3446,0
4.3751,0
4.4056,0
4.4361,0
4.4666,0
4.4970,0
4.5275,0
4.5580,0
4.5885,0
4.6190,0
4.6494,0
4.6799,0
4.7104,0
4.7409,0
4.7714,0
4.8018,0
4.8323,0
4.8628,0
4.8933,0
4.9238,0
4.9542,0
4.9847,0
5.0152,0
5.0457,0
5.0762,0
5.1066,0
5.1371,0
5.1676,0
5.1981,0
5.2286,0
5.2590,0
5.2895,0
5.3200,0
5.3505,0
5.3810,0
5.4114,0
5.4419,0
5.4724,0
5.5029,0
5.5334,0
5.5638,0
5.5943,0
5.6248,0
5.6553,0
5.6858,0
5.7162,0
5.7467,0
5.7772,0
5.8077,0
5.8382,0
5.8686,0
5.8991,0
5.9296,0
5.9601,0
5.9906,0
6.0210,0
6.0515,0
6.0820,0
6.1125,0
6.1430,0
6.1734,0
6.2039,0
6.2344,0
6.2649,0
6.2954,0
6.3258,0
6.3563,0
6.3868,0
6.4173,0
6.4478,0
6.4782,0
6.5087,0
6.5392,0
6.5697,0
6.6002,0
6.6306,0
6.6611,0
6.6916,0
6.7221,0
6.7526,0
6.7830,0
6.8135,0
6.8440,0
6.8745,0
6.9050,0
6.9354,0
6.9659,0
6.9964,0
7.0269,0
7.0574,0
7.0878,0
7.1183,0
7.1488,0
7.1793,0
7.2098,0
7.2402,0
7.2707,0
7.3012,0
7.3317,0
7.3622,0
7.3926,0
7.4231,0
7.4536,0
7.4841,0
7.5146,0
7.5450,0
7.5755,0
7.6060,0
7.6365,0
7.6670,0
7.6974,0
7.7279,0
7.7584,0
7.7889,0
7.8194,0
7.8498,0
7.8803,0
7.9108,0
7.9413,0
7.9718,0
8.0022,0
8.0327,0
8.0632,0
8.0937,0
8.1242,0
8.1546,0
8.1851,0
8.2156,0
8.2461,0
8.2766,0
8.3070,0
8.3375,0
8.3680,0
8.3985,0
8.4290,0
8.4594,0
8.4899,0
8.5204,0
8.5509,0
8.5814,0
8.6118,0
8.6423,0
8.6728,0
8.7033,0
8.7338,0
8.7642,0
8.7947,0
8.8252,0
8.8557,0
8.8862,0
8.9166,0
8.9471,0
8.9776,0
9.0081,0
9.0386,0
9.0690,0
9.0995,0
9.1300,0
9.1605,0
9.1910,0
9.2214,0
9.2519,0
9.2824,0
9.3129,0
9.3434,0
9.3738,0
9.4043,0
9.4348,0
9.4653,0
9.4958,0
9.5262,0
9.5567,0
9.5872,0
9.6177,0
9.6482,0
9.6786,0
9.7091,0
9.7396,0
9.7701,0
9.8006,0
9.8310,0
9.8615,0
9.8920,0
9.9225,0
9.9530,0
9.9834,0
10.0139,0
10.0444,0
10.0749,0
10.1054,0
10.1358,0
10.1663,0
10.1968,0
10.2273,0
10.2578,0
10.2882,0
10.3187,0
10.3492,0
10.3797,0
10.4102,0
10.4406,0
10.4711,0
10.5016,0
10.5321,0
10.5626,0
10.5930,0
10.6235,0
10.6540,0
10.6845,0
10.7150,0
10.7454,0
10.7759,0
10.8064,0
10.8369,0
10.8674,0
10.8978,0
10.9283,0
10.9588,0
10.9893,0
11.0198,0
11.0502,0
11.0807,0
11.1112,0
11.1417,0
11.1722,0
11.2026,0
11.2331,0
11.2636,0
11.2941,0
11.3246,0
11.3550,0
11.3855,0
11.4160,0
11.4465,0
11.4770,0
11.5074,0
11.5379,0
11.5684,0
11.5989,0
11.6294,0
11.6598,0
11.6903,0
11.7208,0
11.7513,0
11.7818,0
11.8122,0
11.8427,0
11.8732,0
11.9037,0
