#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.1079
#BOTTOM:,757.3838
DEPTH_LSF,ROP5,RPM_GVR
m,m/h,c/min
0.1079,235.1385,-999.25
0.2603,215.2525,-999.25
0.4127,196.5243,-999.25
0.5651,188.2008,-999.25
0.7175,184.8551,-999.25
0.8699,183.8439,-999.25
1.0223,184.108,-999.25
1.1747,185.2742,0
1.3271,192.3581,0
1.4795,149.6382,0
1.6319,157.4077,0
1.7843,166.5145,0
1.9367,177.5259,0
2.0891,180.4785,0
2.2415,175.6393,0
2.3939,166.3763,5
2.5463,155.5688,5
2.6987,18.06382,5
2.8511,17.94605,-999.25
3.0035,16.1332,-999.25
3.1559,15.99833,-999.25
3.3083,15.82454,25
3.4607,15.79877,25
3.6131,15.78415,25
3.7655,15.737,-999.25
3.9179,15.77001,-999.25
4.0703,15.86865,-999.25
4.2227,71.1881,24
4.3751,73.65247,24
4.5275,186.7565,24
4.6799,206.1129,-999.25
4.8323,241.5186,19
4.9847,253.1447,19
5.1371,270.1494,19
5.2895,312.5782,19
5.4419,341.2503,19
5.5943,348.5703,19
5.7467,343.1234,19
5.8991,330.1257,19
6.0515,321.2701,19
6.2039,316.0092,19
6.3563,308.6435,24.99994
6.5087,294.1445,25
6.6611,272.7636,25
6.8135,254.0223,25
6.9659,239.9257,-999.25
7.1183,226.2117,22
7.2707,204.7265,22
7.4231,195.9026,22
7.5755,193.1486,-999.25
7.7279,189.713,-999.25
7.8803,184.3019,22
8.0327,182.3247,22
8.1851,184.8673,22
8.3375,187.1644,-999.25
8.4899,189.0247,22
8.6423,194.5248,22
8.7947,213.1119,22
8.9471,226.7479,-999.25
9.0995,233.7074,-999.25
9.2519,239.7179,21
9.4043,246.7354,21
9.5567,246.9631,21
9.7091,246.2952,-999.25
9.8615,249.3739,20
10.0139,253.2219,20
10.1663,253.6467,20
10.3187,250.8866,20
10.4711,247.7901,-999.25
10.6235,247.1049,21
10.7759,249.752,21
10.9283,256.6151,21
11.0807,265.548,-999.25
11.2331,264.3847,29
11.3855,256.6631,29
11.5379,253.828,29
11.6903,256.4864,29
11.8427,260.9633,-999.25
11.9951,262.1176,29
12.1475,255.4338,29
12.2999,245.7097,29
12.4523,240.5789,20
12.6047,240.9132,20
12.7571,247.8921,20
12.9095,255.1707,20
13.0619,251.3454,27
13.2143,243.1185,27
13.3667,237.7619,27
13.5191,235.7653,27
13.6715,237.9867,23
13.8239,237.5329,23
13.9763,229.5056,23
14.1287,221.6685,26.99035
14.2811,216.7473,27
14.4335,215.1867,27
14.5859,216.279,27
14.7383,217.3667,-999.25
14.8907,215.8005,27
15.0431,212.2141,27
15.1955,209.3163,27
15.3479,212.1057,24
15.5003,217.0612,24
15.6527,214.1543,24
15.8051,205.7844,-999.25
15.9575,203.0586,26
16.1099,205.3382,26
16.2623,208.4034,26
16.4147,209.1625,26
16.5671,207.6061,26
16.7195,200.7886,26
16.8719,190.6215,26
17.0243,186.6379,28
17.1767,191.6912,28
17.3291,200.9424,28
17.4815,204.289,-999.25
17.6339,202.822,-999.25
17.7863,200.2948,28
17.9387,201.3109,28
18.0911,204.6781,28
18.2435,207.834,-999.25
18.3959,202.7943,21
18.5483,203.446,21
18.7007,204.0492,21
18.8531,203.274,21
19.0055,203.5178,-999.25
19.1579,206.906,23
19.3103,213.0995,23
19.4627,219.2403,23
19.6151,226.6526,23
19.7675,238.9919,24
19.9199,263.1024,24
20.0723,265.8671,24
20.2247,266.6989,29
20.3771,272.0692,29
20.5295,277.6807,29
20.6819,275.2193,29
20.8343,263.5758,29
20.9867,249.8518,19.02332
21.1391,241.0851,19
21.2915,236.042,19
21.4439,229.4127,15.00931
21.5963,220.1254,15
21.7487,212.3713,15
21.9011,200.8692,15
22.0535,183.2209,15
22.2059,177.3629,15
22.3583,170.0349,15
22.5107,113.2997,15
22.6631,114.4644,15
22.8155,114.5215,15
22.9679,112.8498,15
23.1203,113.1138,15
23.2727,112.7169,14
23.4251,113.2209,14
23.5775,117.8414,13
23.7299,119.5494,13
23.8823,122.5756,13
24.0347,187.7814,13
24.1871,174.9052,12
24.3395,160.5582,12
24.4919,156.2305,14
24.6443,159.6456,14
24.7967,161.5821,14
24.9491,142.9096,14
25.1015,125.8333,14
25.2539,122.0778,14
25.4063,121.7017,12
25.5587,119.2592,12
25.7111,115.1772,12
25.8635,114.7654,12
26.0159,114.21,12
26.1683,112.3777,12
26.3207,111.4883,12
26.4731,123.1541,14
26.6255,138.5751,14
26.7779,141.5509,12
26.9303,140.5854,12
27.0827,144.317,12
27.2351,155.9563,-999.25
27.3875,168.609,21
27.5399,181.0425,21
27.6923,186.9603,21
27.8447,190.8849,19.00002
27.9971,189.8582,19
28.1495,177.3906,19
28.3019,158.3356,19
28.4543,161.1871,19
28.6067,167.2237,19
28.7591,171.831,19.99999
28.9115,173.7582,20
29.0639,172.86,20
29.2163,172.1225,14
29.3687,171.9957,14
29.5211,173.8973,16.99997
29.6735,183.0857,17
29.8259,197.0908,17
29.9783,190.1729,17.99999
30.1307,184.5802,18
30.2831,180.151,18
30.4355,174.5107,18
30.5879,170.6814,18
30.7403,157.2346,18
30.8927,150.5441,9.019958
31.0451,148.1544,9
31.1975,144.7665,25
31.3499,150.5692,25
31.5023,153.8644,21.00884
31.6547,154.2066,21
31.8071,150.6112,21
31.9595,142.3736,21
32.1119,143.7088,23
32.2643,147.4143,23
32.4167,142.6828,23
32.5691,107.564,23
32.7215,108.6876,23
32.8739,107.9829,23
33.0263,106.6881,23
33.1787,105.7074,19
33.3311,107.2737,19
33.4835,112.7964,19
33.6359,112.8722,26.98251
33.7883,117.473,27
33.9407,125.6281,27
34.0931,180.2011,27
34.2455,185.5658,23.00003
