#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,1.3271
#BOTTOM:,748.5446
DEPTH_LSF,BPHI,TNPH
m,%,%
1.3271,89.1011,86.3935
1.4795,86.9758,87.4738
1.6319,83.9801,84.9599
1.7843,87.0890,100.2896
1.9367,85.2547,98.3337
2.0891,84.0150,98.3077
2.2415,84.0234,98.3166
2.3939,83.2523,95.2441
2.5463,80.0837,86.6130
2.6987,82.8679,95.3537
2.8511,76.8311,80.5879
3.0035,75.1525,79.2694
3.1559,70.2019,69.3529
3.3083,69.9749,69.2015
3.4607,70.3199,68.3460
3.6131,69.3075,66.4310
3.7655,82.5927,100.4702
3.9179,67.9511,61.2338
4.0703,69.6374,62.1602
4.2227,81.1745,84.4509
4.3751,83.1863,86.1467
4.5275,92.9906,119.0539
4.6799,92.9696,119.8022
4.8323,79.8780,77.7779
4.9847,78.0412,75.8562
5.1371,77.7550,75.6538
5.2895,81.9288,86.9071
5.4419,79.3904,82.3961
5.5943,70.5803,65.2628
5.7467,79.6009,86.5602
5.8991,79.9403,88.5639
6.0515,76.2755,78.5427
6.2039,72.5593,70.5324
6.3563,74.1187,73.5064
6.5087,78.1555,80.7639
6.6611,76.0018,74.6255
6.8135,76.5159,74.9844
6.9659,78.4271,79.7009
7.1183,72.2297,66.5911
7.2707,74.3410,70.8872
7.4231,77.8358,80.1634
7.5755,69.7982,63.5961
7.7279,69.1910,62.4157
7.8803,76.1643,74.9357
8.0327,82.9884,90.8939
8.1851,88.6800,109.1610
8.3375,85.2646,98.3777
8.4899,78.5231,82.1041
8.6423,71.2796,69.3665
8.7947,69.9870,68.5346
8.9471,68.4137,68.3851
9.0995,67.2515,67.4011
9.2519,66.1764,66.7136
9.4043,65.5808,66.1124
9.5567,65.5381,64.3019
9.7091,70.8948,74.3164
9.8615,76.6717,86.0935
10.0139,72.8015,74.8582
10.1663,67.2010,65.2979
10.3187,65.9564,64.5316
10.4711,70.9252,74.6060
10.6235,69.9252,73.8866
10.7759,68.4308,71.4607
10.9283,67.9276,68.8810
11.0807,68.1284,69.0112
11.2331,78.5623,97.0442
11.3855,80.0645,104.6767
11.5379,68.3813,72.7540
11.6903,59.6049,56.7637
11.8427,59.2697,56.5742
11.9951,66.0767,69.3665
12.1475,66.6856,69.7795
12.2999,71.8697,81.5395
12.4523,73.9996,87.2469
12.6047,56.0697,50.6901
12.7571,61.5250,60.1821
12.9095,60.7891,59.3953
13.0619,77.1602,96.0966
13.2143,69.0484,74.9654
13.3667,63.5765,64.2553
13.5191,70.8048,79.2766
13.6715,75.2453,94.0146
13.8239,72.9096,91.4037
13.9763,67.8857,80.4841
14.1287,48.0515,44.1724
14.2811,50.0634,45.6521
14.4335,62.7784,64.3494
14.5859,63.2623,62.8640
14.7383,69.5972,71.6726
14.8907,64.7880,59.3915
15.0431,67.2883,62.3965
15.1955,75.4295,82.4245
15.3479,54.6027,45.8248
15.5003,53.9248,45.1395
15.6527,64.6754,62.1221
15.8051,69.2873,70.4728
15.9575,57.8370,49.4528
16.1099,64.8393,59.8331
16.2623,67.6214,62.6793
16.4147,68.7612,62.1719
16.5671,73.9088,70.8022
16.7195,86.0045,100.4437
16.8719,87.6104,102.7645
17.0243,91.3470,116.8737
17.1767,74.2507,69.8291
17.3291,71.4134,67.8100
17.4815,66.6125,62.6072
17.6339,64.4934,59.9146
17.7863,64.3616,60.7916
17.9387,67.3144,69.1134
18.0911,65.2912,66.4819
18.2435,67.0987,69.7937
18.3959,61.8987,58.2910
18.5483,73.2357,79.1405
18.7007,72.5694,76.8960
18.8531,84.9656,110.2960
19.0055,70.0303,67.0809
19.1579,68.5438,63.9834
19.3103,72.9914,73.0526
19.4627,68.3774,62.6705
19.6151,77.8765,83.4737
19.7675,72.6146,70.5528
19.9199,76.1869,77.6919
20.0723,76.5409,79.9250
20.2247,74.8495,76.6929
20.3771,63.0910,57.3173
20.5295,67.1830,66.3528
20.6819,67.1721,65.3345
20.8343,61.4416,56.8278
20.9867,68.9873,71.0936
21.1391,72.0942,73.5300
21.2915,67.9049,62.4694
21.4439,77.7225,84.8764
21.5963,73.4999,70.1176
21.7487,79.1742,81.8491
21.9011,89.7094,122.2359
22.0535,87.5464,118.4813
22.2059,75.1440,78.8909
22.3583,73.2096,76.1662
22.5107,68.9101,71.5083
22.6631,66.7921,67.6425
22.8155,66.7372,65.0628
22.9679,64.0777,59.8498
23.1203,79.1921,95.1684
23.2727,66.6049,62.5415
23.4251,67.2208,63.9874
23.5775,79.4111,90.8548
23.7299,73.7842,73.3823
23.8823,63.7170,52.7493
24.0347,78.5249,76.1593
24.1871,78.2175,73.0536
24.3395,87.9319,97.1612
24.4919,86.6147,92.2697
24.6443,74.7622,65.0827
24.7967,82.9883,83.4212
24.9491,76.6148,70.4058
25.1015,77.2349,72.7336
25.2539,80.5504,82.6422
25.4063,78.8016,81.1064
25.5587,76.5374,79.6471
25.7111,73.1685,76.6278
25.8635,63.2026,60.0917
26.0159,59.4278,54.8078
26.1683,61.0146,58.3621
26.3207,69.4294,76.5656
26.4731,69.9423,79.5992
26.6255,67.7403,72.8370
26.7779,67.5513,72.7014
26.9303,65.7531,70.0501
27.0827,67.3017,74.4066
27.2351,62.7119,64.9855
27.3875,62.3294,66.2145
27.5399,46.2728,40.2596
27.6923,51.5352,47.7182
27.8447,63.7341,67.9245
27.9971,68.4203,75.3090
28.1495,72.5243,83.0284
28.3019,68.3512,72.0020
28.4543,76.1746,89.8106
28.6067,-999.25,-999.25
28.7591,-999.25,-999.25
28.9115,-999.25,-999.25
29.0639,-999.25,-999.25
29.2163,-999.25,-999.25
29.3687,-999.25,-999.25
29.5211,-999.25,-999.25
29.6735,-999.25,-999.25
29.8259,-999.25,-999.25
29.9783,-999.25,-999.25
30.1307,-999.25,-999.25
30.2831,-999.25,-999.25
30.4355,-999.25,-999.25
30.5879,-999.25,-999.25
30.7403,-999.25,-999.25
30.8927,-999.25,-999.25
31.0451,-999.25,-999.25
31.1975,-999.25,-999.25
31.3499,-999.25,-999.25
31.5023,-999.25,-999.25
31.6547,-999.25,-999.25
31.8071,-999.25,-999.25
31.9595,-999.25,-999.25
32.1119,-999.25,-999.25
32.2643,-999.25,-999.25
32.4167,-999.25,-999.25
32.5691,73.6137,77.5322
32.7215,74.5129,81.3537
32.8739,65.9685,64.4148
33.0263,73.1753,79.7396
33.1787,66.0617,64.4600
33.3311,70.1278,73.1283
33.4835,66.8993,66.7876
33.6359,-999.25,-999.25
33.7883,-999.25,-999.25
33.9407,-999.25,-999.25
34.0931,-999.25,-999.25
34.2455,68.2968,62.2425
34.3979,77.1591,81.6048
34.5503,75.0198,77.2050
34.7027,67.2685,63.1590
34.8551,65.7892,61.7289
35.0075,66.5035,65.6934
35.1599,66.6170,67.6066
35.3123,67.0445,70.0646
35.4647,66.3021,71.3084
35.6171,63.4039,67.6607
35.7695,64.9512,72.2864
35.9219,60.3652,63.4936
36.0743,57.7419,58.5634
36.2267,60.7231,63.3866
36.3791,56.8857,56.3421
36.5315,54.2331,51.0546
36.6839,64.8817,68.3054
36.8363,61.0541,60.2086
36.9887,75.4832,95.0823
37.1411,-999.25,-999.25
37.2935,-999.25,-999.25
37.4459,-999.25,-999.25
37.5983,-999.25,-999.25
37.7507,-999.25,-999.25
37.9031,-999.25,-999.25
38.0555,-999.25,-999.25
38.2079,-999.25,-999.25
38.3603,-999.25,-999.25
38.5127,-999.25,-999.25
38.6651,-999.25,-999.25
38.8175,-999.25,-999.25
38.9699,-999.25,-999.25
39.1223,-999.25,-999.25
39.2747,-999.25,-999.25
39.4271,-999.25,-999.25
39.5795,-999.25,-999.25
39.7319,-999.25,-999.25
39.8843,-999.25,-999.25
40.0367,-999.25,-999.25
40.1891,-999.25,-999.25
40.3415,-999.25,-999.25
40.4939,-999.25,-999.25
40.6463,-999.25,-999.25
40.7987,-999.25,-999.25
40.9511,-999.25,-999.25
41.1035,-999.25,-999.25
41.2559,-999.25,-999.25
41.4083,-999.25,-999.25
41.5607,-999.25,-999.25
41.7131,-999.25,-999.25
41.8655,-999.25,-999.25
42.0179,-999.25,-999.25
42.1703,-999.25,-999.25
42.3227,-999.25,-999.25
42.4751,74.4717,71.1322
42.6275,71.3832,63.4976
42.7799,85.1204,93.4736
42.9323,77.5560,71.8456
43.0847,-999.25,-999.25
43.2371,-999.25,-999.25
43.3895,-999.25,-999.25
43.5419,-999.25,-999.25
43.6943,-999.25,-999.25
43.8467,82.3885,71.0904
43.9991,99.9111,127.1541
44.1515,78.9919,67.6618
44.3039,78.0302,69.1094
44.4563,70.1388,59.4547
44.6087,64.4395,52.9673
44.7611,72.6903,68.7868
44.9135,75.4611,74.9696
45.0659,67.2690,59.7189
45.2183,72.4422,69.7853
45.3707,68.0720,62.5763
45.5231,68.9659,64.8263
45.6755,74.3780,73.7221
45.8279,65.6707,57.0020
45.9803,84.0847,98.6429
46.1327,73.5510,70.3689
46.2851,68.0254,60.0770
46.4375,80.1791,83.8302
46.5899,79.2515,81.8484
46.7423,76.4600,75.2319
46.8947,73.2004,70.0669
47.0471,78.9368,84.8576
47.1995,61.5041,51.6670
47.3519,62.0313,52.5292
47.5043,73.9058,72.7572
47.6567,-999.25,-999.25
47.8091,77.0907,81.6054
47.9615,72.3857,74.1847
48.1139,67.1992,65.6301
48.2663,69.5036,74.4915
48.4187,65.5971,66.8478
48.5711,65.2450,68.7332
48.7235,73.8769,91.6699
48.8759,53.9630,49.7462
49.0283,63.3043,64.2161
49.1807,60.0851,57.9977
49.3331,75.1930,90.8149
49.4855,67.7158,69.6899
49.6379,67.0474,66.8715
49.7903,65.7700,64.8237
49.9427,72.5842,78.1799
50.0951,64.2951,59.9448
50.2475,62.8543,55.8025
50.3999,74.0400,76.4930
50.5523,79.0010,87.7120
50.7047,62.1943,51.9304
50.8571,78.9914,80.0951
51.0095,88.5624,105.8493
51.1619,72.6917,63.9558
51.3143,-999.25,-999.25
51.4667,-999.25,-999.25
51.6191,-999.25,-999.25
51.7715,-999.25,-999.25
51.9239,-999.25,-999.25
52.0763,-999.25,-999.25
52.2287,-999.25,-999.25
52.3811,79.2623,84.0098
52.5335,72.3430,68.5386
52.6859,70.9880,65.5280
52.8383,74.6991,71.4546
52.9907,77.0933,76.1271
53.1431,82.9630,92.5581
53.2955,72.3640,68.4949
53.4479,69.4234,65.3279
53.6003,71.7219,71.0374
53.7527,70.4955,68.2574
53.9051,72.8836,77.0363
54.0575,71.5263,80.3144
54.2099,56.1828,52.2921
54.3623,57.6179,55.7900
54.5147,57.0516,55.0438
54.6671,67.3207,74.7390
54.8195,76.8152,102.7571
54.9719,66.3509,71.7756
55.1243,63.5694,66.5548
55.2767,65.1537,71.1766
55.4291,64.6487,70.9634
55.5815,67.4887,75.2420
55.7339,64.2834,68.7817
55.8863,52.1991,46.7218
56.0387,56.9774,52.3815
56.1911,73.7457,82.2175
56.3435,71.5554,72.9698
56.4959,75.8291,77.4536
56.6483,82.8853,90.7639
56.8007,76.4603,72.0564
56.9531,77.4604,72.2367
57.1055,96.9502,129.9352
57.2579,98.2616,130
57.4103,80.6346,82.4203
57.5627,80.9664,86.7400
57.7151,79.6386,85.8571
57.8675,76.5397,77.3768
58.0199,69.4163,65.5235
58.1723,81.5795,95.8812
58.3247,58.1356,48.3215
58.4771,71.1431,70.1404
58.6295,73.8762,77.4426
58.7819,78.0395,87.3097
58.9343,66.5807,62.8763
59.0867,75.0816,81.2935
59.2391,68.1677,67.9962
59.3915,74.8834,87.5769
59.5439,65.2147,65.8130
59.6963,61.3004,59.2021
59.8487,64.7256,67.6475
60.0011,61.6921,63.1193
60.1535,57.2202,54.3184
60.3059,-999.25,-999.25
60.4583,-999.25,-999.25
60.6107,-999.25,-999.25
60.7631,66.4448,68.9762
60.9155,67.2496,69.5147
61.0679,70.7102,78.6427
61.2203,71.4851,79.8909
61.3727,60.4450,57.5058
61.5251,64.3973,67.4516
61.6775,63.4617,67.0353
61.8299,58.9625,56.4921
61.9823,56.0156,50.9516
62.1347,60.8465,58.1649
62.2871,72.7168,77.9443
62.4395,67.6743,63.0631
62.5919,72.7035,71.3113
62.7443,71.6861,68.6837
62.8967,75.4031,75.4708
63.0491,71.9835,71.0447
63.2015,80.8581,94.7150
63.3539,74.4931,78.2111
63.5063,71.5705,72.6798
63.6587,70.5907,72.3900
63.8111,63.7600,59.0280
63.9635,69.2597,70.9227
64.1159,63.4063,59.9389
64.2683,64.7082,62.0340
64.4207,61.6969,57.8774
64.5731,70.2171,72.4846
64.7255,59.2452,51.0972
64.8779,74.3147,77.3605
65.0303,69.6407,65.3740
65.1827,63.6084,52.7117
65.3351,75.8691,71.0755
65.4875,96.8562,129.9984
65.6399,73.5079,64.0416
65.7923,83.6989,83.0571
65.9447,77.0093,74.6203
66.0971,78.1929,79.6567
66.2495,78.2876,82.5043
66.4019,82.8925,102.3904
66.5543,60.4792,55.2369
66.7067,69.7643,70.4064
66.8591,70.1625,72.4715
67.0115,68.0578,69.3175
67.1639,68.2795,70.7619
67.3163,67.4492,69.1919
67.4687,62.1313,59.7453
67.6211,67.1495,70.3996
67.7735,65.1192,64.2813
67.9259,66.0852,64.0593
68.0783,72.7248,74.9206
68.2307,65.5006,59.4314
68.3831,79.5967,86.0570
68.5355,81.1497,86.9414
68.6879,82.7624,85.8223
68.8403,76.2670,68.9641
68.9927,86.4694,92.8271
69.1451,79.1166,73.8527
69.2975,91.0237,104.8351
69.4499,84.7412,87.0798
69.6023,81.4413,78.6525
69.7547,74.5669,64.9546
69.9071,82.9269,83.1596
70.0595,82.4751,83.7426
70.2119,-999.25,-999.25
70.3643,-999.25,-999.25
70.5167,-999.25,-999.25
70.6691,-999.25,-999.25
70.8215,-999.25,-999.25
70.9739,-999.25,-999.25
71.1263,-999.25,-999.25
71.2787,-999.25,-999.25
71.4311,-999.25,-999.25
71.5835,81.0685,75.8668
71.7359,79.0474,74.3549
71.8883,84.0291,90.8141
72.0407,74.5435,71.3066
