#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.1079
#BOTTOM:,749.0018
DEPTH_LSF,A16B,A16H,A16L,A22B,A22H,A22L,A28B,A28H,A28L,A34B,A34H,A34L,A40B,A40H,A40L
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
0.1079,0.3833196,0.2658116,0.3833196,0.453571,0.3837454,0.4535711,0.4336881,0.4086052,0.4336881,0.1473622,0.2295732,0.1473622,0.1909654,0.2124306,0.1909654
0.2603,0.3840145,0.2651133,0.3840145,0.4509236,0.3941656,0.4509236,0.4329008,0.4160211,0.4329008,0.1473707,0.2317668,0.1473707,0.1910035,0.213628,0.1910035
0.4127,0.3855813,0.2746148,0.3855813,0.4483132,0.4326901,0.4483132,0.4323834,0.4315351,0.4323834,0.1473751,0.2352614,0.1473751,0.1910196,0.214604,0.1910196
0.5651,0.3850715,0.2726893,0.3850715,0.4492708,0.4224965,0.4492708,0.432612,0.4268186,0.432612,0.1473725,0.2340982,0.1473725,0.1910064,0.2142035,0.1910064
0.7175,0.3839169,0.2676189,0.3839169,0.4513751,0.4022169,0.4513751,0.4331003,0.4197931,0.4331003,0.1473681,0.2325674,0.1473681,0.1909933,0.21365,0.1909933
0.8699,0.3833421,0.2647268,0.3833421,0.4523673,0.389174,0.4523673,0.4332753,0.4141131,0.4332753,0.1473665,0.2313899,0.1473665,0.1909842,0.2133703,0.1909842
1.0223,0.3849254,0.2664317,0.3849254,0.4492089,0.3994485,0.4492089,0.4324551,0.4193295,0.4324551,0.1473755,0.2328583,0.1473755,0.1910233,0.2140353,0.1910233
1.1747,0.3913411,0.9201745,0.3913411,0.4363894,1.276763,0.4363893,0.4297101,0.9021224,0.42971,0.1474007,0.2616962,0.1474007,0.1911303,0.2232404,0.1911303
1.3271,0.3928505,1.17554,0.3928505,0.4334821,1.593353,0.4334821,0.4291603,1.142363,0.4291603,0.1474053,0.2676179,0.1474053,0.1911498,0.2246409,0.1911498
1.4795,0.390628,1.070128,0.390628,0.4389881,1.417405,0.4389881,0.4304441,0.9961406,0.4304441,0.147392,0.2621726,0.147392,0.1910832,0.2228227,0.1910832
1.6319,0.3883989,0.2978217,0.3883989,0.4425471,0.8480762,0.442547,0.4310688,0.4854559,0.4310688,0.1473875,0.2474504,0.1473875,0.1910701,0.2187424,0.1910701
1.7843,0.3930346,1.162757,0.3930346,0.4331285,1.575084,0.4331285,0.4290237,1.142134,0.4290237,0.147407,0.2679136,0.147407,0.1911559,0.2246208,0.1911559
1.9367,0.3933618,1.205788,0.3933618,0.4323471,1.643555,0.4323471,0.4288161,1.217092,0.4288161,0.1474091,0.2708012,0.1474091,0.1911647,0.2254147,0.1911647
2.0891,0.3935257,1.211402,0.3935257,0.4320555,1.656942,0.4320555,0.4287215,1.238878,0.4287215,0.1474104,0.2716912,0.1474104,0.1911705,0.2256261,0.1911705
2.2415,0.3936174,1.230895,0.3936174,0.4319002,1.680704,0.4319002,0.4286774,1.253992,0.4286774,0.1474108,0.2718808,0.1474108,0.1911709,0.2256043,0.1911709
2.3939,0.3936381,1.235918,0.3936381,0.4318773,1.688282,0.4318773,0.4286965,1.26598,0.4286965,0.1474104,0.2724696,0.1474104,0.1911689,0.2257892,0.1911689
2.5463,0.3934891,1.213696,0.393489,0.4321162,1.669939,0.4321162,0.4287466,1.255707,0.4287466,0.1474101,0.2721114,0.1474101,0.1911695,0.2256563,0.1911695
2.6987,0.3935863,1.218232,0.3935863,0.4319182,1.668475,0.4319182,0.4286839,1.249044,0.4286839,0.1474107,0.2719359,0.1474107,0.1911705,0.2256637,0.1911705
2.8511,0.3939137,1.239226,0.3939137,0.431271,1.694827,0.431271,0.4285181,1.273336,0.4285181,0.1474125,0.2726359,0.1474125,0.1911784,0.2257909,0.1911784
