#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.1079
#BOTTOM:,757.3838
DEPTH_LSF,RES_BD,RES_BIT,RES_BM,RES_BS,RES_RING
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
0.1079,-999.25,0.4197165,-999.25,-999.25,-999.25
0.2603,-999.25,0.4801419,-999.25,-999.25,-999.25
0.4127,-999.25,0.4801683,-999.25,-999.25,-999.25
0.5651,-999.25,0.4801683,-999.25,-999.25,-999.25
0.7175,-999.25,0.4801683,-999.25,-999.25,-999.25
0.8699,-999.25,-999.25,-999.25,-999.25,-999.25
1.0223,-999.25,-999.25,-999.25,-999.25,-999.25
1.1747,-999.25,-999.25,0.5597962,0.4457623,-999.25
1.3271,-999.25,-999.25,0.4935322,0.6562715,-999.25
1.4795,0.5574108,-999.25,0.6869014,0.577086,-999.25
1.6319,0.7148573,-999.25,0.5689692,0.6120713,0.6307821
1.7843,0.5922878,-999.25,0.6203176,0.6250772,0.7459095
1.9367,0.6524916,-999.25,0.6356894,0.5750049,0.5775033
2.0891,0.7035877,-999.25,0.6083442,0.5832915,0.6699015
2.2415,0.7225859,-999.25,0.6030753,0.587135,0.7410322
2.3939,0.714939,-999.25,0.6015066,0.581169,0.7163317
2.5463,0.7081876,-999.25,0.612937,0.573365,0.7347984
2.6987,0.7235125,0.6310962,0.6238203,0.5642194,0.753207
2.8511,0.7385728,0.737875,0.6339662,0.5810262,0.7637843
3.0035,0.7519678,0.7270097,0.6437348,0.5964591,0.7725614
3.1559,0.7521802,0.7501384,0.6528608,0.6080979,0.7794922
3.3083,0.7515275,0.8269404,0.6595741,0.5999971,0.7644907
3.4607,0.7513624,0.8261352,0.6620941,0.5916211,0.7493016
3.6131,0.7570814,0.8017285,0.6643242,0.58295,0.7352783
3.7655,0.7625983,0.7671902,0.6662247,0.5897584,0.7554199
3.9179,0.7678703,0.7880953,0.6656538,0.6054103,0.7751743
4.0703,0.7705709,0.8251897,0.6639534,0.6212222,0.7958863
4.2227,0.7712165,0.8657456,0.6702177,0.6185336,0.8150113
4.3751,0.7711309,0.8451213,0.7403671,0.6216259,0.8313126
4.5275,0.8249586,0.8063639,0.8233708,0.6145706,0.8465806
4.6799,0.8890894,0.7708171,0.8096579,0.6028443,0.8882222
4.8323,0.8893232,0.7813062,0.7721755,0.5971537,0.9398343
4.9847,0.8498848,0.8016264,0.7158688,0.5910103,0.9238757
5.1371,0.8143406,0.822958,0.646041,0.6609776,0.8500864
5.2895,0.7758305,0.8303033,0.7304866,0.7649781,0.8021675
5.4419,0.8469608,0.8044977,0.8035242,0.6600204,0.7771561
5.5943,0.9580181,0.7801719,0.731674,0.7016984,0.8459113
5.7467,0.8715593,0.8099446,0.7899793,0.7526646,0.9650066
5.8991,0.8791119,0.8782192,0.8063916,0.6489996,0.8890916
6.0515,0.8987799,0.9108985,0.7419039,0.5926434,0.8680835
6.2039,0.8627545,0.8374849,0.7152773,0.6177928,0.8819479
6.3563,0.839038,0.7928903,0.7305067,0.6334129,0.8983408
6.5087,0.8502185,0.8486722,0.737851,0.6375193,0.9064693
6.6611,0.8421168,0.8922768,0.7382611,0.6433291,0.8829872
6.8135,0.8127233,0.9137186,0.7401668,0.6541328,0.8581102
6.9659,0.8113209,0.9125374,0.7440287,0.6677579,0.8272012
7.1183,0.846302,0.8932003,0.7679513,0.6970878,0.8078774
7.2707,0.8789784,0.8687313,0.8355558,0.730286,0.8141531
7.4231,0.8958684,0.8822495,0.9118722,0.7263883,0.8191263
7.5755,0.917003,0.9031622,0.9002692,0.6751587,0.8661988
7.7279,0.9347928,0.8508438,0.8335182,0.6354271,0.9146849
7.8803,0.9447735,0.8219067,0.7980136,0.6175553,0.9462019
8.0327,0.9392342,0.8960989,0.7929862,0.6095606,0.9389354
8.1851,0.9005327,0.9604031,0.7857051,0.6169977,0.9322512
8.3375,0.8790861,0.9022127,0.7778302,0.6257427,0.9294408
8.4899,0.8828852,0.8503301,0.7779958,0.6495769,0.9246097
8.6423,0.8881127,0.8892536,0.8229359,0.6780555,0.9166762
8.7947,0.9228005,0.9489694,0.8767834,0.7046444,0.9103613
8.9471,0.964241,1.007653,0.8603119,0.72914,0.9119319
9.0995,0.9781526,1.007605,0.8294452,0.7543684,0.9158545
9.2519,0.9747065,1.007556,0.801646,0.6810167,0.9241466
9.4043,0.9708578,0.9428905,0.7750786,0.604728,0.9344372
9.5567,0.9503683,0.8878698,0.7476494,0.6091999,0.9441113
9.7091,0.924835,0.9689097,0.7783114,0.6440216,0.9465427
9.8615,0.9252794,1.060158,0.8214971,0.6919312,0.943982
10.0139,0.935523,1.07318,0.8835859,0.7502581,0.953184
10.1663,0.968641,1.03888,0.960211,0.810722,0.969269
10.3187,1.013751,1.006852,0.9852511,0.7183222,0.9921767
10.4711,1.059584,0.9771191,0.8554184,0.6522135,1.023331
10.6235,1.001157,0.9490173,0.7914051,0.7656664,1.060191
10.7759,0.9618208,0.9735937,0.8822787,0.8964238,1.016393
10.9283,1.049026,1.051356,0.99901,0.9300313,0.9851438
11.0807,1.146079,1.072981,0.9748159,0.9392089,1.080564
11.2331,1.103965,0.9998205,0.9579402,0.9901084,1.193042
11.3855,1.023691,0.9894725,1.040451,1.097425,1.152182
11.5379,1.04348,1.058822,1.207757,1.015801,1.04311
11.6903,1.200435,1.138081,1.10784,0.8075715,1.032379
11.8427,1.174635,1.07756,0.9285032,0.7116824,1.19773
11.9951,1.003421,0.9880101,0.8933066,0.7868296,1.196555
12.1475,0.94342,1.027304,1.007162,0.7950566,0.9925161
12.2999,1.099308,1.1206,1.030644,0.6906038,0.8889195
12.4523,1.164379,1.138688,0.9698225,0.7064392,1.046086
12.6047,1.051448,1.050104,0.9258958,0.7931399,1.108883
12.7571,0.9201359,0.9987362,0.8887377,0.7974559,0.9149764
12.9095,0.8017068,1.143114,0.9390389,0.7631811,0.8782949
13.0619,0.8640986,1.247419,1.014769,0.7611799,0.9410174
13.2143,1.052945,1.091586,0.9951194,0.7760578,0.9796108
13.3667,1.074003,0.9659196,0.9480256,0.769584,1.001129
13.5191,0.9745532,1.070512,0.8978604,0.7525775,1.027638
13.6715,0.9733014,1.19419,0.8529145,0.756277,1.057561
13.8239,1.015977,1.154152,0.9300821,0.7757156,1.077487
13.9763,1.101367,1.100974,1.049558,0.7594014,1.08435
14.1287,1.221078,1.023692,0.9166397,0.7396333,1.080048
14.2811,1.11979,0.9980052,0.8771346,0.7111511,1.073567
14.4335,1.047376,1.069022,0.8872598,0.7032605,1.026153
14.5859,1.043847,1.117225,0.9256483,0.7370996,1.011763
14.7383,1.028005,1.094062,1.001353,0.7995119,1.083868
14.8907,0.9552537,1.064249,1.071732,1.045452,1.15825
15.0431,0.9265954,1.024088,1.120597,0.765443,1.171478
15.1955,1.080327,1.021703,0.9308867,0.6021043,1.181672
15.3479,1.06968,1.099478,0.9028553,0.831791,1.06605
15.5003,1.025753,1.048214,1.07414,0.926047,0.9546919
15.6527,1.053487,0.9229819,1.040917,0.6294498,0.8842831
15.8051,1.051562,1.046094,0.8185834,0.4833282,0.9693257
15.9575,0.989053,1.203701,0.7235873,0.5820503,1.021822
16.1099,0.9404252,1.098076,0.8172053,0.6915991,0.9682942
16.2623,1.017154,1.000765,0.8915175,0.6834509,0.9087732
16.4147,1.082588,1.138788,0.8930859,0.6752574,0.9978998
16.5671,1.052393,1.216271,0.9022782,0.7576051,1.075928
16.7195,1.02515,1.072405,0.9441875,0.8538321,1.068113
16.8719,0.9784429,1.074104,1.056483,0.9599779,1.058423
17.0243,1.14052,1.075935,1.083089,0.9264982,1.040696
17.1767,1.303026,1.093572,0.9039331,0.9023299,1.156809
17.3291,1.129472,1.111843,0.7901192,0.888597,1.320089
17.4815,0.9747917,1.072168,0.8876762,0.8801725,1.163978
17.6339,1.07051,1.024252,0.9956201,0.8682652,1.019368
17.7863,1.173689,1.077294,1.037194,0.8312292,1.074019
17.9387,1.23009,1.179343,0.9596193,0.79818,1.135756
18.0911,1.096389,1.062783,0.8895636,0.7573987,1.184537
18.2435,0.9797604,1.0694,0.8990242,0.7038322,1.129912
18.3959,0.9250497,1.224912,0.9825528,0.7023019,1.078933
18.5483,0.9614909,1.186638,1.012935,0.7691926,1.042422
18.7007,1.000375,1.109536,1.013062,0.861625,1.037027
18.8531,1.053063,1.106457,1.024778,0.7785764,1.052694
19.0055,1.127684,1.137976,0.9004173,0.708689,1.120833
19.1579,1.053464,1.171285,0.8086176,0.7796525,1.205069
19.3103,0.9972621,1.11641,0.932252,0.9104639,1.086159
19.4627,1.051535,1.056323,1.098493,0.7842649,0.9582132
19.6151,1.143342,1.00332,0.899804,0.6220622,0.9834762
19.7675,0.9526184,0.9589552,0.7325932,0.7305252,1.080054
19.9199,0.7444349,0.9353577,0.8922803,0.7086236,1.047384
20.0723,0.9200058,1.068686,0.8519219,0.5416368,0.9512634
20.2247,1.045956,1.243925,0.7517905,0.7457829,1.026219
20.3771,1.001054,1.211491,0.9040824,0.7884831,1.04537
20.5295,1.005888,1.043762,0.941127,0.5438901,0.9295379
20.6819,1.069118,0.9887998,0.6904177,0.6284249,0.9751639
20.8343,0.7977596,1.043725,0.8054271,0.7456119,0.9866496
20.9867,0.8760963,1.077375,0.9880359,0.6190947,0.8476824
21.1391,0.9891304,1.079746,0.7464066,0.4615277,0.9124261
21.2915,0.8504605,1.013015,0.6239949,0.6889449,1.009269
21.4439,0.6666016,0.944187,0.8908264,0.6605324,0.9115913
21.5963,0.9431545,1.078112,0.7869868,0.530188,0.7267949
21.7487,0.9614833,0.9813687,0.6889338,0.5799696,0.9700725
21.9011,0.8411428,0.8826033,0.7326062,0.6346539,1.056269
22.0535,0.8370003,0.8534918,0.8085817,0.7006226,0.9654236
22.2059,0.8397812,0.9657834,0.967468,0.6231913,0.9281242
22.3583,0.8625256,1.160264,0.7796208,0.4690881,0.9112852
22.5107,0.8287659,1.214417,0.6411011,0.6371292,0.9590487
22.6631,0.7477775,1.024993,0.7916902,0.5124848,0.987862
22.8155,0.9571065,1.102948,0.6613371,0.5883541,0.9691312
22.9679,0.6864024,1.218551,0.863649,0.6522178,1.094648
23.1203,0.8330676,1.089238,0.8987595,0.766158,0.9611422
23.2727,0.9476218,1.067671,0.9629425,0.6235135,0.99635
23.4251,1.017717,1.064435,0.9724163,0.7879382,1.03956
23.5775,1.067072,1.053475,1.060117,0.7981622,1.102937
23.7299,1.127538,1.039561,1.142349,0.7400593,1.025225
23.8823,1.252705,1.008845,0.9833251,0.6946164,1.04405
24.0347,1.139578,0.9642373,0.9990864,0.5994315,1.231613
24.1871,1.032607,0.9443297,0.7103597,0.6590677,1.17796
24.3395,0.7648933,0.9087726,0.8703315,0.6742727,1.025539
24.4919,0.8425922,0.8691499,0.8708836,0.5423562,0.9628501
24.6443,1.023418,0.8572413,0.7771106,0.513516,0.8970173
24.7967,0.9540671,0.8993864,0.7936569,0.5436541,0.890581
24.9491,1.011603,1.087105,0.7841476,0.6789853,0.7347948
25.1015,1.018169,1.199065,0.7566751,0.6817203,0.9224768
25.2539,0.9674457,1.212796,0.7899728,0.6527025,1.081556
25.4063,0.9874741,1.074266,0.8575363,0.7359833,1.109562
25.5587,1.032013,1.207049,0.9929961,0.7719533,1.084154
25.7111,1.051557,1.150905,1.010813,0.7318636,1.039369
25.8635,1.055328,1.177971,0.9440532,0.765462,1.096424
26.0159,1.032455,1.165248,1.000915,0.8774408,1.114468
26.1683,1.084176,1.132169,1.132042,0.8108017,1.06121
26.3207,1.218547,1.108355,0.9917626,0.7548108,1.070443
26.4731,1.088873,1.181107,1.032933,0.9295939,1.159715
26.6255,1.02336,1.174601,1.09353,1.030927,1.095009
26.7779,1.036779,1.063671,1.131125,1.002446,1.012542
26.9303,1.065623,1.144502,1.207346,0.9423045,1.104177
27.0827,1.26904,1.242995,1.150666,0.7838779,1.179414
27.2351,1.343363,1.103218,0.9650516,0.7037082,1.308424
27.3875,1.054644,1.042828,0.9303051,0.8563213,1.383711
27.5399,0.9070978,1.2042,1.154283,0.9053004,1.192244
27.6923,1.106396,1.232454,1.178936,0.7755814,1.05634
27.8447,1.205921,1.029902,1.032137,0.8115515,1.157435
27.9971,1.106269,1.151584,1.175534,0.8286015,1.194615
28.1495,1.197076,1.144804,1.120413,0.6087363,1.101562
28.3019,1.274421,1.272153,0.8875949,0.7070276,1.079192
28.4543,1.039123,1.434597,1.005833,0.7572517,1.095278
28.6067,1.098588,1.224545,1.013973,0.7046794,1.016307
28.7591,1.096436,1.062145,0.9132605,0.728503,1.172256
28.9115,0.9588427,1.074425,0.9463923,0.6702874,1.245846
29.0639,1.043842,1.115435,0.9164791,0.652326,1.010584
29.2163,1.087547,1.091402,0.9184074,0.7396687,1.103313
29.3687,0.9794366,1.084715,0.8658349,0.5707551,1.251633
29.5211,0.9579883,1.117969,0.7295114,0.6224665,1.073424
29.6735,1.117404,1.039735,0.8743262,0.6971419,0.997232
29.8259,0.9964428,1.092805,0.9532574,0.818144,1.071079
29.9783,0.9096461,1.209749,0.925266,0.6919843,0.9900832
30.1307,0.8611145,1.072039,0.877996,0.6556232,0.9424547
30.2831,0.8756041,1.028545,0.8312234,0.8400123,1.040022
30.4355,0.8959285,1.102771,0.8100263,0.6758426,1.015772
30.5879,0.9207957,1.050299,0.8170056,0.6696339,0.9905986
30.7403,1.219423,1.004692,0.9879193,0.6379301,1.21597
30.8927,1.029461,0.9724826,0.8579981,0.7494023,1.227279
31.0451,0.9059348,0.941635,1.009048,0.6165094,1.134162
31.1975,1.025258,0.9119447,0.8241031,0.4286455,0.9132107
31.3499,0.9480935,0.8991863,0.6783305,0.5591766,0.8525368
31.5023,0.7739772,0.8915974,0.760397,0.6540476,0.9607894
31.6547,0.7102649,0.8966599,0.8441236,0.6981778,1.052282
31.8071,0.7432047,0.8553909,0.9616869,0.7055911,1.042106
31.9595,0.8873699,0.906319,0.906634,0.6982478,1.010936
32.1119,1.02617,1.012976,0.890418,0.7368392,0.9459652
32.2643,1.148374,0.9797379,0.992497,0.7755907,0.9809281
32.4167,1.154496,1.212034,1.054959,0.7867919,1.067141
32.5691,1.155822,1.134883,0.9929935,0.8383084,1.092338
32.7215,1.103832,1.082702,1.001368,0.9621194,1.120614
32.8739,1.09659,1.060088,1.078067,0.9283941,1.039483
33.0263,1.170308,1.062117,1.021824,0.8041412,1.033985
33.1787,1.189653,1.131176,0.9493092,0.7965808,1.210671
33.3311,1.178237,1.118548,0.9732392,0.7952285,1.258642
33.4835,0.9714648,1.007389,1.038334,0.8436037,1.180079
33.6359,0.8593447,1.077312,1.196829,0.8503261,1.114642
33.7883,1.080786,1.227159,1.295945,0.6367446,1.051239
33.9407,1.313237,1.129386,1.224951,0.5752912,1.098248
34.0931,1.196986,1.011387,1.185275,0.7833942,1.130443
34.2455,1.015128,1.176649,1.189023,0.7373506,0.9542549
34.3979,0.7760317,1.270618,1.082304,0.5486035,0.8693388
34.5503,0.7829593,1.137228,0.9577107,0.7740039,1.048306
34.7027,0.9545031,1.141694,1.177678,1.089994,1.048226
34.8551,1.036365,1.237107,1.205646,0.9154087,0.8679367
35.0075,1.08675,1.239113,0.9318221,0.8193623,1.08272
35.1599,1.001907,1.222767,0.891081,0.7859915,1.447398
35.3123,0.9654043,1.233284,0.9733392,0.918337,1.225594
35.4647,0.9462498,1.251726,1.148656,0.9502009,1.06991
35.6171,1.057402,1.154262,1.077169,0.7802045,0.9757496
35.7695,1.120432,1.091508,0.8884079,0.7094822,1.114415
35.9219,1.049458,1.083372,0.9963786,0.6652911,1.304141
36.0743,1.070676,1.170886,1.247785,0.7167215,1.244321
36.2267,1.145166,1.428646,1.095051,0.868175,1.169959
36.3791,1.072538,1.234297,0.8924516,0.955874,1.079286
36.5315,0.934371,1.104735,0.9258439,0.9568548,1.033917
36.6839,0.9605067,1.21227,1.063226,0.951932,1.033006
36.8363,1.140033,1.245185,1.095213,0.8663878,1.099196
36.9887,1.297326,1.167255,0.9262652,0.8642717,1.27473
37.1411,1.196205,1.180152,0.972768,1.039313,1.464393
37.2935,1.150964,1.203535,1.378819,1.040088,1.202097
37.4459,1.177499,1.24858,1.191587,0.9865605,1.058507
37.5983,1.08187,1.261778,1.087366,0.8827162,1.113058
37.7507,0.9759604,1.189052,1.118843,1.16411,1.094778
