#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.1079
#BOTTOM:,749.0018
DEPTH_LSF,P16B,P16H,P16L,P22B,P22H,P22L,P28B,P28H,P28L,P34B,P34H,P34L,P40B,P40H,P40L
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
0.1079,0.3,0.2597975,0.3,0.2864076,0.2310798,0.2864076,0.3,0.2456448,0.3,0.5,0.2772868,0.5,0.4697928,0.23946,0.4697928
0.2603,0.3,0.2587435,0.3,0.2856288,0.2313229,0.2856288,0.3,0.2460523,0.3,0.5,0.2768573,0.5,0.4696477,0.2390086,0.4696477
0.4127,0.3,0.2656449,0.3,0.2833267,0.2334426,0.2833267,0.3,0.2484399,0.3,0.5,0.2805758,0.5,0.4694032,0.2401026,0.4694032
0.5651,0.3,0.2637737,0.3,0.2845244,0.2327852,0.2845244,0.3,0.2472952,0.3,0.5,0.2777579,0.5,0.4695871,0.2385978,0.4695871
0.7175,0.3,0.2598589,0.3,0.2859053,0.2315904,0.2859052,0.3,0.2464143,0.3,0.5,0.2772843,0.5,0.4696793,0.2387225,0.4696793
0.8699,0.3,0.2591463,0.3,0.28633,0.2312976,0.28633,0.3,0.2461502,0.3,0.5,0.2784051,0.5,0.4696448,0.2405639,0.4696448
1.0223,0.3,0.2597049,0.3,0.2844476,0.2317389,0.2844476,0.3,0.2468608,0.3,0.5,0.2783931,0.5,0.4692462,0.2394418,0.4692462
1.1747,0.3,0.6644018,0.3,0.2621624,0.2890182,0.2621619,0.3,0.9051561,0.3,0.499107,0.479378,0.499107,0.4655374,0.3135377,0.4655374
1.3271,0.3,0.709758,0.3,0.2608759,0.2950912,0.2608759,0.3,0.9396208,0.3,0.4988272,0.4860708,0.4988272,0.4654906,0.313365,0.4654906
1.4795,0.3,0.7266972,0.3,0.2650716,0.2966647,0.2650716,0.3,0.9446809,0.3,0.5,0.4852653,0.5,0.4665424,0.3126263,0.4665424
1.6319,0.3,0.5017814,0.3,0.2713496,0.262208,0.2713495,0.3,0.2952508,0.3,0.5,0.3802822,0.5,0.4670771,0.2860172,0.4670771
1.7843,0.3,0.7080023,0.3,0.260489,0.2947564,0.2604888,0.3,0.9399269,0.3,0.4983125,0.4896768,0.4983125,0.4652678,0.3145443,0.4652678
1.9367,0.3,0.734675,0.3,0.2601503,0.299448,0.2601503,0.3,0.9847736,0.3,0.4980694,0.5093114,0.4980694,0.4651748,0.3183171,0.4651748
2.0891,0.3,0.7121826,0.3,0.2601469,0.2968514,0.2601469,0.3,0.9698753,0.3,0.4979331,0.5059832,0.4979331,0.4651418,0.3180426,0.4651418
2.2415,0.3,0.7092121,0.3,0.2600017,0.2973951,0.2600017,0.3,0.9771982,0.3,0.4978881,0.5084221,0.4978881,0.4651195,0.3186584,0.4651195
2.3939,0.3,0.7147604,0.3,0.2599755,0.2979959,0.2599755,0.3,0.9798223,0.3,0.4978952,0.5095212,0.4978952,0.4651327,0.3191905,0.4651327
2.5463,0.3,0.711202,0.3,0.2600604,0.2976335,0.2600604,0.3,0.9798238,0.3,0.4979055,0.5086843,0.4979055,0.4651568,0.3182182,0.4651568
2.6987,0.3,0.7086576,0.3,0.26006,0.2971592,0.26006,0.3,0.9766088,0.3,0.4978793,0.5087685,0.4978793,0.4651254,0.318646,0.4651254
2.8511,0.3,0.6832267,0.3,0.2599434,0.2923313,0.2599434,0.3,0.9314457,0.3,0.4978663,0.4874173,0.4978663,0.4651434,0.3138721,0.4651434
3.0035,0.3,0.7326451,0.3,0.258229,0.2995027,0.258229,0.3,0.9948196,0.3,0.4972439,0.516019,0.4972439,0.4649527,0.3197233,0.4649527
3.1559,0.3,0.7236575,0.3,0.2579775,0.2986307,0.2579775,0.3,0.9907961,0.3,0.4970912,0.5133625,0.4970912,0.4648694,0.3183917,0.4648694
3.3083,0.3,0.7718748,0.3,0.2566657,0.9397756,0.2566657,0.3,1.040638,0.3,0.4966477,0.5349324,0.4966477,0.4647022,0.3243612,0.4647022
3.4607,0.3,0.7811008,0.3,0.2567905,0.9401552,0.2567905,0.3,1.035748,0.3,0.496639,0.5309718,0.496639,0.4647047,0.3227661,0.4647047
3.6131,0.3,0.750025,0.3,0.2578483,0.9103659,0.2578483,0.3,1.007805,0.3,0.4971015,0.5189662,0.4971015,0.4648865,0.3196482,0.4648865
3.7655,0.3,0.7257736,0.3,0.2583298,0.2996456,0.2583298,0.3,0.9925827,0.3,0.4971774,0.512608,0.4971775,0.4649192,0.3187594,0.4649192
3.9179,0.3,0.7987518,0.3,0.2557057,0.9534931,0.2557057,0.3,1.046971,0.3,0.4961702,0.5341242,0.4961702,0.4645119,0.3229192,0.4645119
4.0703,0.3,0.7918751,0.3,0.2563486,0.94832,0.2563486,0.3,1.03663,0.3,0.4965311,0.5270867,0.4965311,0.4646549,0.3212691,0.4646549
4.2227,0.3,0.8334631,0.3,0.2557588,0.9813924,0.2557588,0.3,1.074217,0.3,0.4962575,0.5463907,0.4962575,0.4645425,0.3254627,0.4645425
4.3751,0.3,0.8474685,0.3,0.2548068,1.006199,0.2548069,0.3,1.110523,0.3,0.4958376,0.5660229,0.4958376,0.4643573,0.3307173,0.4643573
4.5275,0.3,0.8263597,0.3,0.2559148,0.9658003,0.2559148,0.3,1.049,0.3,0.4964103,0.5324829,0.4964103,0.4646008,0.3220254,0.4646008
4.6799,0.3,0.7925214,0.3,0.2563899,0.9464641,0.2563899,0.3,1.031797,0.3,0.496516,0.5245846,0.496516,0.4647087,0.3208488,0.4647087
4.8323,0.3,0.894115,0.3,0.2535864,1.038127,0.2535864,0.3,1.140641,0.3,0.4953222,0.5752976,0.4953222,0.4642111,0.3318477,0.4642111
4.9847,0.3,0.9139388,0.3,0.2537807,1.055193,0.2537807,0.3,1.155993,0.3,0.4955243,0.5801375,0.4955243,0.4643235,0.3331218,0.4643235
5.1371,0.3,0.8230647,0.3,0.2555284,0.9633031,0.2555284,0.3,1.045955,0.3,0.4962022,0.530745,0.4962022,0.4645447,0.3216138,0.4645447
5.2895,0.3,0.9085181,0.3,0.2532432,1.053905,0.2532432,0.3,1.164172,0.3,0.4953052,0.5862648,0.4953052,0.4642047,0.3340715,0.4642047
5.4419,0.3,0.9078116,0.3,0.2533309,1.040181,0.2533309,0.3,1.129431,0.3,0.4953637,0.5672966,0.4953637,0.4642112,0.3303295,0.4642112
5.5943,0.3,0.9098037,0.3,0.2533686,1.043027,0.2533686,0.3,1.135532,0.3,0.4953946,0.5702273,0.4953946,0.4642406,0.3307166,0.4642406
