#HOLE:,U1520B,,
#EXPEDITION:,372,,
#TOP:,0.1079,,
#BOTTOM:,752.0498,,
DEPTH_LSF,DHAP,DHAT,ECD
m,psi,degC,g/cm3
0.1079,5211.009386,1,-999.25
0.2603,5212.391598,1,-999.25
0.4127,5214.008772,1,-999.25
0.5651,5214.762969,1,-999.25
0.7175,5216.008846,1,-999.25
0.8699,5214.681748,1,-999.25
1.0223,5213.01091,1,-999.25
1.1747,5214.137856,1,-999.25
1.3271,5215.009534,1,-999.25
1.4795,5218.00892,1,-999.25
1.6319,5216.757242,1,-999.25
1.7843,5216.010296,1,-999.25
1.9367,5215.009534,1,-999.25
2.0891,5218.00892,1,-999.25
2.2415,5216.011747,1,-999.25
2.3939,5215.377931,1,-999.25
2.5463,5215.009534,1,-999.25
2.6987,5216.008846,1,-999.25
2.8511,5218.037928,1,-999.25
3.0035,5219.008232,1,-999.25
3.1559,5216.011747,1,-999.25
3.3083,5216.926936,1,-999.25
3.4607,5218.00892,1,-999.25
3.6131,5217.565104,1,-999.25
3.7655,5217.009608,1,-999.25
3.9179,5218.233729,1,-999.25
4.0703,5220.008994,1,-999.25
4.2227,5220.599299,1,-999.25
4.3751,5221.008306,1,-999.25
4.5275,5222.009068,1,-999.25
4.6799,5221.642122,1,-999.25
4.8323,5221.009756,1,-999.25
4.9847,5221.430366,1,-999.25
5.1371,5222.009068,1,-999.25
5.2895,5223.764028,1,-999.25
5.4419,5226.009216,1,-999.25
5.5943,5224.895324,1,-999.25
5.7467,5223.00983,1,-999.25
5.8991,5223.896012,1,-999.25
6.0515,5225.009904,1,-999.25
6.2039,5224.010592,1,-999.25
6.3563,5224.009142,1,-999.25
6.5087,5224.009142,1,-999.25
6.6611,5224.009142,1,-999.25
6.8135,5223.00983,1,-999.25
6.9659,5223.404334,1,-999.25
7.1183,5224.009142,1,-999.25
7.2707,5225.563949,1,-999.25
7.4231,5227.008528,1,591.1838
7.5755,5227.008528,1,351.9803
7.7279,5227.008528,1,178.8567
7.8803,5228.00929,1,113.7398
8.0327,5228.00929,1,99.00899
8.1851,5228.00929,1,79.58398
8.3375,5226.854788,1,68.23029
8.4899,5226.009216,1,59.94773
8.6423,5227.008528,1,51.10866
8.7947,5227.008528,1,46.8121
8.9471,5227.008528,1,44.22988
9.0995,5231.007225,1,39.74232
9.2519,5228.904174,1,36.54072
9.4043,5227.008528,1,33.66111
9.5567,5228.00929,1,30.41636
9.7091,5229.265319,1,29.60287
9.8615,5231.008676,1,28.47712
10.0139,5231.680202,1,26.91231
10.1663,5232.009438,1,26.14449
10.3187,5231.010126,1,23.93106
10.4711,5229.011503,1,22.24911
10.6235,5230.225471,1,21.64439
10.7759,5231.010126,1,21.25374
10.9283,5233.0073,1,19.99337
11.0807,5233.0102,1,19.54974
11.2331,5233.0102,1,18.75877
11.3855,5235.008824,1,18.26097
11.5379,5235.008824,1,17.57381
11.6903,5232.847758,1,16.80928
11.8427,5231.010126,1,16.16049
11.9951,5233.0102,1,15.55564
12.1475,5232.624399,1,15.18945
12.2999,5232.010888,1,14.60575
12.4523,5234.321344,1,14.51252
12.6047,5236.009586,1,14.4448
12.7571,5237.008898,1,13.88814
12.9095,5237.008898,1,13.66913
13.0619,5237.008898,1,13.43408
13.2143,5237.008898,1,13.10319
13.3667,5239.008972,1,12.84852
13.5191,5237.908134,1,12.43521
13.6715,5237.010348,1,12.09758
13.8239,5240.747978,1,12.15161
13.9763,5243.00912,1,12.1844
14.1287,5240.531871,1,11.60474
14.2811,5238.011111,1,11.0151
14.4335,5238.370805,1,10.88353
14.5859,5239.008972,1,10.652
14.7383,5238.525995,1,10.45171
14.8907,5238.00966,1,10.23853
15.0431,5239.857444,1,10.15952
15.1955,5241.009046,1,10.11043
15.3479,5239.088743,1,9.711488
15.5003,5238.011111,1,9.487675
15.6527,5241.007596,1,9.481339
15.8051,5240.038742,1,9.266324
15.9575,5239.010422,1,9.038484
16.1099,5245.001942,1,9.284427
16.2623,5246.008506,1,9.195449
16.4147,5243.669043,1,8.926572
16.5671,5241.009046,1,8.621302
16.7195,5247.009268,1,8.926929
16.8719,5245.012095,1,8.64609
17.0243,5244.009882,1,8.401988
17.1767,5244.009882,1,8.252359
17.3291,5244.009882,1,8.077209
17.4815,5244.735072,1,8.06251
17.6339,5246.008506,1,8.036716
17.7863,5242.009808,1,7.648045
17.9387,5242.009808,1,7.518752
18.0911,5244.006981,1,7.5194
18.2435,5244.405836,1,7.480294
18.3959,5245.009194,1,7.421002
18.5483,5244.009882,1,7.209262
18.7007,5244.971484,1,7.214492
18.8531,5246.008506,1,7.220151
19.0055,5247.009268,1,7.114275
19.1579,5247.009268,1,7.044706
19.3103,5247.009268,1,6.928548
