#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.7174
#BOTTOM:,720.8074
DEPTH_LSF,DTCO,DTSM,VCO,VSH
m,us/ft,us/ft,km/s,km/s
0.7174,202.44064,-999.25,1.5056,-999.25
0.8698,202.64484,-999.25,1.5041,-999.25
1.0222,202.65160,-999.25,1.5041,-999.25
1.1746,202.62709,-999.25,1.5042,-999.25
1.3270,202.36589,-999.25,1.5062,-999.25
1.4794,201.68764,-999.25,1.5112,-999.25
1.6318,201.43564,-999.25,1.5131,-999.25
1.7842,201.59763,-999.25,1.5119,-999.25
1.9366,201.98917,-999.25,1.5090,-999.25
2.0890,202.31848,-999.25,1.5065,-999.25
2.2414,202.76598,-999.25,1.5032,-999.25
2.3938,203.19815,-999.25,1.5000,-999.25
2.5462,203.45596,-999.25,1.4981,-999.25
2.6986,203.61270,-999.25,1.4970,-999.25
2.8510,203.57469,-999.25,1.4972,-999.25
3.0034,203.21019,-999.25,1.4999,-999.25
3.1558,202.65791,-999.25,1.5040,-999.25
3.3082,202.28572,-999.25,1.5068,-999.25
3.4606,201.91444,-999.25,1.5096,-999.25
3.6130,201.67102,-999.25,1.5114,-999.25
3.7654,201.59546,-999.25,1.5119,-999.25
3.9178,201.49715,-999.25,1.5127,-999.25
4.0702,201.59679,-999.25,1.5119,-999.25
4.2226,202.01483,-999.25,1.5088,-999.25
4.3750,202.58881,-999.25,1.5045,-999.25
4.5274,202.64006,-999.25,1.5041,-999.25
4.6798,202.02187,-999.25,1.5087,-999.25
4.8322,201.47430,-999.25,1.5128,-999.25
4.9846,201.67101,-999.25,1.5114,-999.25
5.1370,202.36256,-999.25,1.5062,-999.25
5.2894,202.27901,-999.25,1.5068,-999.25
5.4418,201.45390,-999.25,1.5130,-999.25
5.5942,200.77908,-999.25,1.5181,-999.25
5.7466,200.07359,-999.25,1.5234,-999.25
5.8990,199.74832,-999.25,1.5259,-999.25
6.0514,199.64308,-999.25,1.5267,-999.25
6.2038,199.80692,-999.25,1.5255,-999.25
6.3562,199.92747,-999.25,1.5246,-999.25
6.5086,199.83009,-999.25,1.5253,-999.25
6.6610,199.77513,-999.25,1.5257,-999.25
6.8134,199.19679,-999.25,1.5301,-999.25
6.9658,198.30162,-999.25,1.5371,-999.25
7.1182,198.84921,-999.25,1.5328,-999.25
7.2706,201.17918,-999.25,1.5151,-999.25
7.4230,202.37222,-999.25,1.5061,-999.25
7.5754,201.92552,-999.25,1.5095,-999.25
7.7278,200.64978,-999.25,1.5191,-999.25
7.8802,199.14809,-999.25,1.5305,-999.25
8.0326,198.08371,-999.25,1.5387,-999.25
8.1850,197.54166,-999.25,1.5430,-999.25
8.3374,197.31743,-999.25,1.5447,-999.25
8.4898,197.31367,-999.25,1.5447,-999.25
8.6422,197.22972,-999.25,1.5454,-999.25
8.7946,196.99376,-999.25,1.5473,-999.25
8.9470,196.74796,-999.25,1.5492,-999.25
9.0994,196.62019,-999.25,1.5502,-999.25
9.2518,196.47447,-999.25,1.5513,-999.25
9.4042,196.26118,-999.25,1.5530,-999.25
9.5566,196.51990,-999.25,1.5510,-999.25
9.7090,196.90079,-999.25,1.5480,-999.25
9.8614,197.22037,-999.25,1.5455,-999.25
10.0138,197.36819,-999.25,1.5443,-999.25
10.1662,197.48744,-999.25,1.5434,-999.25
10.3186,197.43123,-999.25,1.5438,-999.25
10.4710,196.89403,-999.25,1.5480,-999.25
10.6234,196.20209,-999.25,1.5535,-999.25
10.7758,196.00101,-999.25,1.5551,-999.25
10.9282,196.02103,-999.25,1.5549,-999.25
11.0806,195.96394,-999.25,1.5554,-999.25
11.2330,195.89839,-999.25,1.5559,-999.25
11.3854,196.06787,-999.25,1.5546,-999.25
11.5378,196.14680,-999.25,1.5539,-999.25
11.6902,195.73170,-999.25,1.5572,-999.25
11.8426,194.89848,-999.25,1.5639,-999.25
11.9950,194.32677,-999.25,1.5685,-999.25
12.1474,194.29088,-999.25,1.5688,-999.25
12.2998,194.94048,-999.25,1.5636,-999.25
12.4522,195.18869,-999.25,1.5616,-999.25
12.6046,194.87712,-999.25,1.5641,-999.25
12.7570,194.93452,-999.25,1.5636,-999.25
12.9094,196.70914,-999.25,1.5495,-999.25
13.0618,198.40681,-999.25,1.5362,-999.25
13.2142,199.95920,-999.25,1.5243,-999.25
13.3666,200.66559,-999.25,1.5189,-999.25
13.5190,200.21558,-999.25,1.5224,-999.25
13.6714,199.54132,-999.25,1.5275,-999.25
13.8238,199.10277,-999.25,1.5309,-999.25
13.9762,199.02939,-999.25,1.5314,-999.25
14.1286,198.57732,-999.25,1.5349,-999.25
14.2810,198.25320,-999.25,1.5374,-999.25
14.4334,197.82372,-999.25,1.5408,-999.25
14.5858,196.72139,-999.25,1.5494,-999.25
14.7382,196.21158,-999.25,1.5534,-999.25
14.8906,195.96019,-999.25,1.5554,-999.25
15.0430,195.00270,-999.25,1.5631,-999.25
15.1954,193.87381,-999.25,1.5722,-999.25
15.3478,193.69063,-999.25,1.5736,-999.25
15.5002,192.90244,-999.25,1.5801,-999.25
15.6526,191.84735,-999.25,1.5888,-999.25
15.8050,191.63687,-999.25,1.5905,-999.25
15.9574,191.96661,-999.25,1.5878,-999.25
16.1098,192.22304,-999.25,1.5857,-999.25
16.2622,192.19711,-999.25,1.5859,-999.25
16.4146,191.80998,-999.25,1.5891,-999.25
16.5670,191.65573,-999.25,1.5904,-999.25
16.7194,192.07535,-999.25,1.5869,-999.25
16.8718,192.45428,-999.25,1.5838,-999.25
17.0242,192.58817,-999.25,1.5827,-999.25
17.1766,192.54451,-999.25,1.5830,-999.25
17.3290,193.10040,-999.25,1.5785,-999.25
17.4814,193.78192,-999.25,1.5729,-999.25
17.6338,194.40036,-999.25,1.5679,-999.25
17.7862,194.52345,-999.25,1.5669,-999.25
17.9386,194.34486,-999.25,1.5683,-999.25
18.0910,194.26385,-999.25,1.5690,-999.25
18.2434,193.90822,-999.25,1.5719,-999.25
18.3958,193.52075,-999.25,1.5750,-999.25
18.5482,193.72783,-999.25,1.5733,-999.25
18.7006,194.21014,-999.25,1.5694,-999.25
18.8530,194.40161,-999.25,1.5679,-999.25
19.0054,194.29633,-999.25,1.5687,-999.25
19.1578,194.25119,-999.25,1.5691,-999.25
19.3102,194.41991,-999.25,1.5677,-999.25
19.4626,194.59726,-999.25,1.5663,-999.25
19.6150,195.01085,-999.25,1.5630,-999.25
19.7674,195.49902,-999.25,1.5591,-999.25
19.9198,195.18094,-999.25,1.5616,-999.25
20.0722,194.99162,-999.25,1.5631,-999.25
20.2246,195.21927,-999.25,1.5613,-999.25
20.3770,195.56294,-999.25,1.5586,-999.25
20.5294,195.80707,-999.25,1.5566,-999.25
20.6818,196.16098,-999.25,1.5538,-999.25
20.8342,196.21950,-999.25,1.5534,-999.25
20.9866,195.72052,-999.25,1.5573,-999.25
21.1390,195.10643,-999.25,1.5622,-999.25
21.2914,195.03835,-999.25,1.5628,-999.25
21.4438,196.39658,-999.25,1.5520,-999.25
21.5962,197.62865,-999.25,1.5423,-999.25
21.7486,199.00925,-999.25,1.5316,-999.25
21.9010,199.72417,-999.25,1.5261,-999.25
22.0534,200.34592,-999.25,1.5214,-999.25
22.2058,199.28166,-999.25,1.5295,-999.25
22.3582,195.40749,-999.25,1.5598,-999.25
22.5106,191.84595,-999.25,1.5888,-999.25
22.6630,191.55072,-999.25,1.5912,-999.25
22.8154,192.62115,-999.25,1.5824,-999.25
22.9678,192.97713,-999.25,1.5795,-999.25
23.1202,192.91650,-999.25,1.5800,-999.25
23.2726,192.68544,-999.25,1.5819,-999.25
23.4250,192.49889,-999.25,1.5834,-999.25
23.5774,192.56509,-999.25,1.5828,-999.25
23.7298,192.39748,-999.25,1.5842,-999.25
23.8822,191.83464,-999.25,1.5889,-999.25
24.0346,191.32614,-999.25,1.5931,-999.25
24.1870,191.53557,-999.25,1.5913,-999.25
24.3394,192.36043,-999.25,1.5845,-999.25
24.4918,193.77737,-999.25,1.5729,-999.25
24.6442,195.21860,-999.25,1.5613,-999.25
24.7966,194.83597,-999.25,1.5644,-999.25
24.9490,193.59828,-999.25,1.5744,-999.25
25.1014,193.29272,-999.25,1.5769,-999.25
25.2538,193.25131,-999.25,1.5772,-999.25
25.4062,193.17084,-999.25,1.5779,-999.25
25.5586,193.15060,-999.25,1.5780,-999.25
25.7110,192.73602,-999.25,1.5814,-999.25
25.8634,192.16718,-999.25,1.5861,-999.25
26.0158,191.55006,-999.25,1.5912,-999.25
26.1682,191.21837,-999.25,1.5940,-999.25
26.3206,191.11314,-999.25,1.5949,-999.25
26.4730,191.21533,-999.25,1.5940,-999.25
26.6254,191.18300,-999.25,1.5943,-999.25
26.7778,190.71419,-999.25,1.5982,-999.25
26.9302,190.29077,-999.25,1.6018,-999.25
27.0826,190.10172,-999.25,1.6034,-999.25
27.2350,190.60519,-999.25,1.5991,-999.25
27.3874,192.01044,-999.25,1.5874,-999.25
27.5398,193.05417,-999.25,1.5788,-999.25
27.6922,192.88914,-999.25,1.5802,-999.25
27.8446,192.01779,-999.25,1.5874,-999.25
27.9970,191.42810,-999.25,1.5922,-999.25
28.1494,190.78294,-999.25,1.5976,-999.25
28.3018,190.48895,-999.25,1.6001,-999.25
28.4542,190.59465,-999.25,1.5992,-999.25
28.6066,190.79163,-999.25,1.5976,-999.25
28.7590,190.93919,-999.25,1.5963,-999.25
28.9114,190.99263,-999.25,1.5959,-999.25
29.0638,191.06328,-999.25,1.5953,-999.25
29.2162,190.89743,-999.25,1.5967,-999.25
29.3686,190.97958,-999.25,1.5960,-999.25
29.5210,191.42947,-999.25,1.5922,-999.25
29.6734,191.49107,-999.25,1.5917,-999.25
29.8258,190.51132,-999.25,1.5999,-999.25
29.9782,189.60529,-999.25,1.6076,-999.25
30.1306,190.16295,-999.25,1.6028,-999.25
30.2830,191.95474,-999.25,1.5879,-999.25
30.4354,193.61520,-999.25,1.5743,-999.25
30.5878,193.75089,-999.25,1.5732,-999.25
30.7402,192.90506,-999.25,1.5801,-999.25
30.8926,192.23271,-999.25,1.5856,-999.25
31.0450,191.86876,-999.25,1.5886,-999.25
31.1974,191.93965,-999.25,1.5880,-999.25
31.3498,192.49094,-999.25,1.5835,-999.25
31.5022,192.43031,-999.25,1.5840,-999.25
31.6546,192.25075,-999.25,1.5854,-999.25
31.8070,191.94392,-999.25,1.5880,-999.25
31.9594,191.69237,-999.25,1.5900,-999.25
32.1118,191.15132,-999.25,1.5945,-999.25
32.2642,190.63770,-999.25,1.5988,-999.25
32.4166,190.33746,-999.25,1.6014,-999.25
32.5690,190.25468,-999.25,1.6021,-999.25
32.7214,190.23851,-999.25,1.6022,-999.25
32.8738,190.25691,-999.25,1.6020,-999.25
33.0262,190.29805,-999.25,1.6017,-999.25
33.1786,190.24892,-999.25,1.6021,-999.25
33.3310,189.95143,-999.25,1.6046,-999.25
33.4834,189.98427,-999.25,1.6043,-999.25
33.6358,190.42416,-999.25,1.6006,-999.25
33.7882,190.70081,-999.25,1.5983,-999.25
33.9406,190.77704,-999.25,1.5977,-999.25
34.0930,191.01665,-999.25,1.5957,-999.25
34.2454,191.43524,-999.25,1.5922,-999.25
34.3978,191.56400,-999.25,1.5911,-999.25
34.5502,191.40965,-999.25,1.5924,-999.25
34.7026,191.18512,-999.25,1.5943,-999.25
34.8550,190.74242,-999.25,1.5980,-999.25
35.0074,190.36789,-999.25,1.6011,-999.25
35.1598,190.05029,-999.25,1.6038,-999.25
35.3122,189.88493,-999.25,1.6052,-999.25
35.4646,189.52188,-999.25,1.6083,-999.25
