#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,60.9829
#BOTTOM:,331.6453
DEPTH_WMSF,LCAL
m,in
60.9829,15.10966
61.1353,15.08556
61.2877,15.07378
61.4401,14.61143
61.5925,13.05669
61.7449,12.78562
61.8973,12.72471
62.0497,12.70045
62.2021,12.72159
62.3545,12.79448
62.5069,12.84128
62.6593,12.90767
62.8117,12.91129
62.9641,13.25729
63.1165,12.90831
63.2689,12.87959
63.4213,12.87998
63.5737,12.98412
63.7261,13.37814
63.8785,13.68244
64.0309,13.75456
64.1833,14.05693
64.3357,14.14293
64.4881,12.40364
64.6405,12.44746
64.7929,12.6894
64.9453,12.68114
65.0977,12.66732
65.2501,12.36733
65.4025,11.85362
65.5549,11.78306
65.7073,11.57421
65.8597,11.47954
66.0121,11.47917
66.1645,11.45595
66.3169,11.41896
66.4693,11.34965
66.6217,11.32622
66.7741,11.38508
66.9265,11.46135
67.0789,11.47894
67.2313,11.47509
67.3837,11.47488
67.5361,11.51421
67.6885,11.53412
67.8409,11.5655
67.9933,11.52963
68.1457,11.51765
68.2981,11.52098
68.4505,11.5256
68.6029,11.53022
68.7553,11.52667
68.9077,11.52205
69.0601,11.40508
69.2125,11.3268
69.3649,11.31263
69.5173,11.30801
69.6697,11.31499
69.8221,11.27445
69.9745,11.26536
70.1269,11.25784
70.2793,11.22254
70.4317,11.22595
70.5841,11.21735
70.7365,11.21414
70.8889,11.21414
71.0413,11.21768
71.1937,11.21529
71.3461,11.25233
71.4985,11.36837
71.6509,11.43904
71.8033,11.45496
71.9557,11.47289
72.1081,11.51907
72.2605,11.55496
72.4129,11.56335
72.5653,11.5538
72.7177,11.55883
72.8701,11.55712
73.0225,11.5608
73.1749,11.55759
73.3273,11.55704
73.4797,11.55572
73.6321,11.56283
73.7845,11.56221
73.9369,11.56156
74.0893,11.47311
74.2417,11.32051
74.3941,11.28678
74.5465,11.30422
74.6989,11.31047
74.8513,11.30863
75.0037,11.30726
75.1561,11.31412
75.3085,11.30956
75.4609,11.26786
75.6133,11.20848
75.7657,11.20297
75.9181,11.15915
76.0705,11.11011
76.2229,11.10635
76.3753,11.10705
76.5277,11.11936
76.6801,11.11265
76.8325,11.11596
76.9849,11.14234
77.1373,11.11787
77.2897,11.12532
77.4421,11.10746
77.5945,11.12557
77.7469,11.13037
77.8993,11.13523
78.0517,11.1439
78.2041,11.13544
78.3565,11.14454
78.5089,11.14822
78.6613,11.13292
78.8137,11.09061
78.9661,10.97093
79.1185,10.95565
79.2709,10.9956
79.4233,11.0695
79.5757,11.06545
79.7281,11.06948
79.8805,11.06514
80.0329,11.06114
80.1853,11.03293
80.3377,11.33371
80.4901,11.36887
80.6425,11.32848
80.7949,11.36374
80.9473,11.42366
81.0997,11.42405
81.2521,11.42832
81.4045,11.43118
81.5569,11.47095
81.7093,11.59343
81.8617,11.80567
82.0141,11.87957
82.1665,11.96377
82.3189,11.96424
82.4713,11.96843
82.6237,11.96651
82.7761,11.94932
82.9285,11.94714
83.0809,11.97132
83.2333,11.98312
83.3857,11.52572
83.5381,11.10947
83.6905,11.0569
83.8429,11.06514
83.9953,11.0657
84.1477,11.06923
84.3001,11.05938
84.4525,11.00578
84.6049,10.91378
84.7573,10.90172
84.9097,10.93438
85.0621,10.97562
85.2145,11.07359
85.3669,11.15636
85.5193,11.1443
85.6717,11.14495
85.8241,11.14895
85.9765,11.15364
86.1289,11.19438
86.2813,11.27138
86.4337,11.28071
86.5861,11.28864
86.7385,11.28934
86.8909,11.29185
87.0433,11.28471
87.1957,11.28805
87.3481,11.287
87.5005,11.29946
87.6529,11.3271
87.8053,11.42678
87.9577,11.42135
88.1101,11.43219
88.2625,11.42752
88.4149,11.42366
88.5673,11.42366
88.7197,11.42777
88.8721,11.45026
89.0245,11.47564
89.1769,11.52483
89.3293,11.53665
89.4817,11.52231
89.6341,11.52522
89.7865,11.53026
89.9389,11.57068
90.0913,11.58107
90.2437,11.58004
90.3961,11.6116
90.5485,11.67686
90.7009,11.60525
90.8533,11.60525
91.0057,11.62522
91.1581,11.72702
91.3105,11.82909
91.4629,11.85819
91.6153,11.82677
91.7677,11.81745
91.9201,11.80912
92.0725,11.81153
92.2249,11.82014
92.3773,11.76055
92.5297,11.71284
92.6821,11.65554
92.8345,11.49484
92.9869,11.45054
93.1393,11.45016
93.2917,11.45768
93.4441,11.44694
93.5965,11.44804
93.7489,11.45049
93.9013,11.42601
94.0537,11.3278
94.2061,11.22584
94.3585,11.21538
94.5109,11.1922
94.6633,11.13047
94.8157,11.0535
94.9681,11.03841
95.1205,11.04991
95.2729,11.03255
95.4253,11.07332
95.5777,11.24402
95.7301,11.38477
95.8825,11.33666
96.0349,11.317
96.1873,11.3808
96.3397,11.32985
96.4921,11.30512
96.6445,11.31318
96.7969,11.32117
96.9493,11.31074
97.1017,11.23587
97.2541,11.21114
97.4065,11.2409
97.5589,11.2049
97.7113,11.1749
97.8637,11.1596
98.0161,11.16695
98.1685,11.12546
98.3209,10.98497
98.4733,10.94326
98.6257,10.93011
98.7781,10.9315
98.9305,10.93337
99.0829,10.93011
99.2353,10.93294
99.3877,10.95793
99.5401,10.98278
99.6925,10.93689
99.8449,10.97589
99.9973,11.20055
100.1497,11.35377
100.3021,11.33561
100.4545,11.74608
100.6069,11.7886
100.7593,11.37443
100.9117,11.35821
101.0641,11.37862
101.2165,11.42594
101.3689,11.48761
101.5213,11.42523
101.6737,11.41901
101.8261,11.42682
101.9785,11.48463
102.1309,11.53963
102.2833,11.40973
102.4357,11.26185
102.5881,11.25063
102.7405,11.44018
102.8929,11.77428
103.0453,11.6056
103.1977,11.69448
103.3501,12.2454
103.5025,12.37713
103.6549,12.39712
103.8073,12.42282
103.9597,12.22581
104.1121,11.66708
104.2645,11.38768
104.4169,11.26912
104.5693,11.01791
104.7217,10.89843
104.8741,10.93983
105.0265,11.07933
105.1789,11.08085
105.3313,11.06804
105.4837,10.98738
105.6361,10.87624
105.7885,10.88436
105.9409,10.80012
106.0933,10.71128
106.2457,10.70947
106.3981,10.70662
106.5505,10.71027
106.7029,10.71227
106.8553,10.70846
107.0077,10.73907
107.1601,10.75321
107.3125,10.70567
107.4649,10.69168
107.6173,10.67391
107.7697,10.66006
107.9221,10.66006
108.0745,10.66197
108.2269,10.66472
108.3793,10.66086
108.5317,10.6616
108.6841,10.68742
108.8365,10.72494
108.9889,10.76546
109.1413,10.8089
109.2937,10.83956
109.4461,10.85562
109.5985,10.85562
109.7509,10.85562
109.9033,10.85964
110.0557,10.86088
110.2081,11.08922
110.3605,11.20146
110.5129,10.93348
110.6653,10.94332
110.8177,11.15425
110.9701,11.30609
111.1225,11.16751
111.2749,11.13256
111.4273,11.16119
111.5797,11.08131
111.7321,11.04312
111.8845,11.01939
