#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,82.6989
#BOTTOM:,331.4157
DEPTH_WMSF,LCAL
m,in
82.6989,3.391855
82.8513,3.389528
83.0037,3.387199
83.1561,3.384872
83.3085,3.391854
83.4609,3.389528
83.6133,3.394182
83.7657,3.38953
83.9181,3.389527
84.0705,3.386534
84.2229,3.384871
84.3753,3.384872
84.5277,3.405151
84.6801,3.994045
84.8325,5.011743
84.9849,5.976871
85.1373,6.941203
85.2897,7.82437
85.4421,8.601621
85.5945,9.3981
85.7469,10.30842
85.8993,11.13012
86.0517,11.25139
86.2041,11.25139
86.3565,11.25604
86.5089,11.27466
86.6613,11.28864
86.8137,11.29329
86.9661,11.30726
87.1185,11.33984
87.2709,11.32589
87.4233,11.32588
87.5757,11.33054
87.7281,11.36314
87.8805,11.3771
88.0329,11.42367
88.1853,11.5121
88.3377,11.46091
88.4901,11.45626
88.6425,11.46091
88.7949,11.47953
88.9473,11.47861
89.0997,11.47023
89.2521,11.47488
89.4045,11.49349
89.5569,11.47488
89.7093,11.49817
89.8617,11.56333
90.0141,11.85855
90.1665,11.89392
90.3189,11.88461
90.4713,11.7543
90.6237,11.72631
90.7761,11.68349
90.9285,11.62388
91.0809,11.66576
91.2333,11.82872
91.3857,11.8334
91.5381,11.82875
91.6905,11.84364
91.8429,11.83806
91.9953,11.79521
92.1477,11.68723
92.3001,11.67044
92.4525,11.66858
92.6049,11.67509
92.7573,11.66113
92.9097,11.51587
93.0621,11.4749
93.2145,11.48419
93.3669,11.48233
93.5193,11.47954
93.6717,11.47023
93.8241,11.4935
93.9765,11.47486
94.1289,11.32221
94.2813,11.1443
94.4337,11.14895
94.5861,11.12102
94.7385,11.10705
94.8909,11.09308
95.0433,11.10239
95.1957,11.06049
95.3481,11.05118
95.5005,11.15824
95.6529,11.3957
95.8053,11.25142
95.9577,11.29794
96.1101,11.25606
96.2625,11.28864
96.4149,11.3026
96.5673,11.30354
96.7197,11.31191
96.8721,11.28398
97.0245,11.27933
97.1769,11.27467
97.3293,11.21883
97.4817,11.2281
97.6341,11.13498
97.7865,11.13498
97.9389,11.1443
98.0913,11.1443
98.2437,11.13964
98.3961,11.13964
98.5485,11.07446
98.7009,10.95717
98.8533,10.94409
99.0057,10.93943
99.1581,10.95805
99.3105,10.94409
99.4629,10.96736
99.6153,10.98599
99.7677,10.98319
99.9201,10.89752
100.0725,10.8789
100.2249,11.24207
100.3773,11.1583
100.5297,11.32588
100.6821,11.38173
100.8345,11.6192
100.9869,11.37723
101.1393,11.40783
101.2917,11.4795
101.4441,11.40505
101.5965,11.40504
101.7489,11.40504
101.9013,11.3352
102.0537,11.33985
102.2061,11.55683
102.3585,11.58196
102.5109,11.23743
102.6633,11.43754
102.8157,11.65645
102.9681,11.70301
103.1205,11.81942
103.2729,11.72078
103.4253,11.41907
103.5777,11.47957
103.7301,11.71693
103.8825,12.15929
104.0349,11.6706
104.1873,11.36313
104.3397,11.23281
104.4921,11.03162
104.6445,11.02789
104.7969,11.02324
104.9493,11.01858
105.1017,11.01842
105.2541,11.01166
105.4065,10.9627
105.5589,10.84543
105.7113,10.86602
105.8637,11.08394
106.0161,11.01782
106.1685,10.88055
106.3209,10.73365
106.4733,10.7289
106.6257,10.72196
106.7781,10.71247
106.9305,10.73002
107.0829,10.74098
107.2353,10.68016
107.3877,10.68178
107.5401,10.67868
107.6925,10.67693
107.8449,10.67587
107.9973,10.68062
108.1497,10.6813
108.3021,10.67656
108.4545,10.67403
108.6069,10.68329
108.7593,10.73361
108.9117,10.78432
109.0641,10.79769
109.2165,10.79974
109.3689,10.80531
109.5213,10.8177
109.6737,10.84681
109.8261,10.87254
109.9785,10.87574
110.1309,10.9686
110.2833,11.08293
110.4357,10.96023
110.5881,10.91037
110.7405,10.90786
110.8929,11.08934
111.0453,11.09298
111.1977,11.10332
111.3501,11.03891
111.5025,11.04019
111.6549,11.03347
111.8073,11.04112
111.9597,11.02872
112.1121,11.05474
112.2645,11.07868
112.4169,10.87888
112.5693,10.85582
112.7217,10.8599
112.8741,10.73842
113.0265,10.6554
113.1789,10.65588
113.3313,10.65949
113.4837,10.6554
