#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0980
#BOTTOM:,322.4241
DEPTH_WMSF,GR,ECGR
m,gAPI,gAPI
0.0980,3.306647,3.436517
0.2504,2.544267,2.644195
0.4028,3.449506,3.584987
0.5552,3.195223,3.320718
0.7076,4.467323,4.642779
0.8600,3.307321,3.437217
1.0124,4.069999,4.229851
1.1648,4.324301,4.49414
1.3172,5.59651,5.816317
1.4696,5.34238,5.552205
1.6220,5.088656,5.288516
1.7744,5.453551,5.667742
1.9268,4.943829,5.138
2.0792,4.688091,4.872219
2.2316,5.594472,5.814198
2.3840,6.868048,7.137794
2.5364,7.885814,8.195534
2.6888,6.61329,6.873031
2.8412,5.087594,5.287412
2.9936,4.466492,4.641916
3.1460,3.450267,3.585778
3.2984,4.468262,4.643755
3.4508,4.325768,4.495665
3.6032,5.341312,5.551095
3.7556,5.339453,5.549162
3.9080,5.244389,5.450365
4.0604,4.229248,4.395354
4.2128,3.974383,4.130479
4.3652,4.832684,5.02249
4.5176,6.358381,6.608109
4.6700,6.613174,6.87291
4.8224,5.087859,5.287687
4.9748,5.088362,5.28821
5.1272,5.849396,6.079134
5.2796,7.469239,7.762597
5.4320,7.722533,8.02584
5.5844,7.471116,7.764548
5.7368,8.646855,8.986465
5.8892,7.12158,7.401283
6.0416,5.850105,6.079871
6.1940,3.815742,3.965607
6.3464,4.5783,4.758114
6.4988,4.499097,4.675801
6.6512,5.773194,5.999939
6.8036,6.279475,6.526105
6.9560,5.849788,6.079541
7.1084,5.594097,5.813807
7.2608,4.83317,5.022996
7.4132,5.02391,5.221227
7.5656,4.006632,4.163995
7.7180,3.243356,3.370741
7.8704,4.324027,4.493855
8.0228,3.816361,3.966251
8.1752,4.325025,4.494893
8.3276,4.831414,5.02117
8.4800,4.576241,4.755976
8.6324,4.830539,5.02026
8.7848,2.528586,2.627898
8.9372,3.036719,3.155988
9.0896,2.527712,2.626989
9.2420,4.323936,4.493761
9.3944,3.561416,3.701292
9.5468,3.816476,3.96637
9.6992,3.053822,3.173762
9.8516,5.593582,5.813272
10.0040,6.4675,6.721514
10.1564,6.213217,6.457244
10.3088,4.180501,4.344693
10.4612,3.561223,3.701092
10.6136,4.324158,4.493992
10.7660,5.086626,5.286406
10.9184,5.086963,5.286756
11.0708,5.086963,5.286756
11.2232,3.816315,3.966203
11.3756,3.814621,3.964442
11.5280,3.226156,3.352865
11.6804,3.480017,3.616697
11.8328,2.973048,3.089816
11.9852,3.307214,3.437106
12.1376,4.323456,4.493262
12.2900,4.578131,4.75794
12.4424,3.561,3.70086
12.5948,3.052084,3.171957
12.7472,2.734436,2.841833
12.8996,3.587918,3.728835
13.0520,3.985489,4.142021
13.2044,5.573941,5.792861
13.3568,5.229458,5.434848
13.5092,5.340063,5.549796
13.6616,3.053279,3.173198
13.8140,3.560471,3.70031
13.9664,3.815053,3.964891
14.1188,5.596049,5.815837
14.2712,4.785563,4.973518
14.4236,4.278776,4.446826
14.5760,4.021396,4.179338
14.7284,5.339613,5.549329
14.8808,5.593822,5.813522
15.0332,4.324316,4.494156
15.1856,4.832113,5.021897
15.3380,4.577944,4.757745
15.4904,5.086474,5.286248
15.6428,3.56197,3.701869
15.7952,2.273532,2.362826
15.9476,2.782797,2.892093
16.1000,3.544377,3.683584
16.2524,5.341198,5.550976
16.4048,4.32305,4.49284
16.5572,4.32442,4.494264
16.7096,4.070145,4.230002
16.8620,4.832753,5.022562
17.0144,3.815788,3.965655
17.1668,4.322816,4.492597
17.3192,4.832906,5.02272
17.4716,6.216631,6.460793
17.6240,4.691954,4.876233
17.7764,4.944392,5.138585
17.9288,4.832875,5.022688
18.0812,6.866502,7.136187
18.2336,7.121595,7.4013
