#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0229
#BOTTOM:,323.1109
DEPTH_WMSF,GR,ECGR
m,gAPI,gAPI
0.0229,3.051968,3.171835
0.1753,2.289119,2.379025
0.3277,2.796563,2.906399
0.4801,3.051353,3.171197
0.6325,3.051775,3.171635
0.7849,3.816764,3.96667
0.9373,5.088178,5.288018
1.0897,6.358516,6.60825
1.2421,5.515899,5.732539
1.3945,4.243861,4.410541
1.5469,3.990467,4.147195
1.6993,5.342297,5.552118
1.8517,5.595817,5.815596
2.0041,5.850237,6.080008
2.1565,5.850237,6.080008
2.3089,6.104502,6.344259
2.4613,6.102726,6.342414
2.6137,4.831502,5.021263
2.7661,5.59598,5.815765
2.9185,6.614944,6.87475
3.0709,8.392612,8.722237
3.2233,6.612637,6.872351
3.3757,5.2445,5.45048
3.5281,4.101274,4.262354
3.6805,5.722161,5.946902
3.8329,5.055026,5.253565
3.9853,3.655664,3.799242
4.1377,2.289489,2.37941
4.2901,3.307212,3.437104
4.4425,5.33919,5.54889
4.5949,5.847566,6.077232
4.7473,4.830383,5.020099
4.8997,4.578714,4.758545
5.0521,5.437619,5.651185
5.2045,5.945802,6.179327
5.3569,6.199777,6.443276
5.5093,5.08725,5.287055
5.6617,6.613541,6.873291
5.8141,6.612271,6.871971
5.9665,7.37583,7.66552
6.1189,6.3587,6.608441
6.2713,6.86857,7.138337
6.4237,6.867554,7.137281
6.5761,7.119884,7.39952
6.7285,6.866276,7.135952
6.8809,8.394673,8.724379
7.0333,8.396423,8.726198
7.1857,7.744288,8.04845
7.3381,5.96059,6.194695
7.4905,5.197742,5.401886
7.6429,4.83285,5.022663
7.7953,5.849473,6.079215
7.9477,8.139506,8.459189
8.1001,9.665203,10.04481
8.2525,9.156593,9.516224
8.4049,7.122331,7.402064
8.5573,5.340219,5.549959
8.7097,4.577582,4.757369
8.8621,4.720152,4.905539
9.0145,4.012919,4.170529
9.1669,3.917968,4.071848
9.3193,2.757974,2.866295
9.4717,3.4649,3.600986
9.6241,5.341908,5.551715
9.7765,6.867606,7.137334
9.9289,7.630424,7.930113
10.0813,6.866306,7.135984
10.2337,6.611897,6.871583
10.3861,7.375395,7.665067
10.5385,6.104137,6.34388
10.6909,6.230475,6.475181
10.8433,5.466559,5.681261
10.9957,6.232146,6.476916
11.1481,6.61519,6.875004
11.3005,6.361471,6.611321
11.4529,7.884373,8.194036
11.6053,6.865701,7.135355
11.7577,6.612434,6.872141
11.9101,3.815829,3.965697
12.0625,5.341525,5.551316
12.2149,5.70737,5.93153
12.3673,7.996354,8.310414
12.5197,6.978323,7.2524
12.6721,5.848516,6.07822
12.8245,3.559709,3.699519
12.9769,4.070715,4.230595
13.1293,4.579789,4.759663
13.2817,6.106623,6.346464
13.4341,6.358492,6.608226
13.5865,6.358149,6.607869
13.7389,5.086735,5.28652
13.8913,5.340741,5.550502
14.0437,5.006697,5.203338
14.1961,8.059257,8.375789
14.3485,7.551993,7.848601
14.5009,7.63096,7.930671
14.6533,6.104279,6.344028
14.8057,5.08531,5.285038
14.9581,5.850421,6.0802
15.1105,6.614922,6.874727
15.2629,6.616004,6.875851
15.4153,6.011378,6.247478
15.5677,4.737049,4.9231
15.7201,6.009098,6.245108
15.8725,6.104209,6.343956
16.0249,5.341742,5.551541
16.1773,4.323968,4.493794
16.3297,4.069514,4.229346
16.4821,5.087232,5.287036
16.6345,5.59519,5.814943
16.7869,6.103508,6.343226
16.9393,6.867088,7.136797
17.0917,7.93214,8.243679
17.2441,7.242759,7.527223
17.3965,5.144688,5.346748
17.5489,3.825178,3.975414
17.7013,5.53161,5.748867
17.8537,7.122286,7.402018
18.0061,8.13891,8.45857
18.1585,7.375844,7.665534
18.3109,6.612417,6.872123
18.4633,7.628865,7.928493
18.6157,6.611222,6.870882
18.7681,6.255799,6.501499
18.9205,4.237745,4.404185
19.0729,4.993896,5.190034
19.2253,5.097646,5.297859
19.3777,5.331511,5.540909
19.5301,5.202868,5.407214
19.6825,7.139255,7.419653
19.8349,7.356776,7.645717
19.9873,7.031928,7.30811
20.1397,6.104757,6.344525
20.2921,6.104757,6.344525
20.4445,6.073561,6.312104
20.5969,5.915407,6.147738
20.7493,6.603542,6.862899
20.9017,8.164744,8.485419
21.0541,8.270369,8.595191
21.2065,6.356703,6.606366
21.3589,4.975184,5.170587
21.5113,4.441067,4.615492
21.6637,5.180468,5.383934
21.8161,4.800302,4.988836
21.9685,4.022437,4.18042
22.1209,4.454974,4.629946
22.2733,4.80727,4.996078
22.4257,5.135994,5.337713
22.5781,4.057828,4.217201
22.7305,3.846568,3.997644
22.8829,3.92662,4.080841
23.0353,4.290483,4.458994
23.1877,4.957956,5.152682
23.3401,4.843913,5.034161
23.4925,5.325304,5.534458
23.6449,5.380554,5.591878
23.7973,5.158361,5.360958
23.9497,4.225396,4.39135
24.1021,3.715195,3.861111
24.2545,4.498423,4.6751
24.4069,5.112914,5.313726
24.5593,5.054963,5.2535
24.7117,5.754767,5.980788
24.8641,6.529388,6.785834
25.0165,7.214781,7.498146
25.1689,6.600722,6.859969
25.3213,5.941032,6.174369
25.4737,5.371194,5.582151
25.6261,5.184907,5.388547
25.7785,5.00042,5.196814
25.9309,4.393359,4.56591
26.0833,4.191398,4.356017
26.2357,4.942644,5.136769
26.3881,5.907243,6.139253
26.5405,5.86728,6.097721
26.6929,4.675831,4.859477
26.8453,3.833967,3.984548
26.9977,3.812104,3.961826
27.1501,4.19554,4.360322
27.3025,4.619233,4.800656
27.4549,4.995213,5.191402
27.6073,4.98459,5.180362
27.7597,5.304072,5.512392
27.9121,5.449585,5.66362
28.0645,5.563423,5.781929
28.2169,5.376075,5.587224
28.3693,5.505938,5.722186
28.5217,7.116008,7.395493
28.6741,7.098021,7.376799
28.8265,6.375138,6.625525
28.9789,4.640245,4.822493
29.1313,5.462303,5.676838
29.2837,5.425909,5.639014
29.4361,5.789094,6.016464
29.5885,5.225992,5.431245
29.7409,5.755455,5.981503
29.8933,6.530392,6.786877
30.0457,5.714901,5.939357
30.1981,6.458526,6.712188
30.3505,6.67611,6.938317
30.5029,7.572702,7.870123
30.6553,6.929438,7.201595
30.8077,6.583833,6.842416
30.9601,6.870178,7.140008
31.1125,6.91566,7.187276
31.2649,6.700603,6.963773
31.4173,5.591869,5.811493
31.5697,5.923227,6.155865
31.7221,4.626191,4.807887
31.8745,3.855275,4.006692
32.0269,2.448143,2.544295
32.1793,3.86277,4.014482
32.3317,6.014578,6.250803
32.4841,6.059722,6.297721
32.6365,5.24483,5.450824
32.7889,4.074234,4.234251
32.9413,5.72834,5.953323
33.0937,6.020803,6.257273
33.2461,7.550356,7.8469
33.3985,5.932878,6.165895
33.5509,5.36073,5.571276
33.7033,3.848375,3.999522
33.8557,5.206422,5.410907
34.0081,5.804846,6.032835
34.1605,7.210361,7.493552
34.3129,7.300857,7.587602
34.4653,7.784359,8.090094
34.6177,6.789403,7.056061
34.7701,5.883308,6.114378
34.9225,4.825048,5.014555
35.0749,4.714111,4.899261
35.2273,4.222294,4.388127
35.3797,4.245593,4.412341
35.5321,4.491561,4.66797
35.6845,5.361552,5.57213
35.8369,6.342084,6.591173
35.9893,5.868912,6.099417
36.1417,4.8607,5.051607
36.2941,4.406194,4.579249
36.4465,4.6326,4.814548
36.5989,5.989009,6.224231
36.7513,5.849224,6.078955
36.9037,5.514944,5.731546
37.0561,5.636964,5.858359
37.2085,6.05109,6.28875
37.3609,5.576982,5.796021
37.5133,4.357198,4.528329
37.6657,4.45704,4.632092
37.8181,5.673046,5.895858
37.9705,6.732798,6.997232
38.1229,6.737867,7.0025
38.2753,6.043377,6.280734
38.4277,5.311679,5.520298
38.5801,5.546543,5.764386
38.7325,5.891751,6.123153
38.8849,5.624967,5.845891
39.0373,5.288219,5.495917
39.1897,6.255669,6.501364
39.3421,7.845726,8.153871
39.4945,8.368593,8.697274
39.6469,7.683502,7.985275
39.7993,7.123744,7.403533
39.9517,7.39408,7.684486
40.1041,8.108285,8.426743
40.2565,7.853621,8.162076
40.4089,7.058066,7.335276
40.5613,6.043463,6.280823
40.7137,5.149654,5.351909
40.8661,5.308814,5.51732
41.0185,6.104557,6.344316
41.1709,6.969625,7.243361
41.3233,7.50811,7.802994
41.4757,7.286579,7.572763
41.6281,6.911072,7.182508
41.7805,6.062841,6.300962
41.9329,5.436963,5.650502
42.0853,5.37218,5.583174
42.2377,5.488305,5.703861
42.3901,6.109859,6.349827
42.5425,6.264964,6.511023
42.6949,5.676083,5.899014
42.8473,4.960138,5.15495
42.9997,5.118204,5.319224
43.1521,5.825589,6.054392
43.3045,5.872695,6.103349
43.4569,5.461919,5.676438
43.6093,4.799006,4.987489
43.7617,4.336057,4.506357
43.9141,4.4788,4.654707
44.0665,5.20557,5.410022
44.2189,5.709727,5.93398
44.3713,5.756765,5.982865
44.5237,5.686513,5.909854
44.6761,5.529664,5.746844
44.8285,5.009508,5.20626
44.9809,4.204741,4.369884
45.1333,3.901549,4.054784
45.2857,4.275138,4.443046
45.4381,5.12093,5.322057
45.5905,5.877675,6.108523
45.7429,5.845613,6.075202
45.8953,5.516634,5.733302
46.0477,5.231828,5.437311
46.2001,5.259214,5.465773
46.3525,5.400943,5.613068
46.5049,4.951584,5.14606
46.6573,5.084419,5.284112
46.8097,4.952945,5.147474
46.9621,4.979569,5.175145
47.1145,4.444307,4.61886
47.2669,3.386496,3.519502
47.4193,3.503744,3.641356
47.5717,4.029788,4.18806
47.7241,4.554322,4.733195
47.8765,4.626398,4.808102
48.0289,4.792042,4.980252
