#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,82.6989
#BOTTOM:,323.0337
DEPTH_WMSF,GR,ECGR
m,gAPI,gAPI
82.6989,31.56626,24.85807
82.8513,31.56626,24.85807
83.0037,31.56626,24.85807
83.1561,35.69623,28.11037
83.3085,32.03321,25.22578
83.4609,30.6846,24.16377
83.6133,26.86423,21.15527
83.7657,29.01334,22.84767
83.9181,33.07746,26.04812
84.0705,35.37267,27.85556
84.2229,37.12136,29.23264
84.3753,39.1636,30.84088
84.5277,40.44124,31.84701
84.6801,41.71951,33.47936
84.8325,36.96986,31.20152
84.9849,36.19259,31.97073
85.1373,32.89419,30.34658
85.2897,34.33699,32.90144
85.4421,34.34301,33.97369
85.5945,33.41851,34.10955
85.7469,30.61731,32.33225
85.8993,31.11204,33.82749
86.0517,32.00972,34.94944
86.2041,34.31581,37.4673
86.3565,34.83109,38.03599
86.5089,33.58704,36.70094
86.6613,36.20933,39.58532
86.8137,33.0348,36.12057
86.9661,34.55966,37.80597
87.1185,32.43374,35.51992
87.2709,33.06588,36.19494
87.4233,35.70035,39.07871
87.5757,36.70651,40.18649
87.7281,37.27029,40.84918
87.8805,35.40438,38.82259
88.0329,34.39307,37.77352
88.1853,33.4393,36.83631
88.3377,32.4101,35.64069
88.4901,34.30377,37.71717
88.6425,35.73575,39.29783
88.7949,37.06405,40.78428
88.9473,34.44205,37.89791
89.0997,33.48336,36.83257
89.2521,33.94016,37.34095
89.4045,33.13828,36.48172
89.5569,32.66105,35.93368
89.7093,33.68586,37.09043
89.8617,36.40058,40.16784
90.0141,38.57581,42.99007
90.1665,36.99823,41.2802
90.3189,31.99847,35.69083
90.4713,31.01636,34.44613
90.6237,28.51712,31.64099
90.7761,30.17147,33.42869
90.9285,29.6344,32.76809
91.0809,30.4581,33.72623
91.2333,32.62294,36.3201
91.3857,33.63202,37.44934
91.5381,37.37965,41.61592
91.6905,36.62202,40.79256
91.8429,32.81766,36.54819
91.9953,26.71409,29.70853
92.1477,24.83527,27.51986
92.3001,28.6461,31.72478
92.4525,30.17104,33.41153
92.6049,30.77382,34.08648
92.7573,28.86721,31.95969
92.9097,28.87118,31.80817
93.0621,31.36311,34.5057
93.2145,34.03751,37.45987
93.3669,32.95117,36.26202
93.5193,31.72411,34.90836
93.6717,31.91798,35.11061
93.8241,35.55376,39.14092
93.9765,36.54283,40.20438
94.1289,35.10704,38.42442
94.2813,35.10041,38.18269
94.4337,33.60947,36.56671
94.5861,31.54028,34.28229
94.7385,31.72786,34.46949
94.8909,34.01729,36.93885
95.0433,36.05602,39.16531
95.1957,34.07849,36.96342
95.3481,32.08923,34.79448
95.5005,33.87482,36.86726
95.6529,31.34222,34.39004
95.8053,34.67885,37.86374
95.9577,34.16497,37.36227
96.1101,37.72493,41.19612
96.2625,36.12369,39.4917
96.4149,34.59267,37.83603
96.5673,34.35078,37.57267
96.7197,34.0965,37.30524
96.8721,34.86197,38.10625
97.0245,35.09423,38.354
97.1769,32.90272,35.95318
97.3293,34.93922,38.10526
97.4817,33.42334,36.46366
97.6341,35.36002,38.4527
97.7865,31.89291,34.68235
97.9389,31.88697,34.68707
98.0913,31.37841,34.13385
98.2437,29.75907,32.36709
98.3961,31.79231,34.57853
98.5485,31.06995,33.71656
98.7009,37.93541,40.99879
98.8533,33.87851,36.59752
99.0057,33.32458,35.99327
99.1581,28.79092,31.11682
99.3105,32.85424,35.49105
99.4629,35.40506,38.27777
99.6153,34.59265,37.4238
99.7677,35.86406,38.79548
99.9201,33.39735,36.01887
100.0725,32.63945,35.17846
100.2249,32.88017,35.88832
100.3773,33.83874,36.82805
100.5297,34.60723,37.88214
100.6821,30.54759,33.50218
100.8345,30.27301,33.46897
100.9869,33.0649,36.25739
101.1393,34.38783,37.7474
101.2917,34.38803,37.83961
101.4441,35.39853,38.85316
101.5965,33.82776,37.12909
101.7489,36.36386,39.91269
101.9013,33.56788,36.75615
102.0537,36.0919,39.52618
102.2061,38.14238,42.08068
102.3585,38.41522,42.4176
102.5109,43.01308,46.94078
102.6633,40.96453,45.01207
102.8157,42.39998,46.93483
102.9681,40.35892,44.74514
103.1205,37.05799,41.24504
103.2729,36.37144,40.34825
103.4253,33.81596,37.13387
103.5777,34.05412,37.47229
103.7301,33.54805,37.21137
103.8825,38.15414,42.94145
104.0349,40.45829,44.8067
104.1873,43.07641,47.21283
104.3397,40.77974,44.49644
104.4921,44.58632,48.31223
104.6445,45.77806,49.59711
104.7969,42.72619,46.28313
104.9493,36.08255,39.08006
105.1017,33.35277,36.12331
105.2541,34.46292,37.31666
105.4065,36.86092,39.84529
105.5589,36.99649,39.82737
105.7113,40.48938,43.62333
105.8637,44.5342,48.34325
106.0161,45.98701,49.80579
106.1685,46.13735,49.72964
106.3209,45.07258,48.33026
106.4733,41.55714,44.55327
106.6257,36.61619,39.24702
106.7781,31.46742,33.7164
106.9305,33.18933,35.58389
107.0829,35.93425,38.53671
107.2353,41.30364,44.20481
107.3877,44.0745,47.17278
107.5401,46.75225,50.03342
107.6925,46.92264,50.21265
107.8449,45.99097,49.21372
107.9973,43.64907,46.71553
108.1497,41.90278,44.84776
108.3021,41.7392,44.66519
108.4545,42.28661,45.24686
108.6069,43.71791,46.79388
108.7593,45.15834,48.42376
108.9117,43.63694,46.87374
109.0641,40.09746,43.09297
109.2165,36.43792,39.16298
109.3689,33.94404,36.4897
109.5213,32.15646,34.58296
109.6737,32.67603,35.17882
109.8261,34.63143,37.31731
109.9785,34.03092,36.67415
110.1309,29.45082,31.83557
110.2833,30.10329,32.67973
110.4357,33.47503,36.17705
110.5881,35.4949,38.29839
110.7405,33.88074,36.55356
110.8929,31.4881,34.18471
111.0453,29.15244,31.65671
111.1977,27.02766,29.35911
111.3501,26.26769,28.47018
111.5025,28.53234,30.92605
111.6549,33.90025,36.73535
111.8073,36.32627,39.375
111.9597,42.59972,46.15475
112.1121,39.31791,42.6377
112.2645,37.41564,40.60872
112.4169,34.22538,36.88773
112.5693,36.58432,39.3982
112.7217,40.00756,43.09003
112.8741,44.67136,47.90755
113.0265,47.03191,50.29098
113.1789,46.78565,50.02852
113.3313,47.10992,50.38176
113.4837,46.44495,49.66335
113.6361,47.67031,50.97905
113.7885,47.55777,50.90662
113.9409,50.77373,54.43612
114.0933,51.7165,55.4485
114.2457,49.2795,52.84721
114.3981,44.6208,47.89414
114.5505,45.1226,48.50841
114.7029,45.08155,48.49533
114.8553,44.53679,47.91234
115.0077,41.68585,44.84023
115.1601,42.17509,45.3783
115.3125,46.34734,49.90944
115.4649,48.85709,52.65255
115.6173,50.03862,53.93613
115.7697,46.29356,49.91181
115.9221,43.93737,47.34862
116.0745,44.10059,47.46885
116.2269,47.03144,50.6352
116.3793,48.94255,52.72678
116.5317,49.71777,53.60218
116.6841,49.65277,53.59213
116.8365,48.56932,52.53056
116.9889,45.9844,49.87467
117.1413,44.19878,48.00009
117.2937,43.64811,47.47734
117.4461,42.04501,45.76166
117.5985,42.77153,46.52111
117.7509,44.19136,47.83227
117.9033,49.38668,53.47087
118.0557,47.81786,51.74949
118.2081,46.56583,50.43346
118.3605,39.05833,42.32187
118.5129,39.25655,42.51793
118.6653,38.20713,41.46096
118.8177,40.13567,43.64981
118.9701,39.84485,43.35189
119.1225,38.74424,42.17115
119.2749,39.30291,42.83681
119.4273,38.19616,41.64043
119.5797,40.21509,43.91979
119.7321,42.13967,46.16102
119.8845,42.55775,46.7728
120.0369,44.56852,49.13999
120.1893,48.41498,53.56632
120.3417,50.42931,55.86666
120.4941,46.5569,51.67837
120.6465,41.83023,46.50457
120.7989,41.17141,45.85586
120.9513,44.13966,49.23499
121.1037,40.39739,45.1005
121.2561,37.71096,42.0941
121.4085,40.02312,44.42469
121.5609,39.77116,43.96255
121.7133,39.52957,43.6481
121.8657,35.75217,39.42811
122.0181,36.69419,40.44769
122.1705,34.40588,37.91919
122.3229,32.96812,36.07563
122.4753,33.17408,35.97467
122.6277,35.65745,38.44277
122.7801,36.05527,38.57988
122.9325,34.93883,37.3032
123.0849,35.28222,37.67019
123.2373,32.91706,35.14544
123.3897,35.1328,37.51683
123.5421,34.13321,36.43392
123.6945,36.55725,39.07658
123.8469,34.93751,37.52802
123.9993,34.86165,37.40081
124.1517,34.64549,37.1568
124.3041,36.72987,39.38123
124.4565,39.39438,42.23596
124.6089,38.60999,41.40613
124.7613,37.09966,39.77829
124.9137,32.21752,34.53789
125.0661,29.47115,31.61234
125.2185,28.05261,30.10367
125.3709,30.2926,32.48434
125.5233,33.75099,36.24164
125.6757,33.71434,36.0435
125.8281,32.48537,34.67725
125.9805,28.80648,30.74714
126.1329,26.90515,28.86752
126.2853,26.27901,28.49752
126.4377,27.81514,29.89401
126.5901,28.17702,30.16038
126.7425,28.92163,31.0133
126.8949,31.85198,34.17772
127.0473,34.48303,37.00922
127.1997,32.98788,35.41196
127.3521,31.18239,33.47224
127.5045,30.78303,33.10784
127.6569,29.80574,31.94484
127.8093,27.82727,29.7314
127.9617,28.42286,30.36534
128.1141,30.41023,32.49651
128.2665,32.68246,34.94002
128.4189,32.9621,35.24621
128.5713,33.52113,35.84397
128.7237,33.5756,35.91281
128.8761,33.82549,36.18455
129.0285,36.08184,38.58767
129.1809,37.8009,40.43195
129.3333,36.94357,39.59436
129.4857,36.38466,39.05391
129.6381,37.1332,39.84708
129.7905,37.5162,40.20154
129.9429,37.02691,39.61478
130.0953,35.52364,38.00536
130.2477,35.55001,38.10609
130.4001,36.03919,38.69618
130.5525,35.12384,37.72451
130.7049,33.95845,36.50615
130.8573,33.72301,36.31754
131.0097,35.73386,38.55458
131.1621,37.95201,40.96925
131.3145,38.08653,41.1422
131.4669,36.32379,39.31013
131.6193,35.44836,38.37844
131.7717,33.7683,36.46746
131.9241,33.61911,36.15113
132.0765,32.44624,34.87256
132.2289,31.72578,34.10405
132.3813,31.25307,33.59956
132.5337,31.75497,34.13868
132.6861,34.61525,37.19585
132.8385,35.37684,38.01425
132.9909,34.54773,37.11966
133.1433,35.01601,37.54237
133.2957,37.65524,40.2523
133.4481,36.89942,39.41739
133.6005,35.70129,38.10295
133.7529,34.96276,37.31099
133.9053,40.18131,42.88004
134.0577,42.05054,44.87305
134.2101,41.03597,43.7893
134.3625,36.99117,39.48603
134.5149,35.71032,38.11263
134.6673,35.60329,38.02145
134.8197,37.69188,40.29086
134.9721,37.98944,40.63051
135.1245,37.82416,40.41161
135.2769,34.42226,36.7743
135.4293,31.03683,33.14494
135.5817,28.63671,30.58899
135.7341,31.80862,33.97216
135.8865,32.6125,34.86374
136.0389,33.78808,36.14735
136.1913,33.71737,36.12383
136.3437,38.59647,41.37961
136.4961,38.00147,40.66226
136.6485,34.23495,36.56596
136.8009,31.06906,33.19915
136.9533,33.22636,35.49151
137.1057,37.53436,40.0604
137.2581,38.30862,40.85434
137.4105,40.46911,43.15855
137.5629,37.94009,40.46663
137.7153,36.29086,38.70249
137.8677,35.20988,37.54967
138.0201,34.09924,36.37123
138.1725,38.99435,41.59666
138.3249,35.74339,38.14974
138.4773,35.43408,37.82632
138.6297,32.8231,35.22153
138.7821,34.7156,37.32662
138.9345,34.20992,36.74137
139.0869,34.70694,37.10106
139.2393,33.23373,35.52919
139.3917,37.96993,40.63757
139.5441,38.35168,41.32956
139.6965,39.60519,42.41478
139.8489,38.19333,41.02628
140.0013,38.51013,41.47884
140.1537,38.79219,41.78436
140.3061,37.84693,40.7643
140.4585,37.62212,40.51658
140.6109,35.63258,38.40395
140.7633,35.0325,37.79928
140.9157,33.75143,36.42455
141.0681,35.57019,38.38736
141.2205,36.84756,39.78141
141.3729,37.04081,40.12662
141.5253,36.29757,39.51897
141.6777,37.89469,41.31374
141.8301,36.74007,40.08406
141.9825,35.46923,38.69398
142.1349,36.2976,39.34211
142.2873,39.66794,42.88485
142.4397,42.50086,45.88185
142.5921,42.09742,45.3358
142.7445,40.33008,43.39125
142.8969,42.56342,45.8022
143.0493,43.49747,46.83717
143.2017,42.18944,45.46038
143.3541,41.0575,44.24683
143.5065,42.62417,45.92765
143.6589,47.30224,50.97553
143.8113,48.87152,52.71237
143.9637,45.75696,49.38955
144.1161,41.26185,44.59292
144.2685,37.76274,40.88708
144.4209,37.55226,40.72266
144.5733,40.1912,43.61839
144.7257,41.43236,44.97781
144.8781,41.95303,45.57194
145.0305,42.73755,46.55658
145.1829,44.04628,48.15407
145.3353,46.2349,50.49936
145.4877,46.38517,50.54775
145.6401,46.64486,50.83075
145.7925,44.41005,48.39804
145.9449,41.64243,45.37461
146.0973,41.28748,44.94399
146.2497,43.56433,47.35817
146.4021,45.11588,48.95925
146.5545,45.52768,49.31769
146.7069,41.78759,45.28751
146.8593,41.32941,45.09717
147.0117,40.25642,44.34033
147.1641,42.89788,47.31676
147.3165,40.83216,44.97772
147.4689,39.84371,43.38704
147.6213,39.611,43.20554
