#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,60.3733
#BOTTOM:,332.4073
DEPTH_WMSF,DRH,NRHB,PEFL,RHL,RHOM
m,g/cm3,g/cm3,barns/e-,g/cm3,g/cm3
60.3733,0.1607729,2.144627,2.579878,1.983854,2.144627
60.5257,0.1316497,2.112763,2.537086,1.981113,2.112763
60.6781,0.1166379,2.120273,2.407383,2.003636,2.120273
60.8305,0.09885747,2.113496,2.509804,2.014638,2.113496
60.9829,0.0978132,2.107867,2.7422,2.010054,2.107867
61.1353,0.1037562,2.110779,3.019067,2.007023,2.110779
61.2877,0.09890555,2.121309,3.24873,2.022403,2.121309
61.4401,0.09482387,2.140563,3.237955,2.04574,2.140563
61.5925,0.09225911,2.166647,3.202942,2.074388,2.166647
61.7449,0.07753447,2.154721,3.160086,2.077187,2.154721
61.8973,0.06358138,2.134235,2.913944,2.070654,2.134235
62.0497,0.0575005,2.092029,2.357374,2.034528,2.092029
62.2021,0.05500475,2.024936,1.914896,1.969932,2.024936
62.3545,0.05341839,1.964542,1.85951,1.911124,1.964542
62.5069,0.06542166,1.890662,2.049256,1.825241,1.890662
62.6593,0.07783571,1.743387,2.017223,1.665551,1.743387
62.8117,0.09327394,1.62735,1.962966,1.534076,1.62735
62.9641,0.1085332,1.562109,1.869912,1.453576,1.562109
63.1165,0.1478135,1.589404,1.879212,1.441591,1.589404
63.2689,0.1862637,1.634668,1.804387,1.448404,1.634668
63.4213,0.1918212,1.670928,1.689731,1.479107,1.670928
63.5737,0.1992836,1.746975,1.553836,1.547692,1.746975
63.7261,0.191747,1.86833,1.64948,1.676583,1.86833
63.8785,0.2491663,2.056396,2.034293,1.80723,2.056396
64.0309,0.2959793,2.157124,2.545399,1.861144,2.157124
64.1833,0.2354262,1.939045,2.477415,1.703619,1.939045
64.3357,0.216967,1.760062,2.373119,1.543095,1.760062
64.4881,0.2668341,1.719081,2.213793,1.452247,1.719081
64.6405,0.282606,1.715233,2.192661,1.432627,1.715233
64.7929,0.2605669,1.70362,2.184283,1.443053,1.70362
64.9453,0.2443102,1.687035,2.163007,1.442725,1.687035
65.0977,0.2359924,1.688097,2.007667,1.452104,1.688097
65.2501,0.2380326,1.746229,1.85772,1.508196,1.746229
65.4025,0.1773054,1.816577,1.767921,1.639272,1.816577
65.5549,0.1469186,2.004385,2.01788,1.857466,2.004385
65.7073,0.1391343,2.220272,2.340738,2.081138,2.220272
65.8597,0.09189112,2.285234,2.528312,2.193343,2.285234
66.0121,0.01621159,2.206221,2.69932,2.190167,2.206378
66.1645,-0.002137459,2.167519,2.857042,2.179589,2.177451
66.3169,0.0003441671,2.176312,3.092174,2.180712,2.181056
66.4693,0.001683164,2.182719,3.257723,2.15449,2.156173
66.6217,0.006988711,2.148613,3.469771,2.140537,2.147526
66.7741,0.01193339,2.137224,3.574172,2.125275,2.137208
66.9265,0.02533291,2.15528,3.549585,2.129947,2.15528
67.0789,0.03789563,2.167252,3.572816,2.129356,2.167252
67.2313,0.04264914,2.169856,3.315176,2.127207,2.169856
67.3837,0.04461257,2.166011,3.237013,2.121399,2.166011
67.5361,0.06192071,2.149819,2.957055,2.087899,2.149819
67.6885,0.0603225,2.125557,2.861064,2.065235,2.125557
67.8409,0.05931734,2.109838,2.687169,2.050521,2.109838
67.9933,0.07327311,2.13253,2.736912,2.059257,2.13253
68.1457,0.08377377,2.152226,2.727166,2.068452,2.152226
68.2981,0.06929435,2.142041,2.839839,2.072747,2.142041
68.4505,0.06716868,2.13504,2.849224,2.067871,2.13504
68.6029,0.06005144,2.112457,2.954694,2.052406,2.112457
68.7553,0.05210973,2.095399,2.924605,2.043289,2.095399
68.9077,0.04323686,2.094397,2.963844,2.05116,2.094397
69.0601,0.0362731,2.102288,2.90713,2.066015,2.102288
69.2125,0.03179948,2.1107,2.711321,2.078901,2.1107
69.3649,0.03038611,2.112993,2.520036,2.082607,2.112993
69.5173,0.02649852,2.106483,2.491772,2.079985,2.106483
69.6697,0.02647329,2.104492,2.580917,2.078019,2.104492
