#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,84.3753
#BOTTOM:,332.3301
DEPTH_WMSF,RHOM,DRH,PEFL,NRHB
m,g/cm3,g/cm3,barns/e-,g/cm3
84.3753,1.373118,0.0648903,1.71862,1.373118
84.5277,1.305921,0.05851664,1.694441,1.305921
84.6801,1.417119,0.1020279,1.665331,1.417119
84.8325,1.645102,0.1457451,1.620701,1.645102
84.9849,2.066039,0.2492273,1.782766,2.066039
85.1373,2.31016,0.3124535,2.089111,2.31016
85.2897,2.382551,0.2850999,2.43731,2.382551
85.4421,2.326654,0.1626981,2.839594,2.326654
85.5945,2.30683,0.1113526,2.966452,2.30683
85.7469,2.294347,0.08691066,3.111371,2.294347
85.8993,2.263957,0.07352482,2.933967,2.263957
86.0517,2.264991,0.07689709,2.983264,2.264991
86.2041,2.262578,0.07988545,2.885034,2.262578
86.3565,2.261851,0.06497934,3.11758,2.261851
86.5089,2.261791,0.05433917,3.163022,2.261791
86.6613,2.247268,0.03465773,3.371058,2.247268
86.8137,2.21508,0.01891446,3.328664,2.21508
86.9661,2.181785,0.007679068,3.232849,2.18252
87.1185,2.183044,0.01613496,3.204768,2.183045
87.2709,2.186021,0.01991664,3.112566,2.186021
87.4233,2.194625,0.03319593,3.093396,2.194625
87.5757,2.179119,0.02943753,2.79541,2.179119
87.7281,2.190733,0.03466022,2.934861,2.190733
87.8805,2.217432,0.08875521,3.120137,2.217432
88.0329,2.174511,0.08169957,3.092427,2.174511
88.1853,2.095695,0.05306328,2.984834,2.095695
88.3377,2.096811,0.08735108,2.594943,2.096811
88.4901,2.084402,0.08412576,2.501899,2.084402
88.6425,2.027283,0.02980546,2.296506,2.027283
88.7949,2.043188,0.0285028,2.429737,2.043188
88.9473,2.048725,0.03586143,2.416978,2.048725
89.0997,2.034607,0.01073825,2.394939,2.034607
89.2521,2.086249,0.03685145,2.439626,2.086249
89.4045,2.132035,0.04543794,2.819431,2.132035
89.5569,2.132016,0.07840127,2.809752,2.132016
89.7093,1.986851,0.122595,2.570259,1.986851
89.8617,1.898136,0.1782161,2.395307,1.898136
90.0141,1.915274,0.2824535,2.472082,1.915274
90.1665,2.063606,0.4207471,2.71242,2.063606
90.3189,2.156727,0.4922769,2.867228,2.156727
90.4713,2.175512,0.4671318,2.618321,2.175512
90.6237,2.169771,0.4171117,2.466094,2.169771
90.7761,2.207536,0.3420043,2.415418,2.207536
90.9285,2.237998,0.2514043,2.720698,2.237998
91.0809,2.281969,0.1639287,2.714461,2.281969
91.2333,2.23696,0.09218331,2.817473,2.23696
91.3857,2.17783,0.02949849,2.892667,2.17783
91.5381,2.16346,0.01213756,3.053925,2.16346
91.6905,2.16072,0.01338791,3.128995,2.16072
91.8429,2.160264,0.009851523,3.220429,2.160264
91.9953,2.169514,0.01170698,3.189706,2.169514
92.1477,2.195552,0.02298493,3.283059,2.195552
92.3001,2.195305,0.01768549,3.041813,2.195305
92.4525,2.178444,0.007783211,2.814976,2.178444
92.6049,2.166895,0.00901566,2.763456,2.166895
92.7573,2.162522,0.01826553,2.925771,2.162522
92.9097,2.153986,0.01843535,3.144069,2.153986
93.0621,2.168579,0.03803292,3.278747,2.168579
93.2145,2.183852,0.05528923,3.457294,2.183852
93.3669,2.191066,0.0655966,3.358048,2.191066
93.5193,2.182335,0.05488302,3.136611,2.182335
93.6717,2.171336,0.04305499,2.955699,2.171336
93.8241,2.162425,0.03177808,3.271558,2.162425
93.9765,2.163085,0.08132762,3.479223,2.163085
94.1289,2.15253,0.1139714,3.677556,2.15253
94.2813,2.156251,0.1650501,3.53856,2.156251
94.4337,2.252892,0.2704433,3.090458,2.252892
94.5861,2.283146,0.3086109,2.625714,2.283146
94.7385,2.1849,0.2010715,2.402086,2.1849
94.8909,2.170378,0.1498461,2.501032,2.170378
95.0433,2.175802,0.1033968,2.664775,2.175802
95.1957,2.187103,0.06332259,2.813295,2.187103
95.3481,2.198525,0.0628161,2.871567,2.198525
95.5005,2.198927,0.06142825,2.796105,2.198927
95.6529,2.184067,0.05330314,2.6687,2.184067
95.8053,2.195878,0.04997704,2.586512,2.195878
95.9577,2.229113,0.05624436,2.94842,2.229113
96.1101,2.245757,0.03955931,3.169722,2.245757
96.2625,2.248488,0.03185961,3.455522,2.248488
96.4149,2.244144,0.03535117,3.326796,2.244144
96.5673,2.247568,0.05009264,3.290736,2.247568
96.7197,2.231816,0.06361858,3.043658,2.231816
96.8721,2.173121,0.08431599,2.563627,2.173121
97.0245,2.080811,0.1065457,2.339618,2.080811
97.1769,2.056895,0.1069218,2.301838,2.056895
97.3293,2.106733,0.1075986,2.579901,2.106733
97.4817,2.231657,0.1224525,2.815205,2.231657
97.6341,2.261745,0.1047072,2.73391,2.261745
97.7865,2.215423,0.05700291,2.739884,2.215423
97.9389,2.203043,0.03608525,2.969348,2.203043
98.0913,2.201374,0.03143626,3.033068,2.201374
98.2437,2.162599,0.04410052,2.270583,2.1626
98.3961,1.994267,0.0009999839,1.989582,2.026297
98.5485,1.964934,-0.0007987174,1.918565,1.845609
98.7009,2.011905,0.01864184,2.463958,2.011851
98.8533,2.183357,0.06768721,2.888656,2.183357
99.0057,2.217335,0.06092205,2.956977,2.217335
99.1581,2.239036,0.07156406,3.013947,2.239036
99.3105,2.22854,0.05405817,3.011816,2.22854
99.4629,2.227481,0.04938902,3.037918,2.227481
99.6153,2.228672,0.04804617,3.048276,2.228672
99.7677,2.205056,0.04316603,2.986906,2.205056
99.9201,2.181632,0.02640566,2.927998,2.181632
100.0725,2.193936,0.04261127,2.844088,2.193936
100.2249,2.225449,0.04748333,2.841993,2.225449
100.3773,2.217112,0.03910031,2.944345,2.217112
100.5297,2.218919,0.02917287,2.641756,2.218919
100.6821,2.196134,0.0358845,2.815405,2.196134
100.8345,2.162605,0.05097171,2.845911,2.162605
100.9869,2.146906,0.104554,3.162192,2.146906
101.1393,2.147337,0.1682957,3.171116,2.147337
101.2917,2.233603,0.3103635,3.074281,2.233603
101.4441,2.266309,0.3662331,2.925688,2.266309
101.5965,2.271732,0.3751576,2.72173,2.271732
101.7489,2.240618,0.2963111,2.698859,2.240618
101.9013,2.25149,0.2167239,2.907445,2.25149
102.0537,2.277172,0.1291891,3.310469,2.277172
102.2061,2.337874,0.1237416,3.276675,2.337874
102.3585,2.175892,0.04034557,2.813884,2.175892
102.5109,2.057232,-0.006844696,2.722948,1.77305
102.6633,2.059443,-0.005637713,2.747891,1.98926
102.8157,2.160935,0.05285447,3.120162,2.160928
102.9681,2.227256,0.07487915,3.222997,2.227256
103.1205,2.208305,0.08946144,3.305209,2.208305
103.2729,2.204587,0.132115,3.227454,2.204587
103.4253,2.107289,0.1697958,3.233188,2.107289
103.5777,1.949843,0.1532157,2.756597,1.949843
103.7301,1.847319,0.1416363,2.458728,1.847319
103.8825,1.895632,0.144649,2.142957,1.895632
104.0349,2.044525,0.1683166,2.502495,2.044525
104.1873,2.251726,0.1980049,3.280561,2.251726
104.3397,2.309633,0.2066495,3.429073,2.309633
104.4921,2.312587,0.2167279,3.197457,2.312587
104.6445,2.29352,0.2199083,2.98277,2.29352
104.7969,2.245584,0.1871395,2.983354,2.245584
104.9493,2.272079,0.205004,2.845252,2.272079
105.1017,2.220217,0.1693666,2.745516,2.220217
105.2541,2.187607,0.1227767,2.791152,2.187607
105.4065,2.195542,0.09124196,3.187554,2.195542
105.5589,2.276113,0.08536571,3.490727,2.276113
105.7113,2.303905,0.05586578,3.677399,2.303905
105.8637,2.282432,0.02357959,3.465333,2.281135
106.0161,2.275407,0.01041167,3.508491,2.267863
106.1685,2.267604,0.005569028,3.431629,2.275753
106.3209,2.257337,0.002166542,3.607221,2.287459
106.4733,2.225677,0.0004393253,3.436287,2.266932
106.6257,2.203195,0.002528735,3.279123,2.229649
106.7781,2.190986,0.003179846,3.151038,2.124867
106.9305,2.205597,0.01174263,3.103145,2.156108
107.0829,2.225342,0.02272172,3.083403,2.225342
107.2353,2.222388,0.02239183,3.045502,2.222388
107.3877,2.210685,0.01602896,3.086035,2.210685
107.5401,2.20296,0.01858342,3.138019,2.20296
107.6925,2.195858,0.01823885,3.165511,2.195858
107.8449,2.18648,0.01456129,3.232488,2.187386
107.9973,2.189991,0.01616416,3.305142,2.191326
108.1497,2.205121,0.02233026,3.371284,2.205121
108.3021,2.215588,0.02430653,3.352472,2.215588
108.4545,2.211996,0.0222678,3.272649,2.211996
108.6069,2.195127,0.014077,3.183718,2.175763
108.7593,2.184254,0.007675067,3.069346,2.191745
108.9117,2.186745,0.005524907,3.029404,2.226823
109.0641,2.191241,0.003234717,3.08375,2.177549
109.2165,2.196439,0.004548243,3.233188,2.193374
109.3689,2.199674,0.007722612,3.305031,2.215064
109.5213,2.191231,0.0087179,3.277298,2.188044
109.6737,2.173475,0.01104906,3.103396,2.170431
109.8261,2.155599,0.01304945,2.967106,2.155599
109.9785,2.16043,0.01922381,2.818145,2.16043
110.1309,2.178578,0.02548491,2.853765,2.178578
110.2833,2.210686,0.02786856,2.904128,2.210686
110.4357,2.237835,0.03079544,2.970577,2.237835
110.5881,2.270532,0.03456315,3.267215,2.270532
110.7405,2.243087,0.03704408,3.27838,2.243087
110.8929,2.215703,0.05958418,3.334152,2.215703
