#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0980
#BOTTOM:,323.4909
DEPTH_WMSF,HSGR,HCGR,HFK,HTHO,HURA,HBHK
m,gAPI,gAPI,%,ppm,ppm,%
0.0980,0.3367552,0.8353291,0.02911024,0.09729441,-0.1036763,-999.25
0.2504,1.043566,1.072742,0.04837194,0.06061508,-0.09965613,-999.25
0.4028,0.8403722,0.7698594,0.03502996,0.04165333,-0.08124433,-999.25
0.5552,0.9844741,1.419696,0.04961095,0.1645608,-0.1709819,-999.25
0.7076,0.6274506,0.9917458,0.0313103,0.1345457,-0.1088192,-999.25
0.8600,1.382671,1.748138,0.04836277,0.2771345,-0.1384149,-999.25
1.0124,1.233273,1.533623,0.03047885,0.3130862,-0.1059471,-999.25
1.1648,1.484632,1.327297,0.03073757,0.2454436,-0.03472931,-999.25
1.3172,0.9880785,1.04659,0.03262559,0.1444228,-0.03950307,-999.25
1.4696,1.390333,0.9274126,0.02091864,0.1747662,0.03493012,-999.25
1.6220,1.436813,0.8334832,0.01347129,0.1882633,0.04992116,-999.25
1.7744,2.357013,1.059648,0.006690969,0.300446,0.1421719,-999.25
1.9268,2.659801,2.024106,0.01498879,0.5609757,0.07889568,-999.25
2.0792,3.593399,2.405558,0.01543538,0.6806172,0.1473361,-999.25
2.2316,3.161719,1.629741,0.001654081,0.5126512,0.1820833,-999.25
2.3840,2.868601,1.236419,0.002967119,0.3789031,0.1808507,-999.25
2.5364,2.249292,0.943321,0.001494306,0.2935875,0.1495456,-999.25
2.6888,2.463287,1.184834,0.01022983,0.3198497,0.1481469,-999.25
2.8412,2.866129,2.489419,0.03009311,0.6216792,0.01683908,-999.25
2.9936,3.121766,2.74772,0.02797472,0.7168673,0.01172948,-999.25
3.1460,2.956479,3.054752,0.03419321,0.7788646,-0.06575052,-999.25
3.2984,2.604761,2.884539,0.03753077,0.7047707,-0.09379755,-999.25
3.4508,2.690154,3.224558,0.04584745,0.7650564,-0.1471192,-999.25
3.6032,2.444502,2.505854,0.04207403,0.5568026,-0.06943874,-999.25
3.7556,2.483478,2.954547,0.04862063,0.6622815,-0.1075339,-999.25
3.9080,2.194513,2.748347,0.05124575,0.5808249,-0.1069055,-999.25
4.0604,2.705469,2.970878,0.05384122,0.6369507,-0.05480769,-999.25
4.2128,3.354589,3.628454,0.07670768,0.7138299,-0.04899378,-999.25
4.3652,3.128648,2.948019,0.06020802,0.5923491,0.01365342,-999.25
4.5176,3.139773,2.066625,0.04987314,0.3703675,0.1267396,-999.25
4.6700,2.76027,1.57186,0.02935047,0.3319475,0.1468098,-999.25
4.8224,3.328962,2.033877,0.0472185,0.375414,0.1793033,-999.25
4.9748,3.147876,2.142534,0.04904914,0.3995207,0.1546056,-999.25
5.1272,2.955016,2.258692,0.05991653,0.373125,0.1219293,-999.25
5.2796,2.942912,2.577751,0.05643548,0.4957644,0.08125598,-999.25
5.4320,3.146712,2.332072,0.05957752,0.398628,0.1265028,-999.25
5.5844,2.968512,2.371507,0.05495862,0.438309,0.09391086,-999.25
5.7368,2.919731,2.536646,0.0499064,0.5208153,0.05359562,-999.25
5.8892,2.941754,2.450994,0.05677362,0.4531587,0.04013811,-999.25
6.0416,3.611995,3.186183,0.07764322,0.566604,0.03662348,-999.25
6.1940,3.28174,3.09837,0.07066345,0.579324,0.02869566,-999.25
6.3464,3.382644,3.366234,0.0854648,0.5785182,0.01961098,-999.25
6.4988,3.059758,3.221639,0.08201484,0.5523736,-0.03209666,-999.25
6.6512,3.216469,3.609555,0.09279974,0.6135595,-0.0715203,-999.25
6.8036,3.198665,3.373772,0.08799621,0.5661135,-0.06148255,-999.25
6.9560,2.993252,2.572901,0.08277438,0.3400048,-0.007555161,-999.25
7.1084,2.341613,2.176456,0.05512924,0.374796,-0.01011071,-999.25
7.2608,1.601979,1.31835,0.03897776,0.1943326,0.02599851,-999.25
7.4132,1.26187,0.9257294,0.02733744,0.1366469,0.03792749,-999.25
7.5656,2.139998,1.881399,0.04871438,0.3177863,0.05056496,-999.25
7.7180,2.533974,1.965748,0.0446034,0.3688889,0.08623762,-999.25
7.8704,2.799592,2.025316,0.0476375,0.370217,0.09678917,-999.25
8.0228,2.90825,2.098522,0.05113638,0.3731949,0.06517933,-999.25
8.1752,3.106663,2.102306,0.05173745,0.3708884,0.1195621,-999.25
8.3276,3.505458,1.959556,0.03726569,0.4098639,0.1804665,-999.25
8.4800,3.051607,1.689489,0.03453011,0.3393228,0.1968361,-999.25
8.6324,2.955814,2.13913,0.03670225,0.4707164,0.1387771,-999.25
8.7848,2.548255,1.974008,0.04135863,0.3905331,0.08719423,-999.25
8.9372,2.913374,2.453136,0.05371529,0.4717509,0.05857653,-999.25
9.0896,2.719735,2.547691,0.06524303,0.4345649,0.0113384,-999.25
9.2420,2.57417,2.072111,0.05498502,0.3421977,0.05412384,-999.25
9.3944,2.061014,1.95166,0.05695676,0.2920491,-0.00830282,-999.25
9.5468,2.55918,2.267835,0.06656292,0.3371431,0.003797815,-999.25
9.6992,2.757193,2.566729,0.07170638,0.4028261,-0.00883973,-999.25
9.8516,3.710153,3.315653,0.09370397,0.5140693,-0.01474724,-999.25
10.0040,3.045944,2.367476,0.07213918,0.3364312,0.05831163,-999.25
10.1564,3.314065,2.274205,0.07192654,0.3077824,0.09515608,-999.25
10.3088,2.354042,1.296287,0.04547207,0.1492396,0.1113463,-999.25
10.4612,2.505416,1.334992,0.05089688,0.1298842,0.1336996,-999.25
10.6136,2.777232,1.330953,0.05292919,0.1166912,0.1795787,-999.25
10.7660,3.495974,1.698204,0.06024008,0.1915932,0.2203835,-999.25
10.9184,3.865718,1.823238,0.06430329,0.2078781,0.2433411,-999.25
11.0708,3.94232,2.201049,0.07060651,0.2920642,0.2140957,-999.25
11.2232,3.581718,2.162957,0.06851552,0.2920975,0.1802142,-999.25
11.3756,3.51575,1.956983,0.04949217,0.3374576,0.2260537,-999.25
11.5280,2.846178,1.67472,0.03610166,0.3253886,0.1623145,-999.25
11.6804,3.090046,2.314312,0.06024959,0.3890015,0.08366263,-999.25
11.8328,2.701946,2.280479,0.06202143,0.3677844,0.02181792,-999.25
11.9852,3.016805,2.903171,0.07915433,0.4670513,-0.03801493,-999.25
12.1376,2.862577,2.842012,0.06901805,0.506794,-0.05680887,-999.25
12.2900,2.964632,2.696875,0.05398631,0.5482829,-0.04992156,-999.25
12.4424,3.142072,2.760048,0.06286418,0.5165531,-0.01843321,-999.25
12.5948,2.962274,2.64427,0.05721587,0.5125148,-0.02362558,-999.25
12.7472,2.801914,2.398946,0.04604495,0.4992898,-0.0180951,-999.25
12.8996,2.914399,2.281058,0.0506031,0.4348203,0.003051643,-999.25
13.0520,3.422743,2.770651,0.06792217,0.4903386,-0.02724563,-999.25
13.2044,3.9703,2.82812,0.07932863,0.4419768,0.04809524,-999.25
