#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0229
#BOTTOM:,325.0921
DEPTH_WMSF,HSGR,HCGR,HFK,HTHO,HURA,HBHK
m,gAPI,gAPI,%,ppm,ppm,%
0.0229,2.064017,1.149064,0.01481895,0.2815176,0.08501004,-0.0436
0.1753,1.857405,1.344087,0.03103512,0.2490828,0.01538774,-0.0436
0.3277,1.651521,1.051551,0.03291766,0.144303,0.04061853,-0.0436
0.4801,1.401142,0.8776787,0.02875872,0.1129255,0.03659073,-0.0436
0.6325,1.700209,1.336348,0.03389359,0.2298669,0.004950623,-0.0436
0.7849,2.047268,1.942743,0.04904663,0.3355021,-0.005856068,-0.0436
0.9373,3.503577,3.237111,0.08491691,0.5403419,-0.009878658,-0.0436
1.0897,3.864234,3.632114,0.08228783,0.6823335,0.0138925,-0.0436
1.2421,3.657876,3.106372,0.07218217,0.5729967,0.03944723,-0.0436
1.3945,2.992085,2.524683,0.04834696,0.5261114,0.04265384,-0.0436
1.5469,2.836365,2.24544,0.03158282,0.5347617,0.05741069,-0.0436
1.6993,3.599571,2.660395,0.04236189,0.6046476,0.1082824,-0.0436
1.8517,3.145237,2.303959,0.03054793,0.5595759,0.1264252,-0.0436
2.0041,3.860767,2.608285,0.01969518,0.7206521,0.1701581,-0.0436
2.1565,3.306915,2.275107,0.01748749,0.6267932,0.1455446,-0.0436
2.3089,3.818673,2.233217,0.02044037,0.5960792,0.2185687,-0.0436
2.4613,3.353873,1.980117,0.004029833,0.6110382,0.1911293,-0.0436
2.6137,4.254405,2.257226,-0.00771573,0.7686182,0.2799038,-0.0436
2.7661,4.749511,2.614553,-0.005583776,0.8706604,0.2874992,-0.0436
2.9185,4.053334,2.600992,0.009140206,0.7801103,0.1931152,-0.0436
3.0709,3.705146,2.62109,0.005489161,0.8079274,0.1436374,-0.0436
3.2233,3.483206,2.452307,0.004142002,0.7617194,0.1392487,-0.0436
3.3757,4.834311,3.554583,0.0150794,1.050966,0.1524119,-0.0436
3.5281,5.239055,3.964422,0.01694081,1.171423,0.1117008,-0.0436
3.6805,5.380471,4.081361,0.01186251,1.238634,0.1038129,-0.0436
3.8329,4.92539,3.469172,0.006110026,1.076105,0.1347638,-0.0436
3.9853,5.027016,3.10078,0.002452919,0.9794452,0.2257901,-0.0436
4.1377,4.334708,2.3946,0.0104743,0.7061506,0.2084499,-0.0436
4.2901,4.448959,2.680458,0.01485583,0.7721163,0.185988,-0.0436
4.4425,4.345654,2.705982,0.009239873,0.8131763,0.1802785,-0.0436
4.5949,5.790071,3.78361,-0.008122699,1.26021,0.2286092,-0.0436
4.7473,5.980979,3.559572,0.0103331,1.080353,0.2794147,-0.0436
4.8997,5.926261,2.911193,0.004524862,0.9065514,0.3557007,-0.0436
5.0521,5.270445,2.457324,-0.005108507,0.8174855,0.3761978,-0.0436
5.2045,5.228058,1.867804,-0.009182459,0.652395,0.4507492,-0.0436
5.3569,4.739028,1.809013,0.006630546,0.5409727,0.3946779,-0.0436
5.5093,4.742313,2.294955,0.01712846,0.6352565,0.3197531,-0.0436
5.6617,4.738864,2.336402,0.01273241,0.6742775,0.2974222,-0.0436
5.8141,5.58516,2.798192,0.02734547,0.7367278,0.359287,-0.0436
5.9665,5.161268,2.383363,0.02528794,0.6158205,0.3707032,-0.0436
6.1189,5.201389,2.112784,0.02303389,0.5422958,0.3689492,-0.0436
6.2713,4.542413,1.331697,0.03526662,0.220338,0.3810516,-0.0436
6.4237,4.258859,1.034747,0.01414269,0.2488379,0.3998131,-0.0436
6.5761,3.957789,1.385065,0.02206728,0.31472,0.3164164,-0.0436
6.7285,4.88474,2.297626,0.02362114,0.5981001,0.3353978,-0.0436
6.8809,4.776809,2.242473,0.01846811,0.6105927,0.3327405,-0.0436
7.0333,4.933144,2.385814,0.01780742,0.660402,0.3488232,-0.0436
7.1857,4.115967,2.019046,0.01463945,0.5613993,0.2805825,-0.0436
7.3381,5.076685,3.039317,0.0404455,0.7373127,0.2743479,-0.0436
7.4905,4.628807,2.614436,0.02983846,0.6632381,0.2529786,-0.0436
7.6429,4.698304,3.237362,0.03863622,0.8113793,0.1636878,-0.0436
7.7953,4.171243,3.163912,0.0533957,0.7014267,0.1374496,-0.0436
7.9477,4.162571,3.490237,0.05141576,0.8176065,0.09536996,-0.0436
8.1001,4.336445,4.095285,0.06207483,0.9491203,0.03909087,-0.0436
8.2525,4.104558,4.059749,0.06273542,0.9338635,0.00623579,-0.0436
8.4049,4.602932,3.769128,0.08061212,0.7360574,0.07867873,-0.0436
8.5573,4.537707,3.45748,0.07180894,0.6877133,0.1120016,-0.0436
8.7097,4.853794,3.961493,0.08711333,0.7596487,0.07680788,-0.0436
8.8621,4.818692,4.570269,0.07696459,1.01418,-0.0009255124,-0.0436
9.0145,4.085125,4.5214,0.06534451,1.066548,-0.06918852,-0.0436
9.1669,4.367767,5.182899,0.07877461,1.199932,-0.08780351,-0.0436
9.3193,3.913138,4.351918,0.08016324,0.9254705,-0.03233371,-0.0436
9.4717,5.071002,5.029622,0.08610923,1.107864,0.0251356,-0.0436
9.6241,4.679116,4.90273,0.08607985,1.067367,-0.009513541,-0.0436
9.7765,5.023892,4.743398,0.08225679,1.038684,0.06406195,-0.0436
9.9289,4.470021,4.200112,0.06338216,0.9750637,0.09147931,-0.0436
10.0813,4.303068,3.949413,0.06129138,0.906955,0.09081975,-0.0436
10.2337,4.399009,4.474143,0.06802774,1.035693,0.0422569,-0.0436
10.3861,4.084236,3.762625,0.05050931,0.9102143,0.1114719,-0.0436
10.5385,4.439634,3.564616,0.03945017,0.9114994,0.1953718,-0.0436
10.6909,4.713061,3.297426,0.03405868,0.8574297,0.2684163,-0.0436
10.8433,4.855635,3.346503,0.01790651,0.9677246,0.2754379,-0.0436
10.9957,5.52456,3.690876,0.01274282,1.108328,0.3516791,-0.0436
11.1481,6.019336,4.795505,0.03623268,1.324839,0.2872912,-0.0436
11.3005,6.427443,4.672863,0.03308653,1.303951,0.3575085,-0.0436
11.4529,5.768135,4.685899,0.05250008,1.19447,0.2295773,-0.0436
11.6053,5.326598,4.094485,0.04719696,1.035969,0.2209362,-0.0436
11.7577,5.656552,5.053156,0.04810577,1.337904,0.1203869,-0.0436
11.9101,4.994101,4.661617,0.05405327,1.177594,0.07373178,-0.0436
12.0625,4.189675,5.22426,0.04755498,1.395968,-0.1146104,-0.0436
12.2149,3.726511,4.885165,0.05490106,1.244278,-0.1280764,-0.0436
12.3673,4.298384,5.572821,0.07590874,1.341681,-0.156307,-0.0436
