#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,83.7657
#BOTTOM:,325.0149
DEPTH_WMSF,HSGR,HCGR,HFK,HTHO,HURA,HBHK
m,gAPI,gAPI,%,ppm,ppm,%
83.7657,24.34657,17.71517,0.5753263,2.297136,0.7733822,0.0375
83.9181,23.57326,17.1204,0.5628027,2.180357,0.7570404,0.0375
84.0705,24.0703,16.88152,0.5409315,2.232406,0.8208408,0.0375
84.2229,22.01537,15.0037,0.4905322,1.92727,0.819804,0.0375
84.3753,22.18351,14.95673,0.4952482,1.885164,0.8709497,0.0375
84.5277,21.88551,13.88818,0.4496756,1.810794,0.9810489,0.0375
84.6801,23.4663,13.56016,0.4439845,1.739815,1.212339,0.0375
84.8325,24.34037,13.55911,0.4276572,1.836034,1.330505,0.0375
84.9849,25.83437,14.33334,0.495648,1.687048,1.375206,0.0375
85.1373,26.48846,14.41887,0.5346324,1.487335,1.388754,0.0375
85.2897,27.62,14.75522,0.5718072,1.378767,1.524979,0.0375
85.4421,28.14587,16.57232,0.616613,1.69954,1.309972,0.0375
85.5945,29.04712,18.23879,0.6712239,1.914832,1.169662,0.0375
85.7469,29.54415,20.98491,0.6703088,2.801459,0.9661735,0.0375
85.8993,30.96424,22.48612,0.6753799,3.253518,0.9450037,0.0375
86.0517,30.92076,22.25014,0.6895525,3.095323,0.929891,0.0375
86.2041,31.17907,22.92379,0.74837,2.967239,0.8871072,0.0375
86.3565,31.99156,24.75548,0.7766849,3.388863,0.7573891,0.0375
86.5089,32.10612,25.8214,0.8173437,3.492726,0.6254746,0.0375
86.6613,31.31926,24.95208,0.7401949,3.66583,0.6838287,0.0375
86.8137,29.61638,23.83091,0.6715919,3.708056,0.6469079,0.0375
86.9661,29.63736,23.18769,0.6378347,3.699493,0.7495196,0.0375
87.1185,30.79986,23.16058,0.6366779,3.69759,0.9131781,0.0375
87.2709,31.74349,23.50917,0.6042623,3.99915,1.08812,0.0375
87.4233,32.51462,20.6417,0.6049077,3.076106,1.48359,0.0375
87.5757,32.7501,20.35868,0.6055128,2.981846,1.512137,0.0375
87.7281,32.14764,20.47239,0.5902191,3.107856,1.51032,0.0375
87.8805,32.15361,20.82885,0.5476325,3.471483,1.441538,0.0375
88.0329,32.4595,20.31368,0.560469,3.231184,1.56655,0.0375
88.1853,32.60857,18.91609,0.5204222,3.017595,1.741574,0.0375
88.3377,33.21695,19.63334,0.556685,3.035255,1.766078,0.0375
88.4901,32.02493,20.77898,0.5776236,3.279979,1.496703,0.0375
88.6425,32.63541,21.93352,0.602754,3.50301,1.396735,0.0375
88.7949,31.03206,22.34525,0.5960531,3.674252,1.124699,0.0375
88.9473,30.12635,21.48991,0.5964323,3.397817,1.112594,0.0375
89.0997,30.66015,23.92739,0.6702735,3.74698,0.9085369,0.0375
89.2521,31.7384,25.24947,0.7060172,3.961618,0.96825,0.0375
89.4045,33.09612,27.39193,0.7932127,4.138066,0.8095227,0.0375
89.5569,31.63619,24.55395,0.717937,3.668932,1.06186,0.0375
89.7093,31.33359,25.06788,0.7186089,3.8298,0.9231858,0.0375
89.8617,30.53716,24.66637,0.7180876,3.704139,0.8866446,0.0375
90.0141,29.42897,23.00805,0.690147,3.336065,0.909009,0.0375
90.1665,30.02349,21.24548,0.6848713,2.801886,1.157242,0.0375
90.3189,30.99024,22.22916,0.7249996,2.88235,1.189689,0.0375
90.4713,31.43283,20.92598,0.7412412,2.369495,1.411471,0.0375
90.6237,29.87926,19.96847,0.6765918,2.441041,1.307053,0.0375
90.7761,29.16008,19.34175,0.6482952,2.405817,1.276666,0.0375
90.9285,29.39668,18.59077,0.6595155,2.099342,1.401579,0.0375
91.0809,30.45279,18.91547,0.6363995,2.338775,1.551584,0.0375
91.2333,29.78727,20.26432,0.6762635,2.537852,1.206958,0.0375
91.3857,31.90721,20.81084,0.706032,2.53879,1.380127,0.0375
91.5381,31.75538,20.91752,0.6940149,2.643341,1.331232,0.0375
91.6905,32.89928,21.82672,0.6952715,2.927487,1.316151,0.0375
91.8429,32.97858,21.53046,0.6653613,3.007623,1.42329,0.0375
91.9953,32.63814,21.24763,0.6871656,2.789282,1.329663,0.0375
92.1477,33.46518,21.87042,0.6867301,2.991477,1.361453,0.0375
92.3001,31.85008,21.0016,0.672954,2.793528,1.215599,0.0375
92.4525,31.07295,18.75174,0.6286808,2.331357,1.411932,0.0375
92.6049,29.65549,18.90283,0.598942,2.553873,1.217775,0.0375
92.7573,30.85702,19.54025,0.6265579,2.596511,1.247922,0.0375
92.9097,31.32491,19.35507,0.6502919,2.398139,1.354647,0.0375
93.0621,31.46828,21.25238,0.6863042,2.79557,1.161817,0.0375
93.2145,30.05874,21.39104,0.6894615,2.821517,1.026379,0.0375
93.3669,31.57755,23.4978,0.7442405,3.176201,0.9726713,0.0375
93.5193,33.49821,25.29368,0.7988908,3.431969,1.016084,0.0375
93.6717,34.05018,24.48265,0.7611967,3.392591,1.212564,0.0375
93.8241,32.11257,22.62141,0.6813864,3.263106,1.204372,0.0375
93.9765,32.64467,22.67658,0.7335564,2.975311,1.227943,0.0375
94.1289,32.20073,22.7645,0.7250406,3.053323,1.181864,0.0375
94.2813,33.4421,22.9117,0.7761393,2.801311,1.31299,0.0375
94.4337,31.75543,21.73654,0.7330037,2.677051,1.246364,0.0375
94.5861,31.53622,22.16885,0.7237354,2.869845,1.18907,0.0375
94.7385,31.37884,20.05243,0.7023556,2.316464,1.448116,0.0375
94.8909,30.75146,19.34954,0.7051411,2.074805,1.384711,0.0375
95.0433,31.06098,19.04095,0.729573,1.832822,1.49185,0.0375
95.1957,31.03346,19.92609,0.7424108,2.041442,1.357631,0.0375
95.3481,31.30158,19.86429,0.7197756,2.154155,1.500699,0.0375
95.5005,31.57336,21.04874,0.7678427,2.252474,1.427157,0.0375
95.6529,31.46404,20.83797,0.7226594,2.44946,1.501314,0.0375
95.8053,31.48129,21.00785,0.7382516,2.412657,1.445307,0.0375
95.9577,31.57228,21.47679,0.7227306,2.653883,1.358201,0.0375
96.1101,29.64892,19.94268,0.6737236,2.449009,1.386139,0.0375
96.2625,31.1101,20.56812,0.7183148,2.388492,1.487755,0.0375
96.4149,31.03922,21.34049,0.683126,2.84213,1.437497,0.0375
96.5673,32.51741,22.61469,0.7207051,3.030588,1.49757,0.0375
96.7197,30.88147,21.57353,0.6634323,3.032111,1.378426,0.0375
96.8721,28.97939,20.01505,0.6410118,2.663723,1.293624,0.0375
97.0245,29.029,21.89913,0.7076016,2.877863,0.9294925,0.0375
97.1769,29.89901,22.88207,0.7019656,3.225963,0.8690341,0.0375
97.3293,31.73961,25.45331,0.7904706,3.53208,0.7687182,0.0375
97.4817,31.24206,25.59725,0.7677656,3.711133,0.673615,0.0375
97.6341,29.31701,24.20724,0.7147445,3.575915,0.6502194,0.0375
97.7865,27.78258,22.49406,0.6566373,3.366874,0.6091115,0.0375
97.9389,28.63601,23.31064,0.6552432,3.636775,0.558101,0.0375
98.0913,30.72798,24.57881,0.7253175,3.633039,0.6004642,0.0375
98.2437,31.85978,24.54423,0.6905353,3.825553,0.740133,0.0375
98.3961,31.27748,24.2326,0.701016,3.664251,0.7510871,0.0375
98.5485,30.87336,23.20909,0.6611136,3.569734,0.8384452,0.0375
98.7009,30.48923,21.05495,0.6027929,3.220595,1.108163,0.0375
98.8533,31.23784,20.09827,0.6112757,2.864226,1.377989,0.0375
99.0057,30.49126,18.2137,0.5575395,2.574657,1.47241,0.0375
99.1581,32.01111,19.40615,0.5844004,2.799631,1.563168,0.0375
99.3105,31.6452,19.32107,0.6160887,2.586799,1.520095,0.0375
99.4629,32.17574,19.71906,0.6046305,2.781486,1.49604,0.0375
99.6153,31.04607,18.22022,0.5900791,2.386213,1.554046,0.0375
99.7677,29.06756,17.1807,0.5428483,2.329522,1.449192,0.0375
99.9201,27.25559,16.35127,0.5324073,2.124802,1.310563,0.0375
100.0725,27.75562,15.95859,0.5092125,2.134779,1.35738,0.0375
100.2249,29.25845,17.83446,0.5699675,2.380498,1.289143,0.0375
100.3773,29.43015,19.81514,0.585987,2.921734,1.107603,0.0375
100.5297,29.8569,20.73854,0.6118079,3.066631,0.9987978,0.0375
