#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0980
#BOTTOM:,333.7017
DEPTH_WMSF,TENS,CS,ETIM
m,lbf,m/h,s
0.0980,1956.975,541.6286,176.0048
0.2504,2000.988,543.4579,177.0242
0.4028,1976.996,543.1536,178.0436
0.5552,1936.014,543.4583,179.0627
0.7076,1933.999,541.02,180.066
0.8600,1908.01,541.934,181.0521
1.0124,1946.999,541.3248,182.072
1.1648,1988.98,541.0201,183.09
1.3172,1993,540.7152,184.1094
1.4696,1964.015,541.3245,185.1115
1.6220,1926.006,541.6295,186.1318
1.7744,1903.014,541.9342,187.1179
1.9268,1875.006,541.9344,188.1213
2.0792,1863.008,541.3253,189.1403
2.2316,1897.99,540.4106,190.1607
2.3840,2006.006,541.0204,191.1806
2.5364,2079.974,545.5904,192.1832
2.6888,2010.999,543.4583,193.203
2.8412,1947.026,541.6303,194.2051
2.9936,1932.001,541.02,195.2075
3.1460,1903.014,537.9734,196.2095
3.2984,1919.998,542.5435,197.2289
3.4508,1929.995,542.2394,198.2395
3.6032,1938.998,541.0202,199.2513
3.7556,1949.993,541.9338,200.2539
3.9080,1950,543.1533,201.2743
4.0604,1927.015,543.1536,202.2763
4.2128,1929.999,543.763,203.2962
4.3652,1989.001,543.1536,204.2908
4.5176,2001.995,543.4583,205.3031
4.6700,1984,542.8488,206.3215
4.8224,1960.01,541.9348,207.3401
4.9748,1918.002,541.9344,208.3425
5.1272,1878.019,541.9344,209.3445
5.2796,1873.001,541.3249,210.3644
5.4320,1841.017,541.3248,211.351
5.5844,1896.99,541.0201,212.3713
5.7368,1976.951,545.2845,213.3734
5.8892,2061.98,545.2872,214.3923
6.0416,2065.997,546.201,215.4118
6.1940,1978.027,543.7639,216.3977
6.3464,1918.995,540.4102,217.4186
6.4988,1846.027,537.3635,218.4221
6.6512,1855,539.1912,219.4425
6.8036,1903.979,538.5818,220.4616
6.9560,2035.992,545.5916,221.4649
7.1084,2068.984,547.7245,222.4835
7.2608,1930.017,545.2875,223.4864
7.4132,1841.049,540.4131,224.489
7.5656,1870.995,539.4962,225.5098
7.7180,1882.993,542.2375,226.4964
7.8704,1976.977,542.5439,227.5163
8.0228,2126.898,546.5037,228.5343
8.1752,2082.014,547.4205,229.5367
8.3276,1942.994,541.3246,230.5561
8.4800,1845.036,537.0592,231.5751
8.6324,1798,536.448,232.5795
8.7848,1818.991,538.5807,233.5816
8.9372,1928.993,539.8007,234.5854
9.0896,2078.926,547.1124,235.5865
9.2420,2092.998,548.335,236.6064
9.3944,1912.101,541.3287,237.6089
9.5468,1846.013,538.5822,238.6123
9.6992,1935.944,545.283,239.6149
9.8516,1949.996,554.1241,240.6342
10.0040,1977.986,544.6823,241.6541
10.1564,1855.039,584.8985,242.6567
10.3088,1846,535.2281,243.6765
10.4612,1844.001,522.1273,244.6786
10.6136,1885,542.239,245.664
10.7660,1927.981,541.9345,246.6831
10.9184,1974.997,546.8109,247.6864
11.0708,1955.01,545.8973,248.706
11.2232,1863.012,544.373,249.7094
11.3756,1869.996,543.4589,250.7119
11.5280,1907.992,543.1537,251.7148
11.6804,1927.987,542.2397,252.7344
11.8328,1977.987,542.2392,253.7537
11.9852,1942.998,543.1535,254.7561
12.1376,1921.007,542.2395,255.7742
12.2900,1949.001,543.4584,256.7691
12.4424,1962.995,543.4584,257.7806
12.5948,1956,544.068,258.785
12.7472,1945.005,544.3727,259.8055
12.8996,1871.006,544.3728,260.7924
13.0520,1847.012,540.4124,261.795
13.2044,1877.996,541.9341,262.7973
13.3568,1988.936,542.8483,263.8154
13.5092,2028.992,543.1536,264.8348
13.6616,1976.034,543.4582,265.8549
13.8140,1879.026,540.7159,266.8757
13.9664,1912.999,541.6298,267.8626
14.1188,1903.003,543.7625,268.8652
14.2712,1949.003,542.2393,269.8675
14.4236,2018.973,543.7626,270.8691
14.5760,2048.999,545.2871,271.872
14.7284,1985.029,545.5919,272.8915
14.8808,1903.007,545.2872,273.8959
15.0332,1815.046,541.0222,274.8995
15.1856,1795.003,537.9724,275.9199
15.3380,1797.998,539.4951,276.9219
15.4904,1939.97,539.496,277.9248
15.6428,2100.896,545.2834,278.9268
15.7952,2092.002,548.0297,279.9477
15.9476,1961.994,544.6774,280.9511
16.1000,1899.021,542.8494,281.9707
16.2524,1864.002,542.2392,282.9815
16.4048,1927.974,543.1533,283.9831
16.5572,1929,543.7632,284.961
16.7096,1975.978,542.5446,285.9796
16.8620,2000.998,543.7631,287.0004
17.0144,2005.997,544.0678,288.02
17.1668,1968.006,543.7632,289.0143
17.3192,1944.014,542.2401,290.0079
17.4716,1938.001,542.2392,291.0278
17.6240,1938,541.63,292.0304
17.7764,1951.996,544.9815,293.0502
17.9288,1989.001,544.3729,294.0536
18.0812,2002.995,545.2869,295.0721
18.2336,1976.999,544.9824,296.058
18.3860,1936.017,544.6777,297.0601
18.5384,1918.001,544.3728,298.08
18.6908,1935.992,543.4588,299.0995
18.8432,1980.995,543.4584,300.1019
18.9956,2034.971,543.4584,301.103
19.1480,2079.993,543.4584,302.1223
19.3004,1955.074,540.7169,303.0584
19.4528,1845.025,541.3247,304.0453
19.6052,1858.991,541.3248,305.0813
19.7576,1861.999,541.0201,306.1007
19.9100,1904.008,541.0204,307.1031
20.0624,2007.963,546.5045,308.0887
20.2148,2058.999,544.6776,309.1085
20.3672,2001.024,544.0682,310.1446
20.5196,1953.002,544.3728,311.1814
20.6720,1961.996,543.7635,312.2165
20.8244,1936.003,542.5441,313.2529
20.9768,1908.015,542.2394,314.2805
21.1292,1945.994,541.6297,315.3088
21.2816,1968.986,542.8481,316.3449
21.4340,1991.995,544.0677,317.3813
21.5864,1984.005,543.7634,318.4178
21.7388,2004.994,544.3726,319.4212
21.8912,1993,545.2872,320.4571
22.0436,1993,545.5919,321.4916
22.1960,1923,543.4584,322.528
22.3484,1926.998,543.7631,323.5646
22.5008,1959.998,543.4584,324.6019
22.6532,1983.988,542.8491,325.639
22.8056,1992.999,542.8488,326.6754
22.9580,1979.008,542.8488,327.6935
23.1104,1967.002,544.0677,328.7288
23.2628,1978.993,544.068,329.7474
23.4152,1984.999,544.6775,330.7838
23.5676,1984.001,545.2867,331.8033
23.7200,1989.998,545.2872,332.8402
23.8724,1986.001,544.6776,333.8936
24.0248,2000.995,544.6776,334.9291
24.1772,1988,544.068,335.9655
24.3296,1982.003,542.5447,337.0005
24.4820,1994.999,542.544,338.0204
24.6344,1982.006,542.544,339.056
24.7868,1928.007,542.2393,340.0929
24.9392,1950.987,546.8087,341.1454
25.0916,1974.996,544.0685,342.1818
25.2440,1947.017,544.068,343.2091
25.3964,1958.997,544.6775,344.2542
25.5488,1977.007,544.373,345.2906
25.7012,2034.982,546.201,346.3427
25.8536,2017.997,545.8967,347.3966
