#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0229
#BOTTOM:,332.5597
DEPTH_WMSF,TENS,CS,ETIM
m,lbf,m/h,s
0.0229,2005.994,546.811,2264.69
0.1753,1985.003,546.2017,2263.687
0.3277,1987.016,547.4205,2262.682
0.4801,2063.983,545.8972,2261.68
0.6325,2118.003,547.1156,2260.66
0.7849,2140.995,544.0663,2259.659
0.9373,2131.999,540.7153,2258.675
1.0897,2117.967,541.3278,2257.655
1.2421,2044.998,548.0304,2256.635
1.3945,1943.01,547.7262,2255.631
1.5469,1968.999,549.2495,2254.628
1.6993,2055.015,545.5918,2253.642
1.8517,2099.995,544.9825,2252.64
2.0041,2118.999,543.7632,2251.638
2.1565,2115.001,543.7632,2250.62
2.3089,2106.001,544.0678,2249.617
2.4613,2112.998,543.1538,2248.599
2.6137,2077.982,543.1541,2247.596
2.7661,1946.024,546.2019,2246.592
2.9185,1993.009,546.8112,2245.588
3.0709,2118.037,546.2014,2244.568
3.2233,2202,545.592,2243.565
3.3757,2186.008,547.4208,2242.563
3.5281,2207.999,547.4208,2241.562
3.6805,2176.956,546.8113,2240.576
3.8329,2038.016,547.116,2239.557
3.9853,1989.021,546.8105,2238.554
4.1377,2072.985,544.0685,2237.551
4.2901,2106.009,545.5914,2236.547
4.4425,2151.989,542.8495,2235.544
4.5949,2144.986,547.1166,2234.541
4.7473,2035.982,551.6873,2233.522
4.8997,2000.005,550.1636,2232.52
5.0521,2067.014,544.6782,2231.533
5.2045,2100,545.8968,2230.532
5.3569,2161.991,545.286,2229.513
5.5093,2137.001,542.2394,2228.528
5.6617,2000.964,547.1167,2227.507
5.8141,1885.014,549.2493,2226.504
5.9665,2031.052,545.5909,2225.5
6.1189,2237.962,541.3256,2224.499
6.2713,2270.992,539.801,2223.48
6.4237,2231.01,540.715,2222.47
6.5761,2205.986,547.4209,2221.476
6.7285,2089.981,548.639,2220.457
6.8809,2051.998,546.5064,2219.455
7.0333,2017.996,546.2016,2218.45
7.1857,2009,546.2016,2217.464
7.3381,2084.025,544.9822,2216.445
7.4905,2150.996,544.3729,2215.442
7.6429,2168.004,544.6771,2214.44
7.7953,2180.998,543.1538,2213.437
7.9477,2143.997,544.6773,2212.416
8.1001,2133.002,543.4586,2211.422
8.2525,2114.984,546.2019,2210.412
8.4049,2025.023,548.0299,2209.411
8.5573,2002.01,545.2871,2208.39
8.7097,2087.013,544.6775,2207.386
8.8621,2113.001,544.3728,2206.384
9.0145,2127.021,544.068,2205.386
9.1669,2176,544.068,2204.378
9.3193,2123.959,541.3265,2203.375
9.4717,2011.008,545.8965,2202.356
9.6241,2034.026,547.1147,2201.338
9.7765,2119.989,542.8494,2200.337
9.9289,2191.003,543.4577,2199.335
10.0813,2202.998,540.7158,2198.331
10.2337,2114.982,543.7638,2197.309
10.3861,2013.949,547.1163,2196.297
10.5385,1920.01,547.7256,2195.287
10.6909,2014.074,548.0282,2194.283
10.8433,2168.004,543.4583,2193.298
10.9957,2255.016,542.2393,2192.294
11.1481,2293,542.544,2191.277
11.3005,2288.953,541.0209,2190.275
11.4529,2158.01,543.4582,2189.257
11.6053,2010.975,546.811,2188.236
11.7577,1927.012,546.2017,2187.251
11.9101,1912.031,548.0297,2186.249
12.0625,2044.973,544.983,2185.246
12.2149,2186.008,542.849,2184.242
12.3673,2234.972,543.7639,2183.221
12.5197,2182.995,544.9827,2182.219
12.6721,2133.991,547.4188,2181.2
12.8245,2116,543.1536,2180.216
12.9769,2105.997,543.1535,2179.213
13.1293,2099,542.8488,2178.194
13.2817,2092.997,544.6776,2177.173
13.4341,2085.001,544.6776,2176.17
13.5865,2074.986,546.2017,2175.159
13.7389,2025.007,546.5063,2174.166
13.8913,2052.007,546.2009,2173.164
14.0437,2084.993,543.1542,2172.161
14.1961,2094.003,546.2016,2171.139
14.3485,2112,546.2026,2170.136
14.5009,2111.997,548.0301,2169.117
14.6533,2083.017,544.6777,2168.133
14.8057,2118.999,544.9824,2167.132
14.9581,2091.966,544.0685,2166.112
15.1105,2008.002,545.2871,2165.108
15.2629,2018.022,544.9814,2164.104
15.4153,2082.994,541.9346,2163.101
15.5677,2141.997,545.5918,2162.098
15.7201,2131.002,544.9825,2161.08
15.8725,2129.004,544.0682,2160.078
16.0249,2147.996,544.9822,2159.076
16.1773,2077.992,544.3729,2158.073
16.3297,2029.022,545.2869,2157.062
16.4821,2071,544.6774,2156.068
16.6345,2069.029,542.8491,2155.048
16.7869,2132.001,543.4583,2154.045
16.9393,2182.941,540.1077,2153.025
17.0917,2035.005,545.287,2152.007
17.2441,2011.032,545.287,2151.004
17.3965,2105.991,544.6777,2149.994
17.5489,2187.009,545.8954,2148.999
17.7013,2220.995,541.0208,2147.997
17.8537,2197.98,544.0685,2146.977
18.0061,2103.021,546.5059,2145.975
18.1585,2041.999,546.5063,2144.963
18.3109,2037.024,545.5918,2143.969
18.4633,2083.002,545.287,2142.967
