#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,82.6989
#BOTTOM:,332.4825
DEPTH_WMSF,TENS,CS,ETIM
m,lbf,m/h,s
82.6989,2199,270.6624,1791.698
82.8513,2158.018,270.6624,1789.694
83.0037,2316.99,270.6624,1787.671
83.1561,2017.148,277.0601,1785.631
83.3085,1981.005,278.587,1783.643
83.4609,2181.888,274.9316,1781.69
83.6133,2221.992,275.5391,1779.699
83.7657,2127.059,277.6715,1777.695
83.9181,2165.99,275.235,1775.724
84.0705,2249.982,275.8442,1773.717
84.2229,2099.047,277.6722,1771.73
84.3753,1992.011,279.5015,1769.741
84.5277,2174.932,278.2829,1767.769
84.6801,2239,277.6728,1765.796
84.8325,2181.025,285.8988,1763.81
84.9849,2134.003,283.769,1761.886
85.1373,2326.904,282.5502,1759.964
85.2897,2213.014,293.8258,1758.026
85.4421,2086.071,363.5874,1756.155
85.5945,2210.976,415.7373,1754.624
85.7469,2243.979,426.4086,1753.296
85.8993,2299.986,452.6214,1752.009
86.0517,2152.001,481.894,1750.754
86.2041,2157.998,525.7663,1749.585
86.3565,2030.01,532.1807,1748.507
86.5089,2209.932,530.6573,1747.48
86.6613,2292,530.9616,1746.461
86.8137,2238.024,533.0943,1745.408
86.9661,2210.002,533.4,1744.372
87.1185,2166.022,535.2279,1743.354
87.2709,2046.016,534.9241,1742.318
87.4233,2136.949,534.6194,1741.315
87.5757,2215.985,535.8381,1740.278
87.7281,2339.003,532.7909,1739.242
87.8805,2357.995,535.533,1738.224
88.0329,2299.99,535.534,1737.188
88.1853,2216.027,538.5806,1736.176
88.3377,2140.001,544.3729,1735.147
88.4901,2158.993,546.5056,1734.127
88.6425,2288.999,543.7632,1733.125
88.7949,2262.012,542.2399,1732.124
88.9473,2319.996,541.3249,1731.106
89.0997,2344.988,542.2387,1730.104
89.2521,2337.001,541.6296,1729.1
89.4045,2226.063,534.3185,1728.08
89.5569,2297.986,521.8201,1727.077
89.7093,2364.989,519.6846,1726.024
89.8617,2299.017,523.3407,1724.972
90.0141,2234.982,526.3898,1723.918
90.1665,2078.05,528.2178,1722.881
90.3189,2018.998,528.8283,1721.844
90.4713,1980.015,534.3123,1720.791
90.6237,2184.998,528.5233,1719.773
90.7761,2512.855,522.1252,1718.74
90.9285,2254.019,522.4272,1717.688
91.0809,2096.08,523.0365,1716.635
91.2333,2110.998,520.5987,1715.598
91.3857,2099.007,520.903,1714.543
91.5381,1937.032,518.77,1713.489
91.6905,2098.027,510.2349,1712.436
91.8429,2254.959,508.7116,1711.378
91.9953,2312.004,505.9681,1710.302
92.1477,2351.987,507.1868,1709.233
92.3001,2298.997,507.1868,1708.128
92.4525,2227.028,498.3514,1707.058
92.6049,2142.001,481.2794,1705.97
92.7573,2120.01,449.5941,1704.851
92.9097,2205.993,480.0576,1703.648
93.0621,2365.919,488.8947,1702.479
93.2145,2274.013,494.9944,1701.342
93.3669,2269.003,502.0016,1700.223
93.5193,2118.03,508.7099,1699.136
93.6717,2155.019,508.1016,1698.049
93.8241,2267.97,508.1016,1696.981
93.9765,2377.982,506.578,1695.895
94.1289,2214.053,510.234,1694.809
94.2813,2279.996,514.1978,1693.723
94.4337,2185.037,519.6819,1692.669
94.5861,1972.004,527.9135,1691.599
94.7385,2097.943,527.6089,1690.564
94.8909,2233.989,526.9993,1689.513
95.0433,2314.958,527.3038,1688.479
95.1957,2332.998,530.0468,1687.426
95.3481,2262.041,538.5767,1686.39
95.5005,2182.016,539.8005,1685.37
95.6529,2258.985,538.8868,1684.351
95.8053,2171.023,541.6288,1683.333
95.9577,2045.02,543.7631,1682.312
96.1101,2241.936,542.8491,1681.309
96.2625,2241.999,544.6775,1680.289
96.4149,2221.008,542.2402,1679.303
96.5673,2379.997,540.4105,1678.302
96.7197,2242.062,541.9337,1677.283
96.8721,2274.997,538.8867,1676.264
97.0245,2306.984,541.9328,1675.244
97.1769,2291.002,543.7629,1674.223
97.3293,2269.013,545.8956,1673.221
97.4817,2271,544.6779,1672.217
97.6341,2224.989,546.5063,1671.196
97.7865,2157.018,545.897,1670.194
97.9389,2131,546.2019,1669.191
98.0913,2132.999,548.9439,1668.189
98.2437,2199.007,536.7525,1667.187
98.3961,2381.928,529.4405,1666.186
98.5485,2344.001,529.1328,1665.15
98.7009,2230.052,529.1328,1664.114
98.8533,2203.002,534.0092,1663.059
99.0057,2251.975,535.5328,1662.038
99.1581,2170.012,536.4479,1661.019
99.3105,2015.09,538.5804,1660.002
99.4629,2190.963,532.1821,1658.983
99.6153,2337.982,532.1807,1657.946
99.7677,2224.031,531.5714,1656.91
99.9201,2359.995,530.6568,1655.89
100.0725,2304.019,530.9615,1654.871
100.2249,2174.004,531.8759,1653.818
100.3773,2295.952,529.4386,1652.783
100.5297,2352.999,531.8759,1651.763
100.6821,2192.074,533.0947,1650.71
100.8345,2289.991,532.4857,1649.699
100.9869,2302.993,532.7902,1648.672
101.1393,2256.007,532.1809,1647.636
101.2917,2294.977,531.267,1646.601
101.4441,2259.008,530.9617,1645.581
101.5965,2255.008,531.5711,1644.544
101.7489,2305.986,530.657,1643.525
101.9013,2236.01,531.2663,1642.488
102.0537,2335.966,529.7429,1641.454
102.2061,2349.997,529.4376,1640.418
102.3585,2269.032,530.3516,1639.383
102.5109,2362.997,528.5233,1638.347
102.6633,2233.06,529.4372,1637.31
102.8157,2070.015,535.2283,1636.273
102.9681,2286.886,530.9639,1635.238
103.1205,2365.988,530.9616,1634.219
103.2729,2182.108,532.7893,1633.184
103.4253,2298.975,530.0478,1632.147
103.5777,2384.979,529.1329,1631.111
103.7301,2248.038,529.7422,1630.092
103.8825,2394.991,528.2187,1629.056
104.0349,2298.033,531.2654,1628.021
104.1873,2242.003,532.4856,1626.968
104.3397,2332.963,531.8762,1625.931
104.4921,2203.004,531.5712,1624.911
104.6445,2110.043,533.0945,1623.892
104.7969,1994.011,534.0095,1622.856
104.9493,2280.254,529.4579,1621.807
105.1017,2297.666,530.9413,1620.75
105.2541,2266.525,530.121,1619.694
105.4065,2393.552,526.1299,1618.638
105.5589,2315.696,527.0099,1617.581
105.7113,2090.609,530.5344,1616.523
105.8637,1997.195,534.7663,1615.465
106.0161,1927.335,537.1502,1614.407
106.1685,2032.596,534.6875,1613.354
106.3209,2217.404,536.448,1612.323
106.4733,2286.025,535.9896,1611.288
106.6257,2399.149,535.3172,1610.235
106.7781,2297.377,538.5816,1609.191
106.9305,2238.3,538.6654,1608.138
107.0829,2209.717,538.7963,1607.1
107.2353,2179.884,538.678,1606.068
107.3877,2136.507,538.5793,1605.033
107.5401,2167.054,538.0806,1603.992
107.6925,2299.753,538.0474,1602.952
107.8449,2296.244,538.1504,1601.912
107.9973,2283.583,540.1564,1600.88
108.1497,2260.701,541.4015,1599.85
108.3021,2294.481,538.486,1598.811
108.4545,2353.706,536.2747,1597.771
108.6069,2319.151,537.9659,1596.723
108.7593,2265.715,538.2449,1595.673
108.9117,2232.713,539.4921,1594.641
109.0641,2188.944,541.495,1593.608
109.2165,2157.375,540.7485,1592.569
109.3689,2128.273,542.2939,1591.54
109.5213,2170.387,541.1234,1590.507
109.6737,2300.874,537.5496,1589.469
109.8261,2331.608,538.6561,1588.44
109.9785,2281.969,540.4218,1587.405
110.1309,2231.855,540.7152,1586.364
110.2833,2191.392,540.7152,1585.324
110.4357,2152.166,540.4899,1584.284
110.5881,2100.997,540.6418,1583.244
110.7405,2271.137,539.29,1582.231
110.8929,2311.001,539.1302,1581.184
111.0453,2255.514,540.441,1580.14
111.1977,2316.247,540.2031,1579.101
111.3501,2252.531,539.8432,1578.06
111.5025,2281.367,539.5325,1577.022
111.6549,2275.29,539.496,1575.996
111.8073,2287.813,539.2153,1574.958
111.9597,2299.349,540.625,1573.916
112.1121,2228.901,539.5438,1572.876
112.2645,2307.472,538.5984,1571.837
112.4169,2228.99,546.5031,1570.8
112.5693,2216.043,542.2063,1569.775
112.7217,2219.164,540.7532,1568.734
112.8741,2251.235,541.592,1567.693
113.0265,2326.389,540.9447,1566.653
113.1789,2271.214,540.1992,1565.614
113.3313,2246.684,540.6845,1564.577
113.4837,2298.177,538.3202,1563.552
113.6361,2235.281,538.2836,1562.513
113.7885,2270.167,536.308,1561.48
113.9409,2360.394,534.562,1560.432
114.0933,2297.632,535.5336,1559.39
114.2457,2257.466,535.5336,1558.345
114.3981,2223.207,535.8546,1557.307
114.5505,2200.374,537.2714,1556.25
114.7029,2236.285,548.0093,1555.2
114.8553,2285.074,558.9049,1554.159
115.0077,2286.096,536.2381,1553.122
115.1601,2233.433,536.1713,1552.09
115.3125,2219.339,536.1705,1551.057
115.4649,2287.278,535.3467,1550.027
115.6173,2330.272,535.6486,1549.007
115.7697,2300.633,535.3903,1547.992
115.9221,2269.92,534.9467,1546.977
116.0745,2218.787,535.4274,1545.973
116.2269,2252.838,535.2288,1544.952
116.3793,2294.145,535.7319,1543.938
116.5317,2289.977,539.1965,1542.916
116.6841,2328.206,546.553,1541.906
116.8365,2269.267,553.0392,1540.905
116.9889,2213.151,558.0284,1539.923
117.1413,2229.252,561.1767,1538.935
117.2937,2299.713,562.1345,1537.964
117.4461,2272.719,563.3203,1537
117.5985,2243.491,566.8668,1536.023
117.7509,2245.189,569.3664,1535.054
117.9033,2248.393,569.5103,1534.11
118.0557,2244.87,569.907,1533.163
118.2081,2291.687,569.8034,1532.203
118.3605,2246.834,570.4702,1531.243
118.5129,2262.122,571.1349,1530.285
118.6653,2230.031,570.7758,1529.341
118.8177,2281.821,570.4443,1528.389
118.9701,2282.017,569.955,1527.439
119.1225,2274.213,563.4415,1526.494
119.2749,2192.482,561.5056,1525.529
119.4273,2135.886,562.8425,1524.555
119.5797,2292.682,558.313,1523.593
119.7321,2313.002,558.0076,1522.62
119.8845,2202.304,559.4061,1521.657
120.0369,2291.206,557.784,1520.682
120.1893,2279.941,558.0704,1519.718
120.3417,2162.155,560.4476,1518.729
120.4941,2256.023,556.2828,1517.769
120.6465,2312.215,556.5446,1516.793
120.7989,2232.811,556.2083,1515.818
120.9513,2263.284,555.36,1514.856
121.1037,2268.175,555.6504,1513.877
121.2561,2249.095,555.6504,1512.884
121.4085,2319.162,555.6392,1511.909
121.5609,2219.35,555.0632,1510.933
121.7133,2042.13,557.4774,1509.957
121.8657,2145.962,553.8577,1508.996
122.0181,2265.696,549.6356,1508.003
122.1705,2249.536,548.3696,1507.025
122.3229,2308.636,546.8693,1506.033
122.4753,2305.284,547.9727,1505.04
122.6277,2258.767,542.5662,1504.047
122.7801,2256,542.2392,1503.059
122.9325,2190.366,542.2392,1502.061
123.0849,2227.983,541.6817,1501.052
123.2373,2245.58,543.0093,1500.057
123.3897,2220.115,540.6953,1499.05
123.5421,2267.559,539.8697,1498.041
123.6945,2345.049,540.0681,1497.032
123.8469,2262.136,541.1638,1496.037
123.9993,2200.807,543.4171,1495.029
124.1517,2214.219,542.7284,1494.019
124.3041,2110.614,545.1011,1493.022
124.4565,2008.692,545.592,1492.015
124.6089,2231.59,539.5898,1491.026
124.7613,2387.771,537.2884,1490.03
124.9137,2358.263,537.5465,1489.021
125.0661,2260.212,537.1841,1488.011
125.2185,2133.066,538.4897,1487
125.3709,2076.934,539.1221,1485.977
125.5233,2109.491,540.5884,1484.976
125.6757,2211.752,538.4912,1483.971
125.8281,2308.038,532.4454,1482.961
125.9805,2302.33,530.2087,1481.951
126.1329,2275.308,530.0472,1480.929
126.2853,2299.097,528.2999,1479.904
126.4377,2306.755,527.8244,1478.872
126.5901,2321.061,525.1467,1477.85
126.7425,2274.979,527.0994,1476.815
126.8949,2240.133,532.4564,1475.782
127.0473,2279.186,537.1713,1474.755
127.1997,2304.3,538.1792,1473.74
127.3521,2359.333,537.5756,1472.731
127.5045,2307.239,537.3624,1471.722
127.6569,2280.322,536.9773,1470.713
127.8093,2356.378,536.563,1469.702
127.9617,2360.446,536.8217,1468.692
128.1141,2277.646,536.8737,1467.681
128.2665,2232.655,536.5718,1466.671
128.4189,2255.884,528.7883,1465.661
128.5713,2239.909,513.6978,1464.652
128.7237,2277.92,505.3707,1463.606
128.8761,2328.668,504.783,1462.531
129.0285,2292.804,508.8883,1461.455
129.1809,2311.482,514.1952,1460.383
129.3333,2302.758,518.7637,1459.324
129.4857,2255.963,516.6228,1458.277
129.6381,2265.693,509.4201,1457.225
129.7905,2255.515,504.4456,1456.157
129.9429,2177.171,501.8623,1455.09
130.0953,2123.727,501.1031,1454.015
130.2477,2225.668,502.9398,1452.923
130.4001,2341.689,497.764,1451.846
130.5525,2319.507,483.243,1450.763
130.7049,2280.331,496.6808,1449.631
130.8573,2248.587,523.5773,1448.515
131.0097,2275.457,525.2165,1447.47
131.1621,2359.8,524.9921,1446.444
131.3145,2294.548,526.0353,1445.411
131.4669,2149.188,528.2689,1444.375
131.6193,2062.334,528.2119,1443.342
131.7717,2134.141,525.3209,1442.312
131.9241,2204.065,521.2009,1441.29
132.0765,2281.594,509.6288,1440.247
132.2289,2375.047,501.2827,1439.187
132.3813,2334.263,507.9483,1438.101
132.5337,2266.511,517.6117,1437.025
132.6861,2268.183,525.9755,1435.97
132.8385,2204.378,526.4844,1434.95
132.9909,2249.434,526.4187,1433.913
133.1433,2342.993,526.1358,1432.884
133.2957,2298.259,526.8269,1431.842
133.4481,2277.564,526.2229,1430.804
133.6005,2308.206,522.7208,1429.772
133.7529,2337.877,514.1976,1428.737
133.9053,2244.716,515.3179,1427.71
134.0577,2040.351,518.6979,1426.639
134.2101,2128.694,519.9798,1425.58
134.3625,2222.893,525.8293,1424.524
134.5149,2258.302,527.3981,1423.484
134.6673,2425.873,523.7133,1422.462
134.8197,2291.357,522.7206,1421.446
134.9721,2133.061,527.8589,1420.4
135.1245,2069.823,526.9369,1419.345
135.2769,2166.969,527.0176,1418.32
135.4293,2207.897,546.2828,1417.308
135.5817,2309.792,556.2924,1416.287
135.7341,2402.499,562.0912,1415.3
135.8865,2306.96,562.1699,1414.339
136.0389,2342.744,561.0373,1413.365
136.1913,2231.857,562.535,1412.402
136.3437,2256.519,561.355,1411.427
136.4961,2333.93,560.4755,1410.48
136.6485,2290.453,559.9637,1409.503
136.8009,2300.86,560.307,1408.526
136.9533,2367.233,557.226,1407.551
137.1057,2318.579,557.8759,1406.593
137.2581,2269.561,553.1295,1405.615
137.4105,2284.659,543.0783,1404.622
137.5629,2306.463,539.9922,1403.644
137.7153,2224.704,517.6591,1402.65
137.8677,2300.999,529.4374,1401.608
138.0201,2394.063,535.1711,1400.567
138.1725,2294.951,524.7648,1399.54
138.3249,2158.904,521.3029,1398.512
138.4773,2054.012,515.9312,1397.486
138.6297,2067.147,515.7216,1396.442
138.7821,2161.327,526.0656,1395.37
138.9345,2286.487,524.4182,1394.341
139.0869,2376.342,522.5656,1393.301
139.2393,2356.46,517.6851,1392.258
139.3917,2408.318,531.5943,1391.215
139.5441,2406.832,552.4869,1390.186
139.6965,2320.038,562.5694,1389.189
139.8489,2242.351,563.8425,1388.21
140.0013,2125.478,567.3159,1387.248
140.1537,2047.235,568.6268,1386.287
140.3061,2101.501,568.2394,1385.327
140.4585,2212.065,564.3088,1384.381
140.6109,2275.01,551.1733,1383.424
140.7633,2329.952,530.6321,1382.451
140.9157,2372.451,541.2836,1381.42
141.0681,2374.39,549.8077,1380.404
141.2205,2319.925,552.7686,1379.42
141.3729,2266.098,553.212,1378.444
141.5253,2245.723,550.3845,1377.455
141.6777,2292.614,548.6238,1376.463
141.8301,2315.539,548.3352,1375.481
